Respuesta,Frecuencia,Asociación
delito,4,0.043478260869565216
himen,3,0.03260869565217391
dato,2,0.021739130434782608
valor,2,0.021739130434782608
físico,2,0.021739130434782608
moral,2,0.021739130434782608
trabajo,1,0.010869565217391304
estudiar,1,0.010869565217391304
creación,1,0.010869565217391304
material,1,0.010869565217391304
etcétera,1,0.010869565217391304
basar,1,0.010869565217391304
deber,1,0.010869565217391304
necesidad,1,0.010869565217391304
factor,1,0.010869565217391304
año,1,0.010869565217391304
estudio,1,0.010869565217391304
requerir,1,0.010869565217391304
importante,1,0.010869565217391304
obtener,1,0.010869565217391304
caso,1,0.010869565217391304
representar,1,0.010869565217391304
anatomía,1,0.010869565217391304
cuestión,1,0.010869565217391304
masturbación,1,0.010869565217391304
femenino,1,0.010869565217391304
vacío,1,0.010869565217391304
llenar,1,0.010869565217391304
do,1,0.010869565217391304
prueba,1,0.010869565217391304
imagen,1,0.010869565217391304
práctica,1,0.010869565217391304
distinguir,1,0.010869565217391304
médico,1,0.010869565217391304
titular,1,0.010869565217391304
existencia,1,0.010869565217391304
mujer,1,0.010869565217391304
genital,1,0.010869565217391304
labor,1,0.010869565217391304
judicial,1,0.010869565217391304
violación,1,0.010869565217391304
admitir,1,0.010869565217391304
formar,1,0.010869565217391304
potencia,1,0.010869565217391304
amor,1,0.010869565217391304
pene,1,0.010869565217391304
botella,1,0.010869565217391304
sorprender,1,0.010869565217391304
intervenir,1,0.010869565217391304
evidencia,1,0.010869565217391304
puesto,1,0.010869565217391304
descubrir,1,0.010869565217391304
legal,1,0.010869565217391304
consideración,1,0.010869565217391304
circunstancia,1,0.010869565217391304
engañar,1,0.010869565217391304
suministrar,1,0.010869565217391304
flor,1,0.010869565217391304
consecuente,1,0.010869565217391304
pudor,1,0.010869565217391304
confundir,1,0.010869565217391304
demostración,1,0.010869565217391304
doncella,1,0.010869565217391304
fácilmente,1,0.010869565217391304
objetividad,1,0.010869565217391304
dedo,1,0.010869565217391304
relativismo,1,0.010869565217391304
membrana,1,0.010869565217391304
troncoso,1,0.010869565217391304
civilización,1,0.010869565217391304
desfloración,1,0.010869565217391304
lésbico,1,0.010869565217391304
médicocientífica,1,0.010869565217391304
anómalo,1,0.010869565217391304
verificación,1,0.010869565217391304
estupro,1,0.010869565217391304
cuello,1,0.010869565217391304
tapón,1,0.010869565217391304
lastimar,1,0.010869565217391304
1894,1,0.010869565217391304
careaga,1,0.010869565217391304
dictamen,1,0.010869565217391304
presumiblemente,1,0.010869565217391304
