Respuesta,Frecuencia,Asociación
tratar,1,0.02564102564102564
problema,1,0.02564102564102564
cultural,1,0.02564102564102564
suponer,1,0.02564102564102564
informar,1,0.02564102564102564
riesgo,1,0.02564102564102564
sexual,1,0.02564102564102564
lugar,1,0.02564102564102564
adulto,1,0.02564102564102564
libre,1,0.02564102564102564
expresión,1,0.02564102564102564
familia,1,0.02564102564102564
edad,1,0.02564102564102564
privar,1,0.02564102564102564
persona,1,0.02564102564102564
elección,1,0.02564102564102564
mano,1,0.02564102564102564
adolescente,1,0.02564102564102564
aumentar,1,0.02564102564102564
menor,1,0.02564102564102564
aborto,1,0.02564102564102564
clínico,1,0.02564102564102564
demostrar,1,0.02564102564102564
padre,1,0.02564102564102564
generar,1,0.02564102564102564
frente,1,0.02564102564102564
responsabilidad,1,0.02564102564102564
ejercer,1,0.02564102564102564
suceder,1,0.02564102564102564
incapaz,1,0.02564102564102564
seguridad,1,0.02564102564102564
irresponsable,1,0.02564102564102564
ilegal,1,0.02564102564102564
ocasión,1,0.02564102564102564
espacio,1,0.02564102564102564
mención,1,0.02564102564102564
manutención,1,0.02564102564102564
desafiar,1,0.02564102564102564
llevándolas,1,0.02564102564102564
