Respuesta,Frecuencia,Asociación
esposo,5,0.06578947368421052
desarrollo,2,0.02631578947368421
finalidad,2,0.02631578947368421
definir,2,0.02631578947368421
secundario,2,0.02631578947368421
cultura,2,0.02631578947368421
compartir,2,0.02631578947368421
favor,2,0.02631578947368421
privilegio,2,0.02631578947368421
descendencia,2,0.02631578947368421
hebreo,2,0.02631578947368421
apedrear,2,0.02631578947368421
social,1,0.013157894736842105
permitir,1,0.013157894736842105
forma,1,0.013157894736842105
carácter,1,0.013157894736842105
implicar,1,0.013157894736842105
género,1,0.013157894736842105
caso,1,0.013157894736842105
control,1,0.013157894736842105
masculino,1,0.013157894736842105
relación,1,0.013157894736842105
tiempo,1,0.013157894736842105
ejemplo,1,0.013157894736842105
condición,1,0.013157894736842105
clave,1,0.013157894736842105
adolescente,1,0.013157894736842105
adolescencia,1,0.013157894736842105
saludable,1,0.013157894736842105
negar,1,0.013157894736842105
sexo,1,0.013157894736842105
fuerza,1,0.013157894736842105
aspecto,1,0.013157894736842105
observar,1,0.013157894736842105
hijo,1,0.013157894736842105
hombre,1,0.013157894736842105
compañero,1,0.013157894736842105
ritual,1,0.013157894736842105
trabajador,1,0.013157894736842105
nacimiento,1,0.013157894736842105
ambiente,1,0.013157894736842105
protección,1,0.013157894736842105
300,1,0.013157894736842105
universitario,1,0.013157894736842105
poseer,1,0.013157894736842105
circuncisión,1,0.013157894736842105
adicionalmente,1,0.013157894736842105
crítico,1,0.013157894736842105
atributo,1,0.013157894736842105
incesto,1,0.013157894736842105
esposas,1,0.013157894736842105
permear,1,0.013157894736842105
espaciamiento,1,0.013157894736842105
instrumental,1,0.013157894736842105
caballeroso,1,0.013157894736842105
egipcio,1,0.013157894736842105
grecia,1,0.013157894736842105
rey,1,0.013157894736842105
saloma,1,0.013157894736842105
700,1,0.013157894736842105
concubina,1,0.013157894736842105
