Respuesta,Frecuencia,Asociación
método,2,0.02247191011235955
requerir,2,0.02247191011235955
desear,2,0.02247191011235955
hijo,2,0.02247191011235955
periodo,2,0.02247191011235955
intentar,1,0.011235955056179775
problema,1,0.011235955056179775
perspectiva,1,0.011235955056179775
social,1,0.011235955056179775
indispensable,1,0.011235955056179775
población,1,0.011235955056179775
necesario,1,0.011235955056179775
existir,1,0.011235955056179775
principalmente,1,0.011235955056179775
especializar,1,0.011235955056179775
sexual,1,0.011235955056179775
constituir,1,0.011235955056179775
salud,1,0.011235955056179775
2000,1,0.011235955056179775
relacionar,1,0.011235955056179775
presentar,1,0.011235955056179775
año,1,0.011235955056179775
estudio,1,0.011235955056179775
presente,1,0.011235955056179775
servir,1,0.011235955056179775
joven,1,0.011235955056179775
finalmente,1,0.011235955056179775
género,1,0.011235955056179775
respetar,1,0.011235955056179775
utilizar,1,0.011235955056179775
nivel,1,0.011235955056179775
comprender,1,0.011235955056179775
objeto,1,0.011235955056179775
control,1,0.011235955056179775
relación_sexual,1,0.011235955056179775
transmisión,1,0.011235955056179775
relación,1,0.011235955056179775
pareja,1,0.011235955056179775
reconocer,1,0.011235955056179775
coincidir,1,0.011235955056179775
persona,1,0.011235955056179775
productivo,1,0.011235955056179775
frecuente,1,0.011235955056179775
apoyo,1,0.011235955056179775
embarazo,1,0.011235955056179775
conducta,1,0.011235955056179775
aprendizaje,1,0.011235955056179775
enfrentar,1,0.011235955056179775
considerar,1,0.011235955056179775
derecho,1,0.011235955056179775
mujer,1,0.011235955056179775
infección,1,0.011235955056179775
expectativa,1,0.011235955056179775
afectar,1,0.011235955056179775
erótico,1,0.011235955056179775
ciclo,1,0.011235955056179775
lograr,1,0.011235955056179775
parejo,1,0.011235955056179775
concebir,1,0.011235955056179775
vivencia,1,0.011235955056179775
personal,1,0.011235955056179775
efecto,1,0.011235955056179775
decisión,1,0.011235955056179775
conflicto,1,0.011235955056179775
presión,1,0.011235955056179775
natal,1,0.011235955056179775
fecundidad,1,0.011235955056179775
disminuir,1,0.011235955056179775
administrar,1,0.011235955056179775
fértil,1,0.011235955056179775
perinatal,1,0.011235955056179775
re,1,0.011235955056179775
orientación,1,0.011235955056179775
comprensión,1,0.011235955056179775
precisar,1,0.011235955056179775
dimensión,1,0.011235955056179775
autoestima,1,0.011235955056179775
infertilidad,1,0.011235955056179775
esposo,1,0.011235955056179775
reconsiderar,1,0.011235955056179775
aﬁrmar,1,0.011235955056179775
dávila,1,0.011235955056179775
autodominio,1,0.011235955056179775
acordar,1,0.011235955056179775
