Respuesta,Frecuencia,Asociación
estudio,2,0.03508771929824561
sistema,2,0.03508771929824561
inyección,2,0.03508771929824561
indicio,2,0.03508771929824561
debilitar,2,0.03508771929824561
existir,1,0.017543859649122806
salud,1,0.017543859649122806
año,1,0.017543859649122806
secundario,1,0.017543859649122806
caso,1,0.017543859649122806
tiempo,1,0.017543859649122806
dejar,1,0.017543859649122806
determinar,1,0.017543859649122806
único,1,0.017543859649122806
psíquico,1,0.017543859649122806
aparecer,1,0.017543859649122806
mujer,1,0.017543859649122806
nacer,1,0.017543859649122806
demostrar,1,0.017543859649122806
hijo,1,0.017543859649122806
perseguir,1,0.017543859649122806
afectar,1,0.017543859649122806
mantener,1,0.017543859649122806
ciclo,1,0.017543859649122806
dificultad,1,0.017543859649122806
combinar,1,0.017543859649122806
efecto,1,0.017543859649122806
reacción,1,0.017543859649122806
anticonceptivo,1,0.017543859649122806
provocar,1,0.017543859649122806
norteamericano,1,0.017543859649122806
ciento,1,0.017543859649122806
fármaco,1,0.017543859649122806
40,1,0.017543859649122806
progevera,1,0.017543859649122806
alteración,1,0.017543859649122806
depo,1,0.017543859649122806
bretaña,1,0.017543859649122806
disminuir,1,0.017543859649122806
anemia,1,0.017543859649122806
trastorno,1,0.017543859649122806
estéril,1,0.017543859649122806
intramuscular,1,0.017543859649122806
espermia,1,0.017543859649122806
causar,1,0.017543859649122806
hormona,1,0.017543859649122806
nidación,1,0.017543859649122806
óvulo,1,0.017543859649122806
fecundar,1,0.017543859649122806
vacuna,1,0.017543859649122806
antiembarazo,1,0.017543859649122806
disimular,1,0.017543859649122806
