Respuesta,Frecuencia,Asociación
sentimiento,3,0.02459016393442623
trabajo,2,0.01639344262295082
problema,2,0.01639344262295082
sexual,2,0.01639344262295082
acompañar,2,0.01639344262295082
respuesta_sexual,2,0.01639344262295082
aislamiento,2,0.01639344262295082
monotonía,2,0.01639344262295082
básico,1,0.00819672131147541
humano,1,0.00819672131147541
social,1,0.00819672131147541
recurso,1,0.00819672131147541
criterio,1,0.00819672131147541
necesidad,1,0.00819672131147541
educación_sexual,1,0.00819672131147541
salud,1,0.00819672131147541
relacionar,1,0.00819672131147541
mínimo,1,0.00819672131147541
lugar,1,0.00819672131147541
obtener,1,0.00819672131147541
papel,1,0.00819672131147541
casa,1,0.00819672131147541
denominar,1,0.00819672131147541
atractivo,1,0.00819672131147541
derivar,1,0.00819672131147541
nivel,1,0.00819672131147541
biológico,1,0.00819672131147541
expresión,1,0.00819672131147541
psicológico,1,0.00819672131147541
aumento,1,0.00819672131147541
disminución,1,0.00819672131147541
relación_sexual,1,0.00819672131147541
enfermedad,1,0.00819672131147541
transmisión,1,0.00819672131147541
individuo,1,0.00819672131147541
pareja,1,0.00819672131147541
abuso,1,0.00819672131147541
edad,1,0.00819672131147541
coincidir,1,0.00819672131147541
persona,1,0.00819672131147541
ejemplo,1,0.00819672131147541
condición,1,0.00819672131147541
generalmente,1,0.00819672131147541
consecuencia,1,0.00819672131147541
cambio,1,0.00819672131147541
embarazo,1,0.00819672131147541
desear,1,0.00819672131147541
resultado,1,0.00819672131147541
práctica,1,0.00819672131147541
producir,1,0.00819672131147541
convertir,1,0.00819672131147541
asociar,1,0.00819672131147541
percepción,1,0.00819672131147541
bienestar,1,0.00819672131147541
enfoque,1,0.00819672131147541
derecho,1,0.00819672131147541
deseo,1,0.00819672131147541
mujer,1,0.00819672131147541
vida,1,0.00819672131147541
progresivo,1,0.00819672131147541
op,1,0.00819672131147541
cit,1,0.00819672131147541
sida,1,0.00819672131147541
violación,1,0.00819672131147541
admitir,1,0.00819672131147541
natural,1,0.00819672131147541
generar,1,0.00819672131147541
expresar,1,0.00819672131147541
daño,1,0.00819672131147541
efecto,1,0.00819672131147541
evolución,1,0.00819672131147541
falta,1,0.00819672131147541
ético,1,0.00819672131147541
avanzar,1,0.00819672131147541
modificación,1,0.00819672131147541
carencia,1,0.00819672131147541
precisamente,1,0.00819672131147541
clandestino,1,0.00819672131147541
doméstico,1,0.00819672131147541
religioso,1,0.00819672131147541
financiero,1,0.00819672131147541
potencial,1,0.00819672131147541
alteración,1,0.00819672131147541
latente,1,0.00819672131147541
concluir,1,0.00819672131147541
miembro,1,0.00819672131147541
maría,1,0.00819672131147541
hallazgo,1,0.00819672131147541
manifestación,1,0.00819672131147541
válido,1,0.00819672131147541
ángel,1,0.00819672131147541
seguramente,1,0.00819672131147541
fisiológico,1,0.00819672131147541
jugar,1,0.00819672131147541
depresión,1,0.00819672131147541
autoimagen,1,0.00819672131147541
prejuicio,1,0.00819672131147541
envejecimiento,1,0.00819672131147541
estructural,1,0.00819672131147541
disfunción,1,0.00819672131147541
apatía,1,0.00819672131147541
disritmia,1,0.00819672131147541
hipolubricación,1,0.00819672131147541
anatómico,1,0.00819672131147541
frustración,1,0.00819672131147541
obstaculizar,1,0.00819672131147541
descontento,1,0.00819672131147541
adjetivo,1,0.00819672131147541
ama,1,0.00819672131147541
durán,1,0.00819672131147541
autovaloración,1,0.00819672131147541
lucir,1,0.00819672131147541
testosterona,1,0.00819672131147541
