Respuesta,Frecuencia,Asociación
aborto,3,0.05357142857142857
consentir,3,0.05357142857142857
distrito,2,0.03571428571428571
federal,2,0.03571428571428571
fetal,2,0.03571428571428571
artiﬁcial,2,0.03571428571428571
base,1,0.017857142857142856
país,1,0.017857142857142856
existir,1,0.017857142857142856
riesgo,1,0.017857142857142856
salud,1,0.017857142857142856
proporcionar,1,0.017857142857142856
caso,1,0.017857142857142856
razón,1,0.017857142857142856
servicio,1,0.017857142857142856
ofrecer,1,0.017857142857142856
porcentaje,1,0.017857142857142856
do,1,0.017857142857142856
embarazo,1,0.017857142857142856
resultado,1,0.017857142857142856
menor,1,0.017857142857142856
20,1,0.017857142857142856
mujer,1,0.017857142857142856
vida,1,0.017857142857142856
violación,1,0.017857142857142856
aceptar,1,0.017857142857142856
proporción,1,0.017857142857142856
daño,1,0.017857142857142856
reforma,1,0.017857142857142856
legal,1,0.017857142857142856
madre,1,0.017857142857142856
malformación,1,0.017857142857142856
decisión,1,0.017857142857142856
salvar,1,0.017857142857142856
eugenésico,1,0.017857142857142856
ciento,1,0.017857142857142856
circunstancia,1,0.017857142857142856
vigente,1,0.017857142857142856
grave,1,0.017857142857142856
aceptación,1,0.017857142857142856
causar,1,0.017857142857142856
indicación,1,0.017857142857142856
56,1,0.017857142857142856
85,1,0.017857142857142856
oscilar,1,0.017857142857142856
veintiocho,1,0.017857142857142856
sólido,1,0.017857142857142856
artificial,1,0.017857142857142856
