Respuesta,Frecuencia,Asociación
deber,1,0.05263157894736842
criterio,1,0.05263157894736842
ej,1,0.05263157894736842
b,1,0.05263157894736842
c,1,0.05263157894736842
establecer,1,0.05263157894736842
enfermedad,1,0.05263157894736842
individuo,1,0.05263157894736842
físico,1,0.05263157894736842
sexo,1,0.05263157894736842
p,1,0.05263157894736842
diagnóstico,1,0.05263157894736842
padecer,1,0.05263157894736842
síndrome,1,0.05263157894736842
hiperplasia,1,0.05263157894736842
congénito,1,0.05263157894736842
andrógeno,1,0.05263157894736842
insensibilidad,1,0.05263157894736842
suprarrenal,1,0.05263157894736842
