Respuesta,Frecuencia,Asociación
humano,1,0.02702702702702703
necesidad,1,0.02702702702702703
desarrollo,1,0.02702702702702703
hablar,1,0.02702702702702703
cuerpo,1,0.02702702702702703
expresión,1,0.02702702702702703
relación_sexual,1,0.02702702702702703
persona,1,0.02702702702702703
controlar,1,0.02702702702702703
capacidad,1,0.02702702702702703
sentir,1,0.02702702702702703
vivir,1,0.02702702702702703
crecimiento,1,0.02702702702702703
saludable,1,0.02702702702702703
deseo,1,0.02702702702702703
vida,1,0.02702702702702703
compartir,1,0.02702702702702703
experimentar,1,0.02702702702702703
erótico,1,0.02702702702702703
intenso,1,0.02702702702702703
conflicto,1,0.02702702702702703
temor,1,0.02702702702702703
perder,1,0.02702702702702703
compañía,1,0.02702702702702703
olvido,1,0.02702702702702703
soledad,1,0.02702702702702703
satisfacer,1,0.02702702702702703
flexibilidad,1,0.02702702702702703
culpa,1,0.02702702702702703
respuesta_sexual,1,0.02702702702702703
prejuicio,1,0.02702702702702703
amante,1,0.02702702702702703
cuidadoso,1,0.02702702702702703
urgente,1,0.02702702702702703
tornar,1,0.02702702702702703
prisa,1,0.02702702702702703
declinar,1,0.02702702702702703
