Respuesta,Frecuencia,Asociación
mujer,15,0.045180722891566265
diario,6,0.018072289156626505
único,4,0.012048192771084338
riesgo,3,0.009036144578313253
salud,3,0.009036144578313253
1,3,0.009036144578313253
3,3,0.009036144578313253
campo,3,0.009036144578313253
dejar,3,0.009036144578313253
suministrar,3,0.009036144578313253
provera,3,0.009036144578313253
explicar,2,0.006024096385542169
método,2,0.006024096385542169
principio,2,0.006024096385542169
país,2,0.006024096385542169
año,2,0.006024096385542169
estudio,2,0.006024096385542169
2,2,0.006024096385542169
niño,2,0.006024096385542169
libre,2,0.006024096385542169
utilizar,2,0.006024096385542169
caso,2,0.006024096385542169
querer,2,0.006024096385542169
tiempo,2,0.006024096385542169
ejemplo,2,0.006024096385542169
emplear,2,0.006024096385542169
do,2,0.006024096385542169
sentir,2,0.006024096385542169
embarazo,2,0.006024096385542169
recibir,2,0.006024096385542169
médico,2,0.006024096385542169
hijo,2,0.006024096385542169
mundo,2,0.006024096385542169
amenazar,2,0.006024096385542169
50,2,0.006024096385542169
consentimiento,2,0.006024096385542169
80,2,0.006024096385542169
mes,2,0.006024096385542169
negro,2,0.006024096385542169
norplant,2,0.006024096385542169
depo,2,0.006024096385542169
amenaza,2,0.006024096385542169
despido,2,0.006024096385542169
federal,2,0.006024096385542169
incremento,2,0.006024096385542169
inmunológico,2,0.006024096385542169
investigador,2,0.006024096385542169
asco,2,0.006024096385542169
comentar,2,0.006024096385542169
proponer,1,0.0030120481927710845
seguir,1,0.0030120481927710845
tratar,1,0.0030120481927710845
problema,1,0.0030120481927710845
i,1,0.0030120481927710845
conocimiento,1,0.0030120481927710845
acercar,1,0.0030120481927710845
deber,1,0.0030120481927710845
general,1,0.0030120481927710845
necesario,1,0.0030120481927710845
actual,1,0.0030120481927710845
programa,1,0.0030120481927710845
presentar,1,0.0030120481927710845
aplicación,1,0.0030120481927710845
objetivo,1,0.0030120481927710845
depender,1,0.0030120481927710845
acceso,1,0.0030120481927710845
resultar,1,0.0030120481927710845
pensar,1,0.0030120481927710845
secundario,1,0.0030120481927710845
