Respuesta,Frecuencia,Asociación
consistir,2,0.025974025974025976
mujer,2,0.025974025974025976
trompa,2,0.025974025974025976
útero,2,0.025974025974025976
sexualidad,1,0.012987012987012988
extraer,1,0.012987012987012988
método,1,0.012987012987012988
encontrar,1,0.012987012987012988
conocimiento,1,0.012987012987012988
deber,1,0.012987012987012988
desarrollo,1,0.012987012987012988
crear,1,0.012987012987012988
mínimo,1,0.012987012987012988
técnica,1,0.012987012987012988
utilizar,1,0.012987012987012988
hablar,1,0.012987012987012988
pasar,1,0.012987012987012988
realidad,1,0.012987012987012988
objeto,1,0.012987012987012988
tiempo,1,0.012987012987012988
campo,1,0.012987012987012988
esfuerzo,1,0.012987012987012988
determinar,1,0.012987012987012988
recibir,1,0.012987012987012988
imagen,1,0.012987012987012988
cerca,1,0.012987012987012988
médico,1,0.012987012987012988
deseo,1,0.012987012987012988
posteriormente,1,0.012987012987012988
fantasía,1,0.012987012987012988
infección,1,0.012987012987012988
inferior,1,0.012987012987012988
competir,1,0.012987012987012988
personal,1,0.012987012987012988
descubrir,1,0.012987012987012988
reproducir,1,0.012987012987012988
experimento,1,0.012987012987012988
interés,1,0.012987012987012988
anticonceptivo,1,0.012987012987012988
especialmente,1,0.012987012987012988
medicamento,1,0.012987012987012988
internacional,1,0.012987012987012988
esterilización,1,0.012987012987012988
tailandia,1,0.012987012987012988
refugiado,1,0.012987012987012988
gasto,1,0.012987012987012988
depo,1,0.012987012987012988
provera,1,0.012987012987012988
cruz,1,0.012987012987012988
rojo,1,0.012987012987012988
8000,1,0.012987012987012988
camboyano,1,0.012987012987012988
recompensar,1,0.012987012987012988
gallina,1,0.012987012987012988
paraformaldehído,1,0.012987012987012988
originar,1,0.012987012987012988
adherencia,1,0.012987012987012988
esterilidad,1,0.012987012987012988
48,1,0.012987012987012988
prisionero,1,0.012987012987012988
ruso,1,0.012987012987012988
irritante,1,0.012987012987012988
invención,1,0.012987012987012988
obstruir,1,0.012987012987012988
barbaridad,1,0.012987012987012988
subjetividad,1,0.012987012987012988
pliegue,1,0.012987012987012988
interior,1,0.012987012987012988
resonar,1,0.012987012987012988
alojamiento,1,0.012987012987012988
privilegiar,1,0.012987012987012988
escenario,1,0.012987012987012988
inmejorable,1,0.012987012987012988
