Respuesta,Frecuencia,Asociación
riesgo,13,0.009040333796940195
práctica,11,0.0076495132127955496
condón,11,0.0076495132127955496
sexual,10,0.006954102920723227
joven,10,0.006954102920723227
social,9,0.006258692628650904
deber,9,0.006258692628650904
salud,9,0.006258692628650904
mujer,9,0.006258692628650904
estudio,8,0.005563282336578581
adolescente,8,0.005563282336578581
conocimiento,7,0.004867872044506259
relación_sexual,7,0.004867872044506259
diagnóstico,7,0.004867872044506259
hepatitis,7,0.004867872044506259
sitio,6,0.004172461752433936
transmisión,6,0.004172461752433936
epidemiológico,6,0.004172461752433936
infección,6,0.004172461752433936
tratamiento,6,0.004172461752433936
sr,6,0.004172461752433936
método,5,0.0034770514603616135
población,5,0.0034770514603616135
desarrollo,5,0.0034770514603616135
mostrar,5,0.0034770514603616135
caso,5,0.0034770514603616135
incluir,5,0.0034770514603616135
prevención,5,0.0034770514603616135
falta,5,0.0034770514603616135
económico,5,0.0034770514603616135
vulnerabilidad,5,0.0034770514603616135
antecedente,5,0.0034770514603616135
paciente,5,0.0034770514603616135
trabajo,4,0.0027816411682892906
existir,4,0.0027816411682892906
factor,4,0.0027816411682892906
investigación,4,0.0027816411682892906
análisis,4,0.0027816411682892906
contexto,4,0.0027816411682892906
1,4,0.0027816411682892906
utilizar,4,0.0027816411682892906
evitar,4,0.0027816411682892906
diferencia,4,0.0027816411682892906
conducta,4,0.0027816411682892906
hombre,4,0.0027816411682892906
mantener,4,0.0027816411682892906
planificación,4,0.0027816411682892906
efecto,4,0.0027816411682892906
exposición,4,0.0027816411682892906
ocurrir,4,0.0027816411682892906
contagio,4,0.0027816411682892906
vihsida,4,0.0027816411682892906
contraer,4,0.0027816411682892906
sexualidad,3,0.002086230876216968
méxico,3,0.002086230876216968
problema,3,0.002086230876216968
diverso,3,0.002086230876216968
humano,3,0.002086230876216968
encontrar,3,0.002086230876216968
principio,3,0.002086230876216968
contar,3,0.002086230876216968
información,3,0.002086230876216968
programa,3,0.002086230876216968
educación_sexual,3,0.002086230876216968
informar,3,0.002086230876216968
fuente,3,0.002086230876216968
requerir,3,0.002086230876216968
importante,3,0.002086230876216968
dato,3,0.002086230876216968
b,3,0.002086230876216968
nivel,3,0.002086230876216968
distinto,3,0.002086230876216968
relación,3,0.002086230876216968
pareja,3,0.002086230876216968
privar,3,0.002086230876216968
medida,3,0.002086230876216968
característica,3,0.002086230876216968
persona,3,0.002086230876216968
condición,3,0.002086230876216968
do,3,0.002086230876216968
situación,3,0.002086230876216968
prueba,3,0.002086230876216968
embarazo,3,0.002086230876216968
desear,3,0.002086230876216968
menor,3,0.002086230876216968
practicar,3,0.002086230876216968
vigilancia,3,0.002086230876216968
derecho,3,0.002086230876216968
sida,3,0.002086230876216968
afectar,3,0.002086230876216968
6,3,0.002086230876216968
atención,3,0.002086230876216968
personal,3,0.002086230876216968
vih,3,0.002086230876216968
adquirir,3,0.002086230876216968
consideración,3,0.002086230876216968
12,3,0.002086230876216968
grave,3,0.002086230876216968
proteger,3,0.002086230876216968
protección,3,0.002086230876216968
promover,3,0.002086230876216968
infectar,3,0.002086230876216968
oportuno,3,0.002086230876216968
vida_sexual,3,0.002086230876216968
biología,3,0.002086230876216968
asintomático,3,0.002086230876216968
autorreferido,3,0.002086230876216968
básico,2,0.0013908205841446453
área,2,0.0013908205841446453
base,2,0.0013908205841446453
tratar,2,0.0013908205841446453
específico,2,0.0013908205841446453
cultural,2,0.0013908205841446453
permitir,2,0.0013908205841446453
necesario,2,0.0013908205841446453
conjunto,2,0.0013908205841446453
particular,2,0.0013908205841446453
mexicano,2,0.0013908205841446453
relacionar,2,0.0013908205841446453
grupo,2,0.0013908205841446453
2,2,0.0013908205841446453
producto,2,0.0013908205841446453
público,2,0.0013908205841446453
presente,2,0.0013908205841446453
contener,2,0.0013908205841446453
niño,2,0.0013908205841446453
adecuar,2,0.0013908205841446453
clasificación,2,0.0013908205841446453
técnica,2,0.0013908205841446453
género,2,0.0013908205841446453
2006,2,0.0013908205841446453
evaluar,2,0.0013908205841446453
modificar,2,0.0013908205841446453
ligar,2,0.0013908205841446453
tomar,2,0.0013908205841446453
influir,2,0.0013908205841446453
representar,2,0.0013908205841446453
control,2,0.0013908205841446453
aumento,2,0.0013908205841446453
transmisible,2,0.0013908205841446453
vía,2,0.0013908205841446453
edad,2,0.0013908205841446453
educativo,2,0.0013908205841446453
referir,2,0.0013908205841446453
ofrecer,2,0.0013908205841446453
suficiente,2,0.0013908205841446453
apoyar,2,0.0013908205841446453
porcentaje,2,0.0013908205841446453
arrojar,2,0.0013908205841446453
significativo,2,0.0013908205841446453
elección,2,0.0013908205841446453
asimismo,2,0.0013908205841446453
sistema,2,0.0013908205841446453
resultado,2,0.0013908205841446453
actitud,2,0.0013908205841446453
iniciar,2,0.0013908205841446453
creencia,2,0.0013908205841446453
método_anticonceptivo,2,0.0013908205841446453
percepción,2,0.0013908205841446453
considerar,2,0.0013908205841446453
físico,2,0.0013908205841446453
clínica,2,0.0013908205841446453
preservativo,2,0.0013908205841446453
2007,2,0.0013908205841446453
entender,2,0.0013908205841446453
normal,2,0.0013908205841446453
norma,2,0.0013908205841446453
médico,2,0.0013908205841446453
sexo,2,0.0013908205841446453
clínico,2,0.0013908205841446453
desviación,2,0.0013908205841446453
demostrar,2,0.0013908205841446453
real,2,0.0013908205841446453
prevenir,2,0.0013908205841446453
reproductivo,2,0.0013908205841446453
observar,2,0.0013908205841446453
p,2,0.0013908205841446453
disposición,2,0.0013908205841446453
virgen,2,0.0013908205841446453
integrante,2,0.0013908205841446453
familiar,2,0.0013908205841446453
materia,2,0.0013908205841446453
negativo,2,0.0013908205841446453
reducir,2,0.0013908205841446453
enfocar,2,0.0013908205841446453
confianza,2,0.0013908205841446453
acompañar,2,0.0013908205841446453
compañero,2,0.0013908205841446453
corroborar,2,0.0013908205841446453
abstinencia,2,0.0013908205841446453
vista,2,0.0013908205841446453
probabilidad,2,0.0013908205841446453
obstante,2,0.0013908205841446453
reproducción,2,0.0013908205841446453
beneficio,2,0.0013908205841446453
intervención,2,0.0013908205841446453
política,2,0.0013908205841446453
américa,2,0.0013908205841446453
muerte,2,0.0013908205841446453
nación,2,0.0013908205841446453
estadística,2,0.0013908205841446453
oficial,2,0.0013908205841446453
fecha,2,0.0013908205841446453
rural,2,0.0013908205841446453
epidemia,2,0.0013908205841446453
demográfico,2,0.0013908205841446453
7,2,0.0013908205841446453
anualmente,2,0.0013908205841446453
confirmar,2,0.0013908205841446453
anticoncepción,2,0.0013908205841446453
menstruación,2,0.0013908205841446453
ausencia,2,0.0013908205841446453
disminuir,2,0.0013908205841446453
enfermo,2,0.0013908205841446453
contacto,2,0.0013908205841446453
trastorno,2,0.0013908205841446453
minuto,2,0.0013908205841446453
flor,2,0.0013908205841446453
intramuscular,2,0.0013908205841446453
genitales,2,0.0013908205841446453
hallazgo,2,0.0013908205841446453
signo,2,0.0013908205841446453
proliferación,2,0.0013908205841446453
subrayar,2,0.0013908205841446453
71,2,0.0013908205841446453
cuestionario,2,0.0013908205841446453
periodo,2,0.0013908205841446453
categoría,2,0.0013908205841446453
poseer,2,0.0013908205841446453
valdez,2,0.0013908205841446453
65,2,0.0013908205841446453
calle,2,0.0013908205841446453
vulnerable,2,0.0013908205841446453
fisiológico,2,0.0013908205841446453
universal,2,0.0013908205841446453
510,2,0.0013908205841446453
cultivo,2,0.0013908205841446453
infertilidad,2,0.0013908205841446453
crónico,2,0.0013908205841446453
agudo,2,0.0013908205841446453
tendientes,2,0.0013908205841446453
integral,2,0.0013908205841446453
escolarizar,2,0.0013908205841446453
noviazgo,2,0.0013908205841446453
cuernavaca,2,0.0013908205841446453
serología,2,0.0013908205841446453
molecular,2,0.0013908205841446453
microorganismo,2,0.0013908205841446453
infectantes,2,0.0013908205841446453
etiológico,2,0.0013908205841446453
531,2,0.0013908205841446453
ulceroso,2,0.0013908205841446453
63,2,0.0013908205841446453
conasida,2,0.0013908205841446453
trabajador_sexual,2,0.0013908205841446453
cliente,2,0.0013908205841446453
vino,2,0.0013908205841446453
barrientos,2,0.0013908205841446453
pérez,2,0.0013908205841446453
castaño,2,0.0013908205841446453
cajiao,2,0.0013908205841446453
dsmvi,2,0.0013908205841446453
placebo,2,0.0013908205841446453
espermatofagia,2,0.0013908205841446453
consistente,2,0.0013908205841446453
proponer,1,0.0006954102920723226
término,1,0.0006954102920723226
estudiar,1,0.0006954102920723226
internet,1,0.0006954102920723226
explicar,1,0.0006954102920723226
proceso,1,0.0006954102920723226
material,1,0.0006954102920723226
etcétera,1,0.0006954102920723226
orientar,1,0.0006954102920723226
intentar,1,0.0006954102920723226
resolver,1,0.0006954102920723226
introducción,1,0.0006954102920723226
perspectiva,1,0.0006954102920723226
tema,1,0.0006954102920723226
elemento,1,0.0006954102920723226
construcción,1,0.0006954102920723226
acercar,1,0.0006954102920723226
país,1,0.0006954102920723226
recurso,1,0.0006954102920723226
facilitar,1,0.0006954102920723226
comunicación,1,0.0006954102920723226
general,1,0.0006954102920723226
sistemático,1,0.0006954102920723226
mayoría,1,0.0006954102920723226
criterio,1,0.0006954102920723226
suponer,1,0.0006954102920723226
impacto,1,0.0006954102920723226
ejercicio,1,0.0006954102920723226
propuesta,1,0.0006954102920723226
principalmente,1,0.0006954102920723226
necesidad,1,0.0006954102920723226
educación,1,0.0006954102920723226
