Respuesta,Frecuencia,Asociación
sexual,57,0.01014957264957265
año,53,0.009437321937321937
mujer,46,0.00819088319088319
sexualidad,43,0.007656695156695157
derecho,38,0.006766381766381766
edad,36,0.00641025641025641
estudio,35,0.006232193732193732
salud,30,0.005341880341880342
información,29,0.005163817663817663
educación_sexual,28,0.004985754985754986
grupo,28,0.004985754985754986
relación,28,0.004985754985754986
social,27,0.004807692307692308
relación_sexual,27,0.004807692307692308
encontrar,26,0.004629629629629629
hombre,26,0.004629629629629629
práctica,24,0.004273504273504274
programa,23,0.004095441595441595
1,21,0.0037393162393162395
universitario,21,0.0037393162393162395
riesgo,20,0.0035612535612535613
noviazgo,20,0.0035612535612535613
deber,19,0.003383190883190883
mostrar,19,0.003383190883190883
pareja,19,0.003383190883190883
varón,19,0.003383190883190883
población,18,0.003205128205128205
condón,18,0.003205128205128205
embarazo,17,0.003027065527065527
conocimiento,16,0.002849002849002849
adolescente,16,0.002849002849002849
general,15,0.002670940170940171
considerar,15,0.002670940170940171
sexo,15,0.002670940170940171
educación,14,0.002492877492877493
menor,14,0.002492877492877493
padre,14,0.002492877492877493
sr,14,0.002492877492877493
tema,13,0.0023148148148148147
contexto,13,0.0023148148148148147
reproductivo,13,0.0023148148148148147
nivel,13,0.0023148148148148147
vida_sexual,13,0.0023148148148148147
diverso,12,0.002136752136752137
existir,12,0.002136752136752137
método_anticonceptivo,12,0.002136752136752137
conducta,12,0.002136752136752137
experiencia,12,0.002136752136752137
género,12,0.002136752136752137
resultado,12,0.002136752136752137
encuesta,12,0.002136752136752137
urbano,12,0.002136752136752137
méxico,11,0.001958689458689459
investigación,11,0.001958689458689459
adulto,11,0.001958689458689459
consecuencia,11,0.001958689458689459
situación,11,0.001958689458689459
anticoncepción,11,0.001958689458689459
vihsida,11,0.001958689458689459
vida,11,0.001958689458689459
método,10,0.0017806267806267807
cultural,10,0.0017806267806267807
público,10,0.0017806267806267807
dato,10,0.0017806267806267807
niño,10,0.0017806267806267807
utilizar,10,0.0017806267806267807
proporción,10,0.0017806267806267807
mantener,10,0.0017806267806267807
cambio,10,0.0017806267806267807
encuestar,10,0.0017806267806267807
its,10,0.0017806267806267807
unir,10,0.0017806267806267807
humano,9,0.0016025641025641025
necesidad,9,0.0016025641025641025
2,9,0.0016025641025641025
dirigir,9,0.0016025641025641025
objetivo,9,0.0016025641025641025
tipo,9,0.0016025641025641025
aborto,9,0.0016025641025641025
entrevista,9,0.0016025641025641025
prevención,9,0.0016025641025641025
incluir,9,0.0016025641025641025
actitud,9,0.0016025641025641025
familia,9,0.0016025641025641025
rural,9,0.0016025641025641025
referir,9,0.0016025641025641025
19,9,0.0016025641025641025
enfrentar,9,0.0016025641025641025
económico,9,0.0016025641025641025
individuo,9,0.0016025641025641025
acercar,8,0.0014245014245014246
necesario,8,0.0014245014245014246
mayoría,8,0.0014245014245014246
ámbito,8,0.0014245014245014246
presentar,8,0.0014245014245014246
muestra,8,0.0014245014245014246
decisión,8,0.0014245014245014246
caso,8,0.0014245014245014246
anticonceptivo,8,0.0014245014245014246
nsnc,8,0.0014245014245014246
parecer,8,0.0014245014245014246
vivir,8,0.0014245014245014246
seguir,7,0.0012464387464387464
tratar,7,0.0012464387464387464
ejercicio,7,0.0012464387464387464
factor,7,0.0012464387464387464
nacional,7,0.0012464387464387464
requerir,7,0.0012464387464387464
afirmar,7,0.0012464387464387464
médico,7,0.0012464387464387464
enfermedad,7,0.0012464387464387464
transmisión,7,0.0012464387464387464
formación,7,0.0012464387464387464
quedar,7,0.0012464387464387464
observar,7,0.0012464387464387464
sexualmente,7,0.0012464387464387464
señalar,7,0.0012464387464387464
gente,7,0.0012464387464387464
condición,7,0.0012464387464387464
do,7,0.0012464387464387464
atención,7,0.0012464387464387464
reconocer,7,0.0012464387464387464
juventud,7,0.0012464387464387464
expresar,7,0.0012464387464387464
persona,7,0.0012464387464387464
deseo,7,0.0012464387464387464
material,6,0.0010683760683760685
problema,6,0.0010683760683760685
contar,6,0.0010683760683760685
forma,6,0.0010683760683760685
acción,6,0.0010683760683760685
relacionar,6,0.0010683760683760685
cabo,6,0.0010683760683760685
importante,6,0.0010683760683760685
resultar,6,0.0010683760683760685
maestro,6,0.0010683760683760685
15,6,0.0010683760683760685
entrevistar,6,0.0010683760683760685
infección,6,0.0010683760683760685
científico,6,0.0010683760683760685
aceptar,6,0.0010683760683760685
hijo,6,0.0010683760683760685
porcentaje,6,0.0010683760683760685
escolarización,6,0.0010683760683760685
comprender,6,0.0010683760683760685
vih,6,0.0010683760683760685
realidad,6,0.0010683760683760685
adecuar,6,0.0010683760683760685
chicosas,6,0.0010683760683760685
obligatorio,6,0.0010683760683760685
acoger,6,0.0010683760683760685
variar,6,0.0010683760683760685
participar,6,0.0010683760683760685
curso,6,0.0010683760683760685
número,6,0.0010683760683760685
interés,6,0.0010683760683760685
idea,6,0.0010683760683760685
escuela,6,0.0010683760683760685
valor,6,0.0010683760683760685
razón,6,0.0010683760683760685
reportar,6,0.0010683760683760685
bello,6,0.0010683760683760685
frecuente,6,0.0010683760683760685
socioeconómico,6,0.0010683760683760685
universidad,6,0.0010683760683760685
vulnerabilidad,6,0.0010683760683760685
femenino,6,0.0010683760683760685
familiar,6,0.0010683760683760685
personal,6,0.0010683760683760685
casar,6,0.0010683760683760685
disminuir,6,0.0010683760683760685
comenzar,6,0.0010683760683760685
dimensión,6,0.0010683760683760685
aspecto,6,0.0010683760683760685
alterno,6,0.0010683760683760685
integral,6,0.0010683760683760685
proceso,5,0.0008903133903133903
construcción,5,0.0008903133903133903
país,5,0.0008903133903133903
principalmente,5,0.0008903133903133903
particular,5,0.0008903133903133903
atender,5,0.0008903133903133903
enseñanza,5,0.0008903133903133903
principal,5,0.0008903133903133903
presente,5,0.0008903133903133903
abrir,5,0.0008903133903133903
penetración,5,0.0008903133903133903
plantear,5,0.0008903133903133903
legal,5,0.0008903133903133903
querer,5,0.0008903133903133903
alto,5,0.0008903133903133903
declarar,5,0.0008903133903133903
centro,5,0.0008903133903133903
planificación,5,0.0008903133903133903
servicio,5,0.0008903133903133903
20,5,0.0008903133903133903
ciudad,5,0.0008903133903133903
distribuir,5,0.0008903133903133903
función,5,0.0008903133903133903
manifestar,5,0.0008903133903133903
mitad,5,0.0008903133903133903
formal,5,0.0008903133903133903
tiempo,5,0.0008903133903133903
zona,5,0.0008903133903133903
18,5,0.0008903133903133903
amoroso,5,0.0008903133903133903
presencia,5,0.0008903133903133903
historia,5,0.0008903133903133903
capacidad,5,0.0008903133903133903
iniciar,5,0.0008903133903133903
significar,5,0.0008903133903133903
soltero,5,0.0008903133903133903
24,5,0.0008903133903133903
representar,5,0.0008903133903133903
25,5,0.0008903133903133903
volver,5,0.0008903133903133903
practicar,5,0.0008903133903133903
sistema,5,0.0008903133903133903
reducir,5,0.0008903133903133903
marco,5,0.0008903133903133903
socialmente,5,0.0008903133903133903
reproducción,5,0.0008903133903133903
establecer,5,0.0008903133903133903
asimismo,5,0.0008903133903133903
llegar,5,0.0008903133903133903
proteger,5,0.0008903133903133903
actividad_sexual,5,0.0008903133903133903
libre,5,0.0008903133903133903
virginidad,5,0.0008903133903133903
ocasión,5,0.0008903133903133903
ampliar,5,0.0008903133903133903
psicológico,5,0.0008903133903133903
sector,5,0.0008903133903133903
