Respuesta,Frecuencia,Asociación
mujer,3,0.06666666666666667
concepto,2,0.044444444444444446
clitoridianos,2,0.044444444444444446
sexualidad,1,0.022222222222222223
encontrar,1,0.022222222222222223
suponer,1,0.022222222222222223
sexual,1,0.022222222222222223
crear,1,0.022222222222222223
pensar,1,0.022222222222222223
trabajar,1,0.022222222222222223
extenso,1,0.022222222222222223
orgasmo,1,0.022222222222222223
coito,1,0.022222222222222223
masculino,1,0.022222222222222223
tiempo,1,0.022222222222222223
suficiente,1,0.022222222222222223
dejar,1,0.022222222222222223
generalmente,1,0.022222222222222223
consciente,1,0.022222222222222223
desear,1,0.022222222222222223
producir,1,0.022222222222222223
hombre,1,0.022222222222222223
parecer,1,0.022222222222222223
durar,1,0.022222222222222223
penetración,1,0.022222222222222223
desventaja,1,0.022222222222222223
corte,1,0.022222222222222223
contacto,1,0.022222222222222223
filmar,1,0.022222222222222223
excitar,1,0.022222222222222223
periodo,1,0.022222222222222223
mirar,1,0.022222222222222223
cámara,1,0.022222222222222223
complicidad,1,0.022222222222222223
lubricación,1,0.022222222222222223
foco,1,0.022222222222222223
localizar,1,0.022222222222222223
temporalidad,1,0.022222222222222223
pausa,1,0.022222222222222223
espectador,1,0.022222222222222223
sospechosamente,1,0.022222222222222223
