Respuesta,Frecuencia,Asociación
uterino,7,0.043478260869565216
caso,3,0.018633540372670808
muestra,3,0.018633540372670808
promedio,3,0.018633540372670808
instrumental,3,0.018633540372670808
estudio,2,0.012422360248447204
previo,2,0.012422360248447204
tratamiento,2,0.012422360248447204
hallazgo,2,0.012422360248447204
anatomopatológicos,2,0.012422360248447204
maligno,2,0.012422360248447204
ameu,2,0.012422360248447204
determinación,1,0.006211180124223602
extraer,1,0.006211180124223602
método,1,0.006211180124223602
material,1,0.006211180124223602
basar,1,0.006211180124223602
encontrar,1,0.006211180124223602
conocimiento,1,0.006211180124223602
deber,1,0.006211180124223602
general,1,0.006211180124223602
programa,1,0.006211180124223602
2000,1,0.006211180124223602
presentar,1,0.006211180124223602
modelo,1,0.006211180124223602
amplio,1,0.006211180124223602
documento,1,0.006211180124223602
cuyo,1,0.006211180124223602
importante,1,0.006211180124223602
lugar,1,0.006211180124223602
descripción,1,0.006211180124223602
tipo,1,0.006211180124223602
publicación,1,0.006211180124223602
publicar,1,0.006211180124223602
descartar,1,0.006211180124223602
1,1,0.006211180124223602
indicar,1,0.006211180124223602
utilizar,1,0.006211180124223602
número,1,0.006211180124223602
completo,1,0.006211180124223602
propósito,1,0.006211180124223602
nivel,1,0.006211180124223602
incluir,1,0.006211180124223602
identificación,1,0.006211180124223602
clasificar,1,0.006211180124223602
relación,1,0.006211180124223602
servicio,1,0.006211180124223602
medida,1,0.006211180124223602
valor,1,0.006211180124223602
importancia,1,0.006211180124223602
conclusión,1,0.006211180124223602
embarazo,1,0.006211180124223602
desear,1,0.006211180124223602
recibir,1,0.006211180124223602
resultado,1,0.006211180124223602
aborto,1,0.006211180124223602
oms,1,0.006211180124223602
existencia,1,0.006211180124223602
mujer,1,0.006211180124223602
patológico,1,0.006211180124223602
hijo,1,0.006211180124223602
34,1,0.006211180124223602
diagnóstico,1,0.006211180124223602
descriptivo,1,0.006211180124223602
atención,1,0.006211180124223602
normativo,1,0.006211180124223602
terapéutico,1,0.006211180124223602
continuar,1,0.006211180124223602
interrumpir,1,0.006211180124223602
12,1,0.006211180124223602
avalar,1,0.006211180124223602
reciente,1,0.006211180124223602
desplazar,1,0.006211180124223602
90,1,0.006211180124223602
calidad,1,0.006211180124223602
patología,1,0.006211180124223602
medicamento,1,0.006211180124223602
mifepristona,1,0.006211180124223602
procedimiento,1,0.006211180124223602
hospitalario,1,0.006211180124223602
80,1,0.006211180124223602
fármaco,1,0.006211180124223602
recomendar,1,0.006211180124223602
seguridad,1,0.006211180124223602
respectivo,1,0.006211180124223602
intrauterino,1,0.006211180124223602
disminuir,1,0.006211180124223602
9,1,0.006211180124223602
complicación,1,0.006211180124223602
enviar,1,0.006211180124223602
concluir,1,0.006211180124223602
hcg,1,0.006211180124223602
mola,1,0.006211180124223602
hidatiforme,1,0.006211180124223602
ap,1,0.006211180124223602
24,1,0.006211180124223602
βhcg,1,0.006211180124223602
18167,1,0.006211180124223602
uil,1,0.006211180124223602
misoprostol,1,0.006211180124223602
transvaginal,1,0.006211180124223602
375,1,0.006211180124223602
hiperplasia,1,0.006211180124223602
moderar,1,0.006211180124223602
epitelio,1,0.006211180124223602
coriónico,1,0.006211180124223602
625,1,0.006211180124223602
estroma,1,0.006211180124223602
cuidadosamente,1,0.006211180124223602
vigilar,1,0.006211180124223602
seriar,1,0.006211180124223602
extirpar,1,0.006211180124223602
paciente,1,0.006211180124223602
histerectomía,1,0.006211180124223602
numeroso,1,0.006211180124223602
resaltar,1,0.006211180124223602
envío,1,0.006211180124223602
post,1,0.006211180124223602
progresión,1,0.006211180124223602
invasivas,1,0.006211180124223602
restrospectivo,1,0.006211180124223602
wg_g932,1,0.006211180124223602
intervalo,1,0.006211180124223602
124,1,0.006211180124223602
oxitocina,1,0.006211180124223602
ev,1,0.006211180124223602
estancia,1,0.006211180124223602
tm_d43,1,0.006211180124223602
26,1,0.006211180124223602
reporte,1,0.006211180124223602
ubicar,1,0.006211180124223602
compatible,1,0.006211180124223602
parcial,1,0.006211180124223602
sugerir,1,0.006211180124223602
neoplasia,1,0.006211180124223602
eﬁcacia,1,0.006211180124223602
ssa,1,0.006211180124223602
expandir,1,0.006211180124223602
egresar,1,0.006211180124223602
consejería,1,0.006211180124223602
