Respuesta,Frecuencia,Asociación
mujer,5,0.01079913606911447
real,5,0.01079913606911447
academia,5,0.01079913606911447
diccionario,4,0.008639308855291577
español,4,0.008639308855291577
adolescente,4,0.008639308855291577
proceso,3,0.0064794816414686825
definición,3,0.0064794816414686825
población,3,0.0064794816414686825
1,3,0.0064794816414686825
variación,3,0.0064794816414686825
sentir,3,0.0064794816414686825
indígena,3,0.0064794816414686825
2008,3,0.0064794816414686825
católico,3,0.0064794816414686825
demográfico,3,0.0064794816414686825
corpus,2,0.004319654427645789
método,2,0.004319654427645789
palabra,2,0.004319654427645789
humano,2,0.004319654427645789
elemento,2,0.004319654427645789
cultural,2,0.004319654427645789
criterio,2,0.004319654427645789
conjunto,2,0.004319654427645789
atender,2,0.004319654427645789
programa,2,0.004319654427645789
sexual,2,0.004319654427645789
salud,2,0.004319654427645789
2000,2,0.004319654427645789
estudio,2,0.004319654427645789
importante,2,0.004319654427645789
representatividad,2,0.004319654427645789
hablar,2,0.004319654427645789
léxico,2,0.004319654427645789
sincrónico,2,0.004319654427645789
unica,2,0.004319654427645789
querer,2,0.004319654427645789
leer,2,0.004319654427645789
tantra,2,0.004319654427645789
observar,2,0.004319654427645789
condón,2,0.004319654427645789
variable,2,0.004319654427645789
rural,2,0.004319654427645789
iniciar,2,0.004319654427645789
vida_sexual,2,0.004319654427645789
escolarizar,2,0.004319654427645789
sexo,2,0.004319654427645789
vivir,2,0.004319654427645789
erotismo,2,0.004319654427645789
primario,2,0.004319654427645789
señalar,2,0.004319654427645789
unificador,2,0.004319654427645789
permear,2,0.004319654427645789
destacar,2,0.004319654427645789
habitante,2,0.004319654427645789
culto,2,0.004319654427645789
mayoritario,2,0.004319654427645789
sincrético,2,0.004319654427645789
influencia,2,0.004319654427645789
sexualidad,1,0.0021598272138228943
trabajo,1,0.0021598272138228943
extracción,1,0.0021598272138228943
área,1,0.0021598272138228943
méxico,1,0.0021598272138228943
texto,1,0.0021598272138228943
conceptual,1,0.0021598272138228943
etcétera,1,0.0021598272138228943
basar,1,0.0021598272138228943
intentar,1,0.0021598272138228943
diverso,1,0.0021598272138228943
perspectiva,1,0.0021598272138228943
conocimiento,1,0.0021598272138228943
acercar,1,0.0021598272138228943
país,1,0.0021598272138228943
contar,1,0.0021598272138228943
mayoría,1,0.0021598272138228943
información,1,0.0021598272138228943
actual,1,0.0021598272138228943
suponer,1,0.0021598272138228943
principalmente,1,0.0021598272138228943
necesidad,1,0.0021598272138228943
mexicano,1,0.0021598272138228943
factor,1,0.0021598272138228943
ámbito,1,0.0021598272138228943
mundial,1,0.0021598272138228943
buscar,1,0.0021598272138228943
relacionar,1,0.0021598272138228943
fuente,1,0.0021598272138228943
herramienta,1,0.0021598272138228943
variedad,1,0.0021598272138228943
presentar,1,0.0021598272138228943
grupo,1,0.0021598272138228943
año,1,0.0021598272138228943
central,1,0.0021598272138228943
finalidad,1,0.0021598272138228943
modelo,1,0.0021598272138228943
lexicográfico,1,0.0021598272138228943
análisis,1,0.0021598272138228943
amplio,1,0.0021598272138228943
obtención,1,0.0021598272138228943
necesitar,1,0.0021598272138228943
dirigir,1,0.0021598272138228943
cuyo,1,0.0021598272138228943
superar,1,0.0021598272138228943
componer,1,0.0021598272138228943
depender,1,0.0021598272138228943
presente,1,0.0021598272138228943
abrir,1,0.0021598272138228943
resultar,1,0.0021598272138228943
tipo,1,0.0021598272138228943
niño,1,0.0021598272138228943
punto,1,0.0021598272138228943
mostrar,1,0.0021598272138228943
histórico,1,0.0021598272138228943
cubrir,1,0.0021598272138228943
género,1,0.0021598272138228943
referente,1,0.0021598272138228943
integrar,1,0.0021598272138228943
respetar,1,0.0021598272138228943
utilizar,1,0.0021598272138228943
complejo,1,0.0021598272138228943
escribir,1,0.0021598272138228943
conformar,1,0.0021598272138228943
número,1,0.0021598272138228943
estrato,1,0.0021598272138228943
división,1,0.0021598272138228943
diversidad,1,0.0021598272138228943
tomar,1,0.0021598272138228943
abarcar,1,0.0021598272138228943
diasistemáticos,1,0.0021598272138228943
diatópico,1,0.0021598272138228943
trabajar,1,0.0021598272138228943
geográfico,1,0.0021598272138228943
caso,1,0.0021598272138228943
región,1,0.0021598272138228943
diatécnico,1,0.0021598272138228943
ii2,1,0.0021598272138228943
incorporar,1,0.0021598272138228943
posibilidad,1,0.0021598272138228943
hablante,1,0.0021598272138228943
dominar,1,0.0021598272138228943
nivel,1,0.0021598272138228943
continuación,1,0.0021598272138228943
lexicografo,1,0.0021598272138228943
actualizar,1,0.0021598272138228943
ejecución,1,0.0021598272138228943
sumo,1,0.0021598272138228943
importancia,1,0.0021598272138228943
determinar,1,0.0021598272138228943
activo,1,0.0021598272138228943
defición,1,0.0021598272138228943
mano,1,0.0021598272138228943
aplicar,1,0.0021598272138228943
éxito,1,0.0021598272138228943
ejecutable,1,0.0021598272138228943
interesar,1,0.0021598272138228943
enigmático,1,0.0021598272138228943
poesía,1,0.0021598272138228943
fabricación,1,0.0021598272138228943
oficio,1,0.0021598272138228943
habilidad,1,0.0021598272138228943
verbal,1,0.0021598272138228943
laslos,1,0.0021598272138228943
poeta,1,0.0021598272138228943
inventar,1,0.0021598272138228943
idioma,1,0.0021598272138228943
valer,1,0.0021598272138228943
privilegio,1,0.0021598272138228943
posición,1,0.0021598272138228943
ritmo,1,0.0021598272138228943
misterio,1,0.0021598272138228943
precisamente,1,0.0021598272138228943
pierna,1,0.0021598272138228943
frida,1,0.0021598272138228943
saberque,1,0.0021598272138228943
voz,1,0.0021598272138228943
marca,1,0.0021598272138228943
dejar,1,0.0021598272138228943
experiencia,1,0.0021598272138228943
consideración,1,0.0021598272138228943
feminista,1,0.0021598272138228943
constitución,1,0.0021598272138228943
1991,1,0.0021598272138228943
anulación,1,0.0021598272138228943
identitarios,1,0.0021598272138228943
posibilitar,1,0.0021598272138228943
demanda,1,0.0021598272138228943
nación,1,0.0021598272138228943
único,1,0.0021598272138228943
religión,1,0.0021598272138228943
raza,1,0.0021598272138228943
ordenamiento,1,0.0021598272138228943
binario,1,0.0021598272138228943
explosión,1,0.0021598272138228943
microcomunidad,1,0.0021598272138228943
reivindicar,1,0.0021598272138228943
existencia,1,0.0021598272138228943
espinal,1,0.0021598272138228943
sostener,1,0.0021598272138228943
complexus,1,0.0021598272138228943
part,1,0.0021598272138228943
pas,1,0.0021598272138228943
complecti,1,0.0021598272138228943
enlazar1,1,0.0021598272138228943
adj,1,0.0021598272138228943
polo,1,0.0021598272138228943
receptivo,1,0.0021598272138228943
madre,1,0.0021598272138228943
energía,1,0.0021598272138228943
sánscrito,1,0.0021598272138228943
propiamente,1,0.0021598272138228943
telar,1,0.0021598272138228943
urdimbre,1,0.0021598272138228943
evocador,1,0.0021598272138228943
holismo,1,0.0021598272138228943
complejidad,1,0.0021598272138228943
guerrero,1,0.0021598272138228943
arjuna,1,0.0021598272138228943
batalla,1,0.0021598272138228943
asentar,1,0.0021598272138228943
cuerpo,1,0.0021598272138228943
emplear,1,0.0021598272138228943
oír,1,0.0021598272138228943
ojo,1,0.0021598272138228943
piel,1,0.0021598272138228943
mente,1,0.0021598272138228943
disfrutar,1,0.0021598272138228943
objeto,1,0.0021598272138228943
sonido,1,0.0021598272138228943
nitidez,1,0.0021598272138228943
instar,1,0.0021598272138228943
vivencia,1,0.0021598272138228943
considerar,1,0.0021598272138228943
limitación,1,0.0021598272138228943
encuesta,1,0.0021598272138228943
incluir,1,0.0021598272138228943
dicha,1,0.0021598272138228943
aproximación,1,0.0021598272138228943
étnico,1,0.0021598272138228943
cultura,1,0.0021598272138228943
aislamiento,1,0.0021598272138228943
beneficio,1,0.0021598272138228943
proveer,1,0.0021598272138228943
probabilidad,1,0.0021598272138228943
18,1,0.0021598272138228943
relación_sexual,1,0.0021598272138228943
residir,1,0.0021598272138228943
razón,1,0.0021598272138228943
momio,1,0.0021598272138228943
cincar,1,0.0021598272138228943
controlar,1,0.0021598272138228943
referir,1,0.0021598272138228943
prevención,1,0.0021598272138228943
enfermedad,1,0.0021598272138228943
transmisión,1,0.0021598272138228943
ensa,1,0.0021598272138228943
edad,1,0.0021598272138228943
residencia,1,0.0021598272138228943
urbano,1,0.0021598272138228943
mediano,1,0.0021598272138228943
altamente,1,0.0021598272138228943
masculino,1,0.0021598272138228943
perfil,1,0.0021598272138228943
debut,1,0.0021598272138228943
evidencia,1,0.0021598272138228943
hallazgo,1,0.0021598272138228943
alerta,1,0.0021598272138228943
diseñar,1,0.0021598272138228943
exo,1,0.0021598272138228943
interesante,1,0.0021598272138228943
semejar,1,0.0021598272138228943
termómetro,1,0.0021598272138228943
moral,1,0.0021598272138228943
sociedad,1,0.0021598272138228943
compartir,1,0.0021598272138228943
llamar,1,0.0021598272138228943
atención,1,0.0021598272138228943
griego,1,0.0021598272138228943
eros,1,0.0021598272138228943
amor,1,0.0021598272138228943
enfermizo,1,0.0021598272138228943
calidad,1,0.0021598272138228943
escuela,1,0.0021598272138228943
suficiente,1,0.0021598272138228943
analfabetismo,1,0.0021598272138228943
funcional,1,0.0021598272138228943
monolingüe,1,0.0021598272138228943
adquirir,1,0.0021598272138228943
asimismo,1,0.0021598272138228943
grado,1,0.0021598272138228943
familia,1,0.0021598272138228943
hijo,1,0.0021598272138228943
terminar,1,0.0021598272138228943
opsorganización,1,0.0021598272138228943
oms,1,0.0021598272138228943
warren,1,0.0021598272138228943
1996,1,0.0021598272138228943
significar,1,0.0021598272138228943
machohembra,1,0.0021598272138228943
perteneciente,1,0.0021598272138228943
órgano,1,0.0021598272138228943
desarrollar,1,0.0021598272138228943
psicosocial,1,0.0021598272138228943
dimorfismo,1,0.0021598272138228943
polisémico,1,0.0021598272138228943
1979,1,0.0021598272138228943
padgug,1,0.0021598272138228943
dificultad,1,0.0021598272138228943
categoría,1,0.0021598272138228943
hembra,1,0.0021598272138228943
tiempo,1,0.0021598272138228943
referencia,1,0.0021598272138228943
casar,1,0.0021598272138228943
rocha,1,0.0021598272138228943
díazloving,1,0.0021598272138228943
2011,1,0.0021598272138228943
plantear,1,0.0021598272138228943
hombre,1,0.0021598272138228943
resultado,1,0.0021598272138228943
asignación,1,0.0021598272138228943
socieconómica,1,0.0021598272138228943
extremadamente,1,0.0021598272138228943
desigual,1,0.0021598272138228943
iglesia,1,0.0021598272138228943
peculiar,1,0.0021598272138228943
cerrar,1,0.0021598272138228943
duro,1,0.0021598272138228943
callosidad,1,0.0021598272138228943
palma,1,0.0021598272138228943
codo,1,0.0021598272138228943
rodilla,1,0.0021598272138228943
planta,1,0.0021598272138228943
pie,1,0.0021598272138228943
colgar,1,0.0021598272138228943
grueso,1,0.0021598272138228943
labio,1,0.0021598272138228943
color,1,0.0021598272138228943
bermellón,1,0.0021598272138228943
imitar,1,0.0021598272138228943
jadeo,1,0.0021598272138228943
lobo,1,0.0021598272138228943
bostezar,1,0.0021598272138228943
comprensión,1,0.0021598272138228943
comportamiento,1,0.0021598272138228943
sector,1,0.0021598272138228943
clasificar,1,0.0021598272138228943
oficialmente,1,0.0021598272138228943
conclusión,1,0.0021598272138228943
trascendental,1,0.0021598272138228943
parroquia,1,0.0021598272138228943
proporción,1,0.0021598272138228943
antecedente,1,0.0021598272138228943
inmediato,1,0.0021598272138228943
comunidad,1,0.0021598272138228943
recientemente,1,0.0021598272138228943
ayudar,1,0.0021598272138228943
arrojar,1,0.0021598272138228943
luz,1,0.0021598272138228943
período,1,0.0021598272138228943
virreinal,1,0.0021598272138228943
acxotla,1,0.0021598272138228943
monte,1,0.0021598272138228943
república,1,0.0021598272138228943
indio,1,0.0021598272138228943
poblado,1,0.0021598272138228943
acelerar,1,0.0021598272138228943
crecimiento,1,0.0021598272138228943
siglo,1,0.0021598272138228943
xx,1,0.0021598272138228943
respeto,1,0.0021598272138228943
tolerancia,1,0.0021598272138228943
habitar,1,0.0021598272138228943
persona,1,0.0021598272138228943
distinto,1,0.0021598272138228943
origen,1,0.0021598272138228943
racial,1,0.0021598272138228943
riqueza,1,0.0021598272138228943
combatir,1,0.0021598272138228943
prejuicio,1,0.0021598272138228943
