Respuesta,Frecuencia,Asociación
hablar,2,0.05128205128205128
natural,2,0.05128205128205128
amor,2,0.05128205128205128
noche,2,0.05128205128205128
concepto,1,0.02564102564102564
sexual,1,0.02564102564102564
crear,1,0.02564102564102564
momento,1,0.02564102564102564
libre,1,0.02564102564102564
separar,1,0.02564102564102564
tiempo,1,0.02564102564102564
generalizar,1,0.02564102564102564
volver,1,0.02564102564102564
do,1,0.02564102564102564
consecuencia,1,0.02564102564102564
práctica,1,0.02564102564102564
luz,1,0.02564102564102564
considerar,1,0.02564102564102564
mujer,1,0.02564102564102564
op,1,0.02564102564102564
cit,1,0.02564102564102564
hijo,1,0.02564102564102564
aceptar,1,0.02564102564102564
varón,1,0.02564102564102564
libertad,1,0.02564102564102564
responsabilidad,1,0.02564102564102564
cerrar,1,0.02564102564102564
ambiente,1,0.02564102564102564
actuación,1,0.02564102564102564
ventana,1,0.02564102564102564
encuentro,1,0.02564102564102564
41,1,0.02564102564102564
nocturno,1,0.02564102564102564
apagar,1,0.02564102564102564
signiﬁcados,1,0.02564102564102564
