Respuesta,Frecuencia,Asociación
sexual,13,0.013429752066115703
sexo,6,0.006198347107438017
íntimamente,5,0.005165289256198347
proceso,4,0.004132231404958678
factor,4,0.004132231404958678
1,4,0.004132231404958678
pobreza,4,0.004132231404958678
sexualidad,3,0.0030991735537190084
problema,3,0.0030991735537190084
humano,3,0.0030991735537190084
encontrar,3,0.0030991735537190084
social,3,0.0030991735537190084
cultural,3,0.0030991735537190084
riesgo,3,0.0030991735537190084
presentar,3,0.0030991735537190084
momento,3,0.0030991735537190084
2,3,0.0030991735537190084
género,3,0.0030991735537190084
práctica,3,0.0030991735537190084
identidad,3,0.0030991735537190084
política,3,0.0030991735537190084
estrechamente,3,0.0030991735537190084
estructural,3,0.0030991735537190084
caso,3,0.0030991735537190084
función,3,0.0030991735537190084
hombre,3,0.0030991735537190084
servicio,3,0.0030991735537190084
enfermedad,3,0.0030991735537190084
conducir,3,0.0030991735537190084
médico,3,0.0030991735537190084
hijo,3,0.0030991735537190084
método,2,0.002066115702479339
red,2,0.002066115702479339
etcétera,2,0.002066115702479339
elemento,2,0.002066115702479339
recurso,2,0.002066115702479339
permitir,2,0.002066115702479339
deber,2,0.002066115702479339
población,2,0.002066115702479339
ejercicio,2,0.002066115702479339
particular,2,0.002066115702479339
salud,2,0.002066115702479339
variedad,2,0.002066115702479339
estudio,2,0.002066115702479339
cualquiera,2,0.002066115702479339
acceso,2,0.002066115702479339
tipo,2,0.002066115702479339
joven,2,0.002066115702479339
histórico,2,0.002066115702479339
idea,2,0.002066115702479339
reforzar,2,0.002066115702479339
complejo,2,0.002066115702479339
decidir,2,0.002066115702479339
tiempo,2,0.002066115702479339
angustiar,2,0.002066115702479339
caduco,2,0.002066115702479339
relación,2,0.002066115702479339
persona,2,0.002066115702479339
situación,2,0.002066115702479339
acto,2,0.002066115702479339
adicción,2,0.002066115702479339
incluir,2,0.002066115702479339
perversión,2,0.002066115702479339
placer,2,0.002066115702479339
tradición,2,0.002066115702479339
cultura,2,0.002066115702479339
dimensión,2,0.002066115702479339
cambio,2,0.002066115702479339
participación,2,0.002066115702479339
femenino,2,0.002066115702479339
integral,2,0.002066115702479339
impedir,2,0.002066115702479339
paso,2,0.002066115702479339
móvil,2,0.002066115702479339
probabilístico,2,0.002066115702479339
infección,2,0.002066115702479339
conducta,2,0.002066115702479339
frecuencia,2,0.002066115702479339
ocurrir,2,0.002066115702479339
elección,2,0.002066115702479339
individuo,2,0.002066115702479339
vulnerabilidad,2,0.002066115702479339
migrante,2,0.002066115702479339
legal,2,0.002066115702479339
consecuencia,2,0.002066115702479339
entender,2,0.002066115702479339
its,2,0.002066115702479339
fuerte,2,0.002066115702479339
esfuerzo,2,0.002066115702479339
mujer,2,0.002066115702479339
continuar,2,0.002066115702479339
considerar,2,0.002066115702479339
razón,2,0.002066115702479339
intenso,2,0.002066115702479339
biológico,2,0.002066115702479339
control,2,0.002066115702479339
actitud,2,0.002066115702479339
masculino,2,0.002066115702479339
asociar,2,0.002066115702479339
imagen,2,0.002066115702479339
centro,2,0.002066115702479339
deseo,2,0.002066115702479339
embrión,2,0.002066115702479339
americano,2,0.002066115702479339
matrimonio,2,0.002066115702479339
inicio,2,0.002066115702479339
pareja,2,0.002066115702479339
procreación,2,0.002066115702479339
aspecto,2,0.002066115702479339
genérico,2,0.002066115702479339
opción,2,0.002066115702479339
gestación,2,0.002066115702479339
