Respuesta,Frecuencia,Asociación
internet,1,0.02631578947368421
difusión,1,0.02631578947368421
año,1,0.02631578947368421
vivir,1,0.02631578947368421
convertir,1,0.02631578947368421
preguntar,1,0.02631578947368421
época,1,0.02631578947368421
mujer,1,0.02631578947368421
película,1,0.02631578947368421
hombre,1,0.02631578947368421
historia,1,0.02631578947368421
adquirir,1,0.02631578947368421
cercanía,1,0.02631578947368421
protagonizar,1,0.02631578947368421
pobre,1,0.02631578947368421
pueblo,1,0.02631578947368421
carta,1,0.02631578947368421
desgraciar,1,0.02631578947368421
norte,1,0.02631578947368421
ochenta,1,0.02631578947368421
belleza,1,0.02631578947368421
sombra,1,0.02631578947368421
popularidad,1,0.02631578947368421
envejecer,1,0.02631578947368421
alcohólico,1,0.02631578947368421
zoom,1,0.02631578947368421
deep,1,0.02631578947368421
throat,1,0.02631578947368421
garganta_profundo,1,0.02631578947368421
lovelace,1,0.02631578947368421
taboo,1,0.02631578947368421
inside,1,0.02631578947368421
jennifer,1,0.02631578947368421
wells,1,0.02631578947368421
videocassette,1,0.02631578947368421
elvira8,1,0.02631578947368421
dandy,1,0.02631578947368421
prudencio,1,0.02631578947368421
