Respuesta,Frecuencia,Asociación
semana,3,0.04225352112676056
enfermedad,2,0.028169014084507043
clamidias,2,0.028169014084507043
uretritis,2,0.028169014084507043
deber,1,0.014084507042253521
sexual,1,0.014084507042253521
mínimo,1,0.014084507042253521
3,1,0.014084507042253521
caso,1,0.014084507042253521
transmisión,1,0.014084507042253521
iv,1,0.014084507042253521
especificar,1,0.014084507042253521
prueba,1,0.014084507042253521
norma,1,0.014084507042253521
infección,1,0.014084507042253521
genital,1,0.014084507042253521
caracterizar,1,0.014084507042253521
oficial,1,0.014084507042253521
genitales,1,0.014084507042253521
paciente,1,0.014084507042253521
its,1,0.014084507042253521
virus,1,0.014084507042253521
tracto,1,0.014084507042253521
recto,1,0.014084507042253521
ano,1,0.014084507042253521
sospechoso,1,0.014084507042253521
cervicitis,1,0.014084507042253521
treponema,1,0.014084507042253521
329,1,0.014084507042253521
3210,1,0.014084507042253521
intravenoso,1,0.014084507042253521
3211,1,0.014084507042253521
lgv,1,0.014084507042253521
3212,1,0.014084507042253521
mhatp,1,0.014084507042253521
microhemoaglutinación,1,0.014084507042253521
pallidum,1,0.014084507042253521
3213,1,0.014084507042253521
nom,1,0.014084507042253521
a547,1,0.014084507042253521
gonocócico,1,0.014084507042253521
a548,1,0.014084507042253521
a55,1,0.014084507042253521
a56,1,0.014084507042253521
a560,1,0.014084507042253521
chancroide,1,0.014084507042253521
4212,1,0.014084507042253521
herpes,1,0.014084507042253521
simplex,1,0.014084507042253521
4213,1,0.014084507042253521
granuloma_inguinal,1,0.014084507042253521
4214,1,0.014084507042253521
4215,1,0.014084507042253521
sífilis,1,0.014084507042253521
422,1,0.014084507042253521
4221,1,0.014084507042253521
tm_h4,1,0.014084507042253521
54335,1,0.014084507042253521
azitromicina,1,0.014084507042253521
gramo,1,0.014084507042253521
544,1,0.014084507042253521
5441,1,0.014084507042253521
úlcera,1,0.014084507042253521
linfadenopatía,1,0.014084507042253521
inguinal,1,0.014084507042253521
femoral,1,0.014084507042253521
