Respuesta,Frecuencia,Asociación
grupo,1,0.05263157894736842
género,1,0.05263157894736842
cosa,1,0.05263157894736842
convertir,1,0.05263157894736842
sexo,1,0.05263157894736842
mujer,1,0.05263157894736842
hombre,1,0.05263157894736842
script,1,0.05263157894736842
instrucción,1,0.05263157894736842
letra,1,0.05263157894736842
gato,1,0.05263157894736842
virgen,1,0.05263157894736842
quitar,1,0.05263157894736842
velo,1,0.05263157894736842
doler,1,0.05263157894736842
portar,1,0.05263157894736842
lanzar,1,0.05263157894736842
ocio,1,0.05263157894736842
compartir,1,0.05263157894736842
