Respuesta,Frecuencia,Asociación
humano,2,0.037037037037037035
sexualidad,1,0.018518518518518517
indispensable,1,0.018518518518518517
existir,1,0.018518518518518517
forma,1,0.018518518518518517
factor,1,0.018518518518518517
presente,1,0.018518518518518517
1,1,0.018518518518518517
caso,1,0.018518518518518517
querer,1,0.018518518518518517
cuestión,1,0.018518518518518517
relación,1,0.018518518518518517
individuo,1,0.018518518518518517
soporte,1,0.018518518518518517
designar,1,0.018518518518518517
importancia,1,0.018518518518518517
consecuencia,1,0.018518518518518517
aportar,1,0.018518518518518517
generación,1,0.018518518518518517
actuar,1,0.018518518518518517
sexuado,1,0.018518518518518517
unión,1,0.018518518518518517
reproducción,1,0.018518518518518517
reflexión,1,0.018518518518518517
madre,1,0.018518518518518517
embrión,1,0.018518518518518517
nacimiento,1,0.018518518518518517
especie,1,0.018518518518518517
década,1,0.018518518518518517
organismo,1,0.018518518518518517
animal,1,0.018518518518518517
causar,1,0.018518518518518517
endometrio,1,0.018518518518518517
placentario,1,0.018518518518518517
implicación,1,0.018518518518518517
famoso,1,0.018518518518518517
transferencia,1,0.018518518518518517
nuclear,1,0.018518518518518517
señal,1,0.018518518518518517
gameto,1,0.018518518518518517
reconsiderar,1,0.018518518518518517
simbiótico,1,0.018518518518518517
homo,1,0.018518518518518517
sapiens,1,0.018518518518518517
revuelo,1,0.018518518518518517
dolly,1,0.018518518518518517
oveja,1,0.018518518518518517
clonar,1,0.018518518518518517
epigenético,1,0.018518518518518517
alonso,1,0.018518518518518517
bedate,1,0.018518518518518517
deﬁnición,1,0.018518518518518517
taxonómico,1,0.018518518518518517
