Respuesta,Frecuencia,Asociación
erotismo,4,0.03773584905660377
proceso,2,0.018867924528301886
femenino,2,0.018867924528301886
asociar,2,0.018867924528301886
olor,2,0.018867924528301886
prenda,2,0.018867924528301886
klismafilia,2,0.018867924528301886
enema,2,0.018867924528301886
urolagnia,2,0.018867924528301886
hez,2,0.018867924528301886
osmalagnia,2,0.018867924528301886
artículo,1,0.009433962264150943
social,1,0.009433962264150943
deber,1,0.009433962264150943
general,1,0.009433962264150943
suponer,1,0.009433962264150943
sexual,1,0.009433962264150943
constituir,1,0.009433962264150943
salud,1,0.009433962264150943
obtención,1,0.009433962264150943
público,1,0.009433962264150943
distribución,1,0.009433962264150943
indicar,1,0.009433962264150943
ii,1,0.009433962264150943
realidad,1,0.009433962264150943
placer,1,0.009433962264150943
fetichismo,1,0.009433962264150943
coprofilia,1,0.009433962264150943
comportamiento,1,0.009433962264150943
incorporar,1,0.009433962264150943
libro,1,0.009433962264150943
persona,1,0.009433962264150943
título,1,0.009433962264150943
condición,1,0.009433962264150943
elección,1,0.009433962264150943
relativo,1,0.009433962264150943
v,1,0.009433962264150943
norma,1,0.009433962264150943
sexo,1,0.009433962264150943
regulación,1,0.009433962264150943
ley,1,0.009433962264150943
ocupar,1,0.009433962264150943
generar,1,0.009433962264150943
canción,1,0.009433962264150943
erótico,1,0.009433962264150943
transformar,1,0.009433962264150943
impedir,1,0.009433962264150943
reconstruir,1,0.009433962264150943
discurso,1,0.009433962264150943
entorno,1,0.009433962264150943
colectivo,1,0.009433962264150943
españa,1,0.009433962264150943
justificar,1,0.009433962264150943
normatividad,1,0.009433962264150943
provocar,1,0.009433962264150943
genético,1,0.009433962264150943
medicamento,1,0.009433962264150943
vigente,1,0.009433962264150943
urgir,1,0.009433962264150943
contaminación,1,0.009433962264150943
excusa,1,0.009433962264150943
alteración,1,0.009433962264150943
higiénico,1,0.009433962264150943
orinar,1,0.009433962264150943
preparación,1,0.009433962264150943
código,1,0.009433962264150943
fabricación,1,0.009433962264150943
típicamente,1,0.009433962264150943
excitación,1,0.009433962264150943
simplemente,1,0.009433962264150943
delito,1,0.009433962264150943
penal,1,0.009433962264150943
resignificar,1,0.009433962264150943
conservación,1,0.009433962264150943
aclarar,1,0.009433962264150943
familiarizar,1,0.009433962264150943
cadáver,1,0.009433962264150943
superficial,1,0.009433962264150943
orina,1,0.009433962264150943
abrigo,1,0.009433962264150943
foco,1,0.009433962264150943
fingir,1,0.009433962264150943
necrofilia,1,0.009433962264150943
insumo,1,0.009433962264150943
rúbrica,1,0.009433962264150943
difuminar,1,0.009433962264150943
autocomplaciente,1,0.009433962264150943
envasar,1,0.009433962264150943
adulteración,1,0.009433962264150943
coprolagnia,1,0.009433962264150943
nauseabundo,1,0.009433962264150943
ofolagnia,1,0.009433962264150943
transvestista,1,0.009433962264150943
