Respuesta,Frecuencia,Asociación
mujer,2,0.05405405405405406
sexual,1,0.02702702702702703
presentar,1,0.02702702702702703
separar,1,0.02702702702702703
límite,1,0.02702702702702703
representar,1,0.02702702702702703
masculino,1,0.02702702702702703
cultura,1,0.02702702702702703
recordar,1,0.02702702702702703
costo,1,0.02702702702702703
norma,1,0.02702702702702703
homosexualidad,1,0.02702702702702703
prensa,1,0.02702702702702703
hombre,1,0.02702702702702703
frontera,1,0.02702702702702703
beneficio,1,0.02702702702702703
economía,1,0.02702702702702703
esgrimir,1,0.02702702702702703
traer,1,0.02702702702702703
administrar,1,0.02702702702702703
amenaza,1,0.02702702702702703
insulto,1,0.02702702702702703
prostituta,1,0.02702702702702703
dominante,1,0.02702702702702703
trazar,1,0.02702702702702703
dignidad,1,0.02702702702702703
decente,1,0.02702702702702703
acarrear,1,0.02702702702702703
prostitución,1,0.02702702702702703
transgresión,1,0.02702702702702703
instalación,1,0.02702702702702703
córdova,1,0.02702702702702703
hermenéutica,1,0.02702702702702703
disoluto,1,0.02702702702702703
recatar,1,0.02702702702702703
puta,1,0.02702702702702703
