Respuesta,Frecuencia,Asociación
venta,2,0.05128205128205128
red,1,0.02564102564102564
particular,1,0.02564102564102564
organización,1,0.02564102564102564
análisis,1,0.02564102564102564
importante,1,0.02564102564102564
finalmente,1,0.02564102564102564
manual,1,0.02564102564102564
cuerpo,1,0.02564102564102564
masturbación,1,0.02564102564102564
ofrecer,1,0.02564102564102564
cosa,1,0.02564102564102564
cualitativo,1,0.02564102564102564
clase,1,0.02564102564102564
familiar,1,0.02564102564102564
suerte,1,0.02564102564102564
alcanzar,1,0.02564102564102564
vender,1,0.02564102564102564
solicitar,1,0.02564102564102564
47,1,0.02564102564102564
hallazgo,1,0.02564102564102564
83,1,0.02564102564102564
ocupación,1,0.02564102564102564
corporal,1,0.02564102564102564
disociación,1,0.02564102564102564
n8,1,0.02564102564102564
cliente,1,0.02564102564102564
trabajador_sexual,1,0.02564102564102564
ciberespacio,1,0.02564102564102564
emprendedurismo,1,0.02564102564102564
inimaginable,1,0.02564102564102564
virtual,1,0.02564102564102564
desterritorializado,1,0.02564102564102564
pastel,1,0.02564102564102564
boda,1,0.02564102564102564
n11,1,0.02564102564102564
61,1,0.02564102564102564
n6,1,0.02564102564102564
