Respuesta,Frecuencia,Asociación
femenino,61,0.015505846466700559
mujer,48,0.012201321809862735
sexualidad,43,0.010930350788002034
hombre,39,0.009913573970513472
sexual,38,0.009659379766141332
sexo,33,0.00838840874428063
salud,27,0.0068632435180477885
género,24,0.006100660904931368
social,20,0.005083884087442806
rol,19,0.004829689883070666
varón,17,0.004321301474326385
proceso,16,0.004067107269954245
reproductivo,16,0.004067107269954245
deber,14,0.0035587188612099642
forma,13,0.0033045246568378242
año,13,0.0033045246568378242
persona,13,0.0033045246568378242
cuerpo,12,0.003050330452465684
construcción,11,0.0027961362480935434
dominación,11,0.0027961362480935434
cultura,11,0.0027961362480935434
edad,11,0.0027961362480935434
niño,10,0.002541942043721403
1,10,0.002541942043721403
comportamiento,10,0.002541942043721403
pornografía,10,0.002541942043721403
identidad,9,0.002287747839349263
contexto,8,0.0020335536349771225
papel,8,0.0020335536349771225
caso,8,0.0020335536349771225
relación,8,0.0020335536349771225
considerar,8,0.0020335536349771225
masculinidad,8,0.0020335536349771225
diferencia,8,0.0020335536349771225
problema,7,0.0017793594306049821
permitir,7,0.0017793594306049821
implicar,7,0.0017793594306049821
biológico,7,0.0017793594306049821
deseo,7,0.0017793594306049821
valor,7,0.0017793594306049821
violencia,7,0.0017793594306049821
vida,7,0.0017793594306049821
término,6,0.001525165226232842
perspectiva,6,0.001525165226232842
encontrar,6,0.001525165226232842
construir,6,0.001525165226232842
establecer,6,0.001525165226232842
sujeto,6,0.001525165226232842
referir,6,0.001525165226232842
actitud,6,0.001525165226232842
conducta,6,0.001525165226232842
historia,6,0.001525165226232842
frente,6,0.001525165226232842
do,6,0.001525165226232842
aspecto,6,0.001525165226232842
representación,6,0.001525165226232842
práctica,6,0.001525165226232842
característica,6,0.001525165226232842
heterosexual,6,0.001525165226232842
diverso,5,0.0012709710218607015
humano,5,0.0012709710218607015
población,5,0.0012709710218607015
existir,5,0.0012709710218607015
principalmente,5,0.0012709710218607015
relacionar,5,0.0012709710218607015
investigación,5,0.0012709710218607015
dirigir,5,0.0012709710218607015
definir,5,0.0012709710218607015
lugar,5,0.0012709710218607015
tipo,5,0.0012709710218607015
3,5,0.0012709710218607015
hablar,5,0.0012709710218607015
asociar,5,0.0012709710218607015
actuar,5,0.0012709710218607015
sociedad,5,0.0012709710218607015
plantear,5,0.0012709710218607015
parecer,5,0.0012709710218607015
campo,5,0.0012709710218607015
adolescente,5,0.0012709710218607015
imagen,5,0.0012709710218607015
generar,5,0.0012709710218607015
cambio,5,0.0012709710218607015
personal,5,0.0012709710218607015
cambiar,5,0.0012709710218607015
tratamiento,5,0.0012709710218607015
referencia,5,0.0012709710218607015
fuerza,5,0.0012709710218607015
experiencia,5,0.0012709710218607015
socialización,5,0.0012709710218607015
percepción,5,0.0012709710218607015
identidad_de_género,5,0.0012709710218607015
posibilidad,5,0.0012709710218607015
evidencia,5,0.0012709710218607015
asignar,5,0.0012709710218607015
pareja,5,0.0012709710218607015
atributo,5,0.0012709710218607015
físico,5,0.0012709710218607015
costumbre,5,0.0012709710218607015
artículo,4,0.0010167768174885613
trabajo,4,0.0010167768174885613
seguir,4,0.0010167768174885613
método,4,0.0010167768174885613
tratar,4,0.0010167768174885613
proyecto,4,0.0010167768174885613
concepto,4,0.0010167768174885613
común,4,0.0010167768174885613
información,4,0.0010167768174885613
responder,4,0.0010167768174885613
programa,4,0.0010167768174885613
factor,4,0.0010167768174885613
ámbito,4,0.0010167768174885613
presentar,4,0.0010167768174885613
grupo,4,0.0010167768174885613
desarrollo,4,0.0010167768174885613
estudio,4,0.0010167768174885613
análisis,4,0.0010167768174885613
2,4,0.0010167768174885613
principal,4,0.0010167768174885613
importante,4,0.0010167768174885613
carácter,4,0.0010167768174885613
pensar,4,0.0010167768174885613
obtener,4,0.0010167768174885613
integrar,4,0.0010167768174885613
división,4,0.0010167768174885613
visión,4,0.0010167768174885613
psicológico,4,0.0010167768174885613
aumento,4,0.0010167768174885613
placer,4,0.0010167768174885613
determinar,4,0.0010167768174885613
sentir,4,0.0010167768174885613
bourdieu,4,0.0010167768174885613
natural,4,0.0010167768174885613
reconocer,4,0.0010167768174885613
aparecer,4,0.0010167768174885613
pasivo,4,0.0010167768174885613
producir,4,0.0010167768174885613
participante,4,0.0010167768174885613
escala,4,0.0010167768174885613
chico,4,0.0010167768174885613
político,4,0.0010167768174885613
disfunción_sexual,4,0.0010167768174885613
dispositivo,4,0.0010167768174885613
mecánico,4,0.0010167768174885613
erección,4,0.0010167768174885613
pene,4,0.0010167768174885613
unión,4,0.0010167768174885613
autocuidado,4,0.0010167768174885613
cabeza,4,0.0010167768174885613
dimensión,4,0.0010167768174885613
generación,4,0.0010167768174885613
1995,4,0.0010167768174885613
familia,4,0.0010167768174885613
sexualmente,4,0.0010167768174885613
condición,4,0.0010167768174885613
económico,4,0.0010167768174885613
genitales,4,0.0010167768174885613
ciento,4,0.0010167768174885613
tiempo,4,0.0010167768174885613
observar,4,0.0010167768174885613
actividad,4,0.0010167768174885613
concebir,4,0.0010167768174885613
derecho,4,0.0010167768174885613
afirmación,4,0.0010167768174885613
quedar,4,0.0010167768174885613
semen,4,0.0010167768174885613
analizar,4,0.0010167768174885613
individuo,4,0.0010167768174885613
pornográfico,4,0.0010167768174885613
real,4,0.0010167768174885613
vertiente,4,0.0010167768174885613
situación,4,0.0010167768174885613
caracterizar,4,0.0010167768174885613
paciente,4,0.0010167768174885613
exclusivamente,4,0.0010167768174885613
área,3,0.000762582613116421
lenguaje,3,0.000762582613116421
texto,3,0.000762582613116421
pretender,3,0.000762582613116421
general,3,0.000762582613116421
actual,3,0.000762582613116421
necesidad,3,0.000762582613116421
constituir,3,0.000762582613116421
creciente,3,0.000762582613116421
nacional,3,0.000762582613116421
modelo,3,0.000762582613116421
etapa,3,0.000762582613116421
proporcionar,3,0.000762582613116421
momento,3,0.000762582613116421
público,3,0.000762582613116421
presente,3,0.000762582613116421
corresponder,3,0.000762582613116421
esencialmente,3,0.000762582613116421
obra,3,0.000762582613116421
joven,3,0.000762582613116421
técnica,3,0.000762582613116421
nombre,3,0.000762582613116421
referente,3,0.000762582613116421
separar,3,0.000762582613116421
límite,3,0.000762582613116421
pasar,3,0.000762582613116421
condicionar,3,0.000762582613116421
institución,3,0.000762582613116421
representar,3,0.000762582613116421
objeto,3,0.000762582613116421
expresión,3,0.000762582613116421
razón,3,0.000762582613116421
incluir,3,0.000762582613116421
orgasmo,3,0.000762582613116421
identificación,3,0.000762582613116421
desarrollar,3,0.000762582613116421
diferenciar,3,0.000762582613116421
orden,3,0.000762582613116421
normal,3,0.000762582613116421
vagina,3,0.000762582613116421
formar,3,0.000762582613116421
expresar,3,0.000762582613116421
mundo,3,0.000762582613116421
entrevista,3,0.000762582613116421
especial,3,0.000762582613116421
promoción,3,0.000762582613116421
probablemente,3,0.000762582613116421
presencia,3,0.000762582613116421
feminista,3,0.000762582613116421
absoluto,3,0.000762582613116421
farmacológico,3,0.000762582613116421
añadir,3,0.000762582613116421
14,3,0.000762582613116421
categoría,3,0.000762582613116421
reproducción_asistir,3,0.000762582613116421
vincular,3,0.000762582613116421
marco,3,0.000762582613116421
ende,3,0.000762582613116421
profundamente,3,0.000762582613116421
vivencia,3,0.000762582613116421
decisión,3,0.000762582613116421
futuro,3,0.000762582613116421
