Respuesta,Frecuencia,Asociación
sexualidad,11,0.010064043915827997
sexual,11,0.010064043915827997
sexo_oral,11,0.010064043915827997
1,10,0.009149130832570906
sexo,10,0.009149130832570906
mujer,9,0.008234217749313814
factor,8,0.007319304666056725
tocamiento,8,0.007319304666056725
2,7,0.006404391582799634
obtener,6,0.0054894784995425435
conducta,6,0.0054894784995425435
considerar,6,0.0054894784995425435
encontrar,5,0.004574565416285453
estudio,5,0.004574565416285453
caso,5,0.004574565416285453
relación_sexual,5,0.004574565416285453
homosexualidad,5,0.004574565416285453
adolescente,5,0.004574565416285453
amor,5,0.004574565416285453
hombre,5,0.004574565416285453
abrir,4,0.0036596523330283625
lugar,4,0.0036596523330283625
3,4,0.0036596523330283625
anal,4,0.0036596523330283625
persona,4,0.0036596523330283625
quedar,4,0.0036596523330283625
embarazar,4,0.0036596523330283625
mitad,4,0.0036596523330283625
0,4,0.0036596523330283625
pareja,4,0.0036596523330283625
edad,4,0.0036596523330283625
comenzar,4,0.0036596523330283625
autosexualidad,4,0.0036596523330283625
parejo,4,0.0036596523330283625
sadomasoquismo,4,0.0036596523330283625
promedio,4,0.0036596523330283625
x,4,0.0036596523330283625
menstruofilia,4,0.0036596523330283625
espermatofagia,4,0.0036596523330283625
aparecer,4,0.0036596523330283625
tema,3,0.0027447392497712718
acercar,3,0.0027447392497712718
permitir,3,0.0027447392497712718
comunicación,3,0.0027447392497712718
mayoría,3,0.0027447392497712718
2000,3,0.0027447392497712718
grupo,3,0.0027447392497712718
tipo,3,0.0027447392497712718
4,3,0.0027447392497712718
cuerpo,3,0.0027447392497712718
objeto,3,0.0027447392497712718
orgasmo,3,0.0027447392497712718
relación,3,0.0027447392497712718
creer,3,0.0027447392497712718
chico,3,0.0027447392497712718
provocar,3,0.0027447392497712718
físico,3,0.0027447392497712718
realmente,3,0.0027447392497712718
encuestar,3,0.0027447392497712718
enfermedad,3,0.0027447392497712718
práctica,3,0.0027447392497712718
aceptar,3,0.0027447392497712718
ciento,3,0.0027447392497712718
servicio,3,0.0027447392497712718
varón,3,0.0027447392497712718
juego_sexual,3,0.0027447392497712718
indagar,3,0.0027447392497712718
investigador,3,0.0027447392497712718
ítem,3,0.0027447392497712718
prevalencia,3,0.0027447392497712718
característica,3,0.0027447392497712718
deseo,3,0.0027447392497712718
xix,3,0.0027447392497712718
estudiar,2,0.0018298261665141812
problema,2,0.0018298261665141812
diverso,2,0.0018298261665141812
general,2,0.0018298261665141812
responder,2,0.0018298261665141812
presentar,2,0.0018298261665141812
juego,2,0.0018298261665141812
llegar,2,0.0018298261665141812
clasificación,2,0.0018298261665141812
mejorar,2,0.0018298261665141812
utilizar,2,0.0018298261665141812
respuesta,2,0.0018298261665141812
psicológico,2,0.0018298261665141812
incluir,2,0.0018298261665141812
fantasía_sexual,2,0.0018298261665141812
comportamiento_sexual,2,0.0018298261665141812
actividad_sexual,2,0.0018298261665141812
coito,2,0.0018298261665141812
placer,2,0.0018298261665141812
aportación,2,0.0018298261665141812
prematrimonial,2,0.0018298261665141812
impedir,2,0.0018298261665141812
77,2,0.0018298261665141812
alcohol,2,0.0018298261665141812
droga,2,0.0018298261665141812
excitante,2,0.0018298261665141812
694,2,0.0018298261665141812
inmaduro,2,0.0018298261665141812
689,2,0.0018298261665141812
lavar,2,0.0018298261665141812
vagina,2,0.0018298261665141812
752,2,0.0018298261665141812
quince,2,0.0018298261665141812
regla,2,0.0018298261665141812
284,2,0.0018298261665141812
768,2,0.0018298261665141812
665,2,0.0018298261665141812
867,2,0.0018298261665141812
actitud,2,0.0018298261665141812
dirección,2,0.0018298261665141812
docente,2,0.0018298261665141812
dañino,2,0.0018298261665141812
curar,2,0.0018298261665141812
bastar,2,0.0018298261665141812
7,2,0.0018298261665141812
6,2,0.0018298261665141812
96,2,0.0018298261665141812
trastorno,2,0.0018298261665141812
asimismo,2,0.0018298261665141812
aprendizaje,2,0.0018298261665141812
cliente,2,0.0018298261665141812
glasgow,2,0.0018298261665141812
vaginal,2,0.0018298261665141812
serie,2,0.0018298261665141812
grupal,2,0.0018298261665141812
penetración,2,0.0018298261665141812
1998,2,0.0018298261665141812
gratificación,2,0.0018298261665141812
vivencia,2,0.0018298261665141812
14,2,0.0018298261665141812
diferencia,2,0.0018298261665141812
actividad,2,0.0018298261665141812
femenino,2,0.0018298261665141812
70,2,0.0018298261665141812
clase,2,0.0018298261665141812
baja,2,0.0018298261665141812
porcentaje,2,0.0018298261665141812
probablemente,2,0.0018298261665141812
reflejar,2,0.0018298261665141812
mundo,2,0.0018298261665141812
sinceridad,2,0.0018298261665141812
recomendar,2,0.0018298261665141812
15,2,0.0018298261665141812
vida_sexual,2,0.0018298261665141812
compañero,2,0.0018298261665141812
soler,2,0.0018298261665141812
cerca,2,0.0018298261665141812
cuarto,2,0.0018298261665141812
homosexual,2,0.0018298261665141812
fetichismo,2,0.0018298261665141812
automóvil,2,0.0018298261665141812
película,2,0.0018298261665141812
pornográfico,2,0.0018298261665141812
normal,2,0.0018298261665141812
10,2,0.0018298261665141812
patrón,2,0.0018298261665141812
clasificar,2,0.0018298261665141812
