Respuesta,Frecuencia,Asociación
mujer,27,0.02303754266211604
trabajo,11,0.00938566552901024
paternidad,11,0.00938566552901024
social,9,0.007679180887372013
1,9,0.007679180887372013
femenino,9,0.007679180887372013
hijo,8,0.006825938566552901
biológico,7,0.005972696245733789
persona,7,0.005972696245733789
ejercer,7,0.005972696245733789
sexualidad,5,0.004266211604095563
existir,5,0.004266211604095563
idea,5,0.004266211604095563
aborto,5,0.004266211604095563
educador,5,0.004266211604095563
simbólico,5,0.004266211604095563
proceso,4,0.0034129692832764505
construcción,4,0.0034129692832764505
riesgo,4,0.0034129692832764505
año,4,0.0034129692832764505
implicar,4,0.0034129692832764505
género,4,0.0034129692832764505
desarrollar,4,0.0034129692832764505
relación,4,0.0034129692832764505
familia,4,0.0034129692832764505
valor,4,0.0034129692832764505
derecho,4,0.0034129692832764505
vida,4,0.0034129692832764505
reproductivo,4,0.0034129692832764505
embarazar,4,0.0034129692832764505
fecundidad,4,0.0034129692832764505
méxico,3,0.002559726962457338
indispensable,3,0.002559726962457338
necesario,3,0.002559726962457338
educación_sexual,3,0.002559726962457338
relacionar,3,0.002559726962457338
presentar,3,0.002559726962457338
presente,3,0.002559726962457338
corresponder,3,0.002559726962457338
servir,3,0.002559726962457338
3,3,0.002559726962457338
complejo,3,0.002559726962457338
estructura,3,0.002559726962457338
masculino,3,0.002559726962457338
medida,3,0.002559726962457338
ofrecer,3,0.002559726962457338
significar,3,0.002559726962457338
cuestionar,3,0.002559726962457338
iniciar,3,0.002559726962457338
matrimonio,3,0.002559726962457338
laboral,3,0.002559726962457338
amor,3,0.002559726962457338
lograr,3,0.002559726962457338
discurso,3,0.002559726962457338
16,3,0.002559726962457338
atención,3,0.002559726962457338
concretar,3,0.002559726962457338
efecto,3,0.002559726962457338
señalar,3,0.002559726962457338
madre,3,0.002559726962457338
desventaja,3,0.002559726962457338
desigualdad,3,0.002559726962457338
cepal,3,0.002559726962457338
forzar,3,0.002559726962457338
operación,3,0.002559726962457338
difícil,3,0.002559726962457338
base,2,0.0017064846416382253
proyecto,2,0.0017064846416382253
diverso,2,0.0017064846416382253
perspectiva,2,0.0017064846416382253
encontrar,2,0.0017064846416382253
conocimiento,2,0.0017064846416382253
común,2,0.0017064846416382253
