Respuesta,Frecuencia,Asociación
proteína,4,0.01904761904761905
sífilis,4,0.01904761904761905
forma,3,0.014285714285714285
médico,3,0.014285714285714285
externo,3,0.014285714285714285
primario,2,0.009523809523809525
recién,2,0.009523809523809525
formar,2,0.009523809523809525
flor,2,0.009523809523809525
semejante,2,0.009523809523809525
líquido_amniótico,2,0.009523809523809525
toxina,2,0.009523809523809525
pilinas,2,0.009523809523809525
tecnología,1,0.004761904761904762
pretender,1,0.004761904761904762
proceso,1,0.004761904761904762
problema,1,0.004761904761904762
palabra,1,0.004761904761904762
diverso,1,0.004761904761904762
conocimiento,1,0.004761904761904762
deber,1,0.004761904761904762
actual,1,0.004761904761904762
mexicano,1,0.004761904761904762
factor,1,0.004761904761904762
grupo,1,0.004761904761904762
desarrollo,1,0.004761904761904762
central,1,0.004761904761904762
crear,1,0.004761904761904762
proporcionar,1,0.004761904761904762
objetivo,1,0.004761904761904762
importante,1,0.004761904761904762
depender,1,0.004761904761904762
presente,1,0.004761904761904762
dato,1,0.004761904761904762
secundario,1,0.004761904761904762
finalmente,1,0.004761904761904762
obtener,1,0.004761904761904762
clasificación,1,0.004761904761904762
sitio,1,0.004761904761904762
consistir,1,0.004761904761904762
utilizar,1,0.004761904761904762
establecer,1,0.004761904761904762
diversidad,1,0.004761904761904762
tomar,1,0.004761904761904762
variación,1,0.004761904761904762
origen,1,0.004761904761904762
diseñar,1,0.004761904761904762
estructura,1,0.004761904761904762
comprender,1,0.004761904761904762
anatomía,1,0.004761904761904762
cuestión,1,0.004761904761904762
incluir,1,0.004761904761904762
anal,1,0.004761904761904762
femenino,1,0.004761904761904762
desarrollar,1,0.004761904761904762
enfermedad,1,0.004761904761904762
transmisión,1,0.004761904761904762
mecanismo,1,0.004761904761904762
original,1,0.004761904761904762
esfuerzo,1,0.004761904761904762
identificar,1,0.004761904761904762
condición,1,0.004761904761904762
llamar,1,0.004761904761904762
prueba,1,0.004761904761904762
aplicar,1,0.004761904761904762
iniciar,1,0.004761904761904762
20,1,0.004761904761904762
distinguir,1,0.004761904761904762
aportación,1,0.004761904761904762
existencia,1,0.004761904761904762
nacer,1,0.004761904761904762
infección,1,0.004761904761904762
genital,1,0.004761904761904762
regulación,1,0.004761904761904762
motivo,1,0.004761904761904762
interesante,1,0.004761904761904762
lograr,1,0.004761904761904762
afirmar,1,0.004761904761904762
acudir,1,0.004761904761904762
escala,1,0.004761904761904762
rodear,1,0.004761904761904762
lleno,1,0.004761904761904762
inducir,1,0.004761904761904762
interno,1,0.004761904761904762
t,1,0.004761904761904762
madre,1,0.004761904761904762
