Respuesta,Frecuencia,Asociación
mujer,3,0.05263157894736842
nivel,2,0.03508771929824561
encontrar,1,0.017543859649122806
forma,1,0.017543859649122806
factor,1,0.017543859649122806
riesgo,1,0.017543859649122806
año,1,0.017543859649122806
estudio,1,0.017543859649122806
requerir,1,0.017543859649122806
dato,1,0.017543859649122806
publicar,1,0.017543859649122806
libre,1,0.017543859649122806
mejorar,1,0.017543859649122806
asociación,1,0.017543859649122806
cuerpo,1,0.017543859649122806
terapia,1,0.017543859649122806
llenar,1,0.017543859649122806
futuro,1,0.017543859649122806
aplicar,1,0.017543859649122806
10,1,0.017543859649122806
julio,1,0.017543859649122806
entrevista,1,0.017543859649122806
muestra,1,0.017543859649122806
médico,1,0.017543859649122806
completar,1,0.017543859649122806
febrero,1,0.017543859649122806
hormonal,1,0.017543859649122806
frecuentemente,1,0.017543859649122806
mes,1,0.017543859649122806
progevera,1,0.017543859649122806
depo,1,0.017543859649122806
bretaña,1,0.017543859649122806
disminuir,1,0.017543859649122806
densidad,1,0.017543859649122806
óseo,1,0.017543859649122806
osteoporosis,1,0.017543859649122806
revista,1,0.017543859649122806
americano,1,0.017543859649122806
bilateral,1,0.017543859649122806
incompleto,1,0.017543859649122806
periodo,1,0.017543859649122806
pos,1,0.017543859649122806
recolección,1,0.017543859649122806
1998,1,0.017543859649122806
cuestionario,1,0.017543859649122806
ansiedad,1,0.017543859649122806
cefalea,1,0.017543859649122806
depresión,1,0.017543859649122806
reemplazo,1,0.017543859649122806
deprimir,1,0.017543859649122806
triptófano,1,0.017543859649122806
elevar,1,0.017543859649122806
grandemente,1,0.017543859649122806
estrogénico,1,0.017543859649122806
