Respuesta,Frecuencia,Asociación
1,5,0.01050420168067227
momento,4,0.008403361344537815
capacidad,4,0.008403361344537815
cambio,4,0.008403361344537815
considerar,4,0.008403361344537815
hombre,4,0.008403361344537815
probablemente,4,0.008403361344537815
trabajo,3,0.0063025210084033615
función,3,0.0063025210084033615
sistema,3,0.0063025210084033615
chico,3,0.0063025210084033615
mujer,3,0.0063025210084033615
reproductivo,3,0.0063025210084033615
aportar,3,0.0063025210084033615
amor,3,0.0063025210084033615
fecha,3,0.0063025210084033615
terminología,2,0.004201680672268907
término,2,0.004201680672268907
existir,2,0.004201680672268907
riesgo,2,0.004201680672268907
sexual,2,0.004201680672268907
vehículo,2,0.004201680672268907
estudio,2,0.004201680672268907
componer,2,0.004201680672268907
lugar,2,0.004201680672268907
joven,2,0.004201680672268907
implicar,2,0.004201680672268907
consulta,2,0.004201680672268907
4,2,0.004201680672268907
indicar,2,0.004201680672268907
utilizar,2,0.004201680672268907
caso,2,0.004201680672268907
describir,2,0.004201680672268907
incluir,2,0.004201680672268907
relación_sexual,2,0.004201680672268907
pareja,2,0.004201680672268907
referencia,2,0.004201680672268907
coincidir,2,0.004201680672268907
correcto,2,0.004201680672268907
suficiente,2,0.004201680672268907
futuro,2,0.004201680672268907
anteriormente,2,0.004201680672268907
embarazo,2,0.004201680672268907
recibir,2,0.004201680672268907
cuestionar,2,0.004201680672268907
iniciar,2,0.004201680672268907
practicar,2,0.004201680672268907
aparecer,2,0.004201680672268907
pubertad,2,0.004201680672268907
influenciar,2,0.004201680672268907
interpretar,2,0.004201680672268907
mantener,2,0.004201680672268907
potencia,2,0.004201680672268907
negativo,2,0.004201680672268907
quedar,2,0.004201680672268907
cotidiano,2,0.004201680672268907
confianza,2,0.004201680672268907
pequeño,2,0.004201680672268907
planificación,2,0.004201680672268907
efecto,2,0.004201680672268907
embarazar,2,0.004201680672268907
escala,2,0.004201680672268907
alcanzar,2,0.004201680672268907
reproducir,2,0.004201680672268907
justificar,2,0.004201680672268907
respeto,2,0.004201680672268907
postura,2,0.004201680672268907
descarga,2,0.004201680672268907
fecundación,2,0.004201680672268907
vaginal,2,0.004201680672268907
70,2,0.004201680672268907
673,2,0.004201680672268907
542,2,0.004201680672268907
77,2,0.004201680672268907
alcohol,2,0.004201680672268907
droga,2,0.004201680672268907
excitante,2,0.004201680672268907
ítem,2,0.004201680672268907
científicamente,2,0.004201680672268907
popular,2,0.004201680672268907
síntoma,2,0.004201680672268907
pelvis,2,0.004201680672268907
acompañante,2,0.004201680672268907
