Respuesta,Frecuencia,Asociación
flujo,2,0.03571428571428571
conocimiento,1,0.017857142857142856
presentar,1,0.017857142857142856
1,1,0.017857142857142856
condicionar,1,0.017857142857142856
caso,1,0.017857142857142856
cuerpo,1,0.017857142857142856
aumento,1,0.017857142857142856
femenino,1,0.017857142857142856
persona,1,0.017857142857142856
embarazo,1,0.017857142857142856
preocupación,1,0.017857142857142856
normal,1,0.017857142857142856
mujer,1,0.017857142857142856
vida,1,0.017857142857142856
progresivo,1,0.017857142857142856
período,1,0.017857142857142856
error,1,0.017857142857142856
genital,1,0.017857142857142856
vagina,1,0.017857142857142856
erótico,1,0.017857142857142856
incidencia,1,0.017857142857142856
quedar,1,0.017857142857142856
cursar,1,0.017857142857142856
acompañar,1,0.017857142857142856
efecto,1,0.017857142857142856
obstante,1,0.017857142857142856
ocurrir,1,0.017857142857142856
provocar,1,0.017857142857142856
dolor,1,0.017857142857142856
mensual,1,0.017857142857142856
ausencia,1,0.017857142857142856
obstrucción,1,0.017857142857142856
promover,1,0.017857142857142856
causar,1,0.017857142857142856
útero,1,0.017857142857142856
genitales,1,0.017857142857142856
frecuencia,1,0.017857142857142856
soler,1,0.017857142857142856
retrógrado,1,0.017857142857142856
depresión,1,0.017857142857142856
encuentro,1,0.017857142857142856
pélvico,1,0.017857142857142856
estrógeno,1,0.017857142857142856
cíclico,1,0.017857142857142856
muv,1,0.017857142857142856
dilatación,1,0.017857142857142856
retención,1,0.017857142857142856
neonatal,1,0.017857142857142856
retener,1,0.017857142857142856
hematocolpos,1,0.017857142857142856
hematómetra,1,0.017857142857142856
esparcir,1,0.017857142857142856
hematosalpinx,1,0.017857142857142856
hemoperitoneo,1,0.017857142857142856
