Respuesta,Frecuencia,Asociación
mujer,10,0.014450867052023121
sexualidad,9,0.01300578034682081
prejuicio,5,0.0072254335260115606
etcétera,4,0.005780346820809248
deber,4,0.005780346820809248
médico,4,0.005780346820809248
humano,3,0.004335260115606936
social,3,0.004335260115606936
información,3,0.004335260115606936
educación_sexual,3,0.004335260115606936
sexual,3,0.004335260115606936
joven,3,0.004335260115606936
1,3,0.004335260115606936
relación_sexual,3,0.004335260115606936
adolescente,3,0.004335260115606936
actitud,3,0.004335260115606936
conducta,3,0.004335260115606936
varón,3,0.004335260115606936
hombre,3,0.004335260115606936
pene,3,0.004335260115606936
considerar,3,0.004335260115606936
vaginal,3,0.004335260115606936
símbolo,3,0.004335260115606936
disfrutar,3,0.004335260115606936
seguir,2,0.002890173410404624
acercar,2,0.002890173410404624
criterio,2,0.002890173410404624
educación,2,0.002890173410404624
caber,2,0.002890173410404624
dato,2,0.002890173410404624
contexto,2,0.002890173410404624
carácter,2,0.002890173410404624
pensar,2,0.002890173410404624
llegar,2,0.002890173410404624
idea,2,0.002890173410404624
construir,2,0.002890173410404624
caso,2,0.002890173410404624
querer,2,0.002890173410404624
placer,2,0.002890173410404624
rol,2,0.002890173410404624
comportamiento,2,0.002890173410404624
pareja,2,0.002890173410404624
peso,2,0.002890173410404624
persona,2,0.002890173410404624
aparición,2,0.002890173410404624
ejemplo,2,0.002890173410404624
eliminar,2,0.002890173410404624
condición,2,0.002890173410404624
sentir,2,0.002890173410404624
vivir,2,0.002890173410404624
embarazo,2,0.002890173410404624
desear,2,0.002890173410404624
recibir,2,0.002890173410404624
experiencia,2,0.002890173410404624
creencia,2,0.002890173410404624
erróneo,2,0.002890173410404624
afectivosexuales,2,0.002890173410404624
chico,2,0.002890173410404624
tabú,2,0.002890173410404624
entorno,2,0.002890173410404624
ocasión,2,0.002890173410404624
cargar,2,0.002890173410404624
igualmente,2,0.002890173410404624
destacar,2,0.002890173410404624
formal,2,0.002890173410404624
fantasía,2,0.002890173410404624
don_juan,2,0.002890173410404624
imaginario,2,0.002890173410404624
generar,2,0.002890173410404624
virginidad,2,0.002890173410404624
falta,2,0.002890173410404624
mundo,2,0.002890173410404624
griego,2,0.002890173410404624
anatómico,2,0.002890173410404624
provocar,2,0.002890173410404624
estereotipar,2,0.002890173410404624
discutir,2,0.002890173410404624
religioso,2,0.002890173410404624
divino,2,0.002890173410404624
serie,2,0.002890173410404624
elas,2,0.002890173410404624
señalar,2,0.002890173410404624
1995,2,0.002890173410404624
permanecer,2,0.002890173410404624
soportar,2,0.002890173410404624
exceso,2,0.002890173410404624
artículo,1,0.001445086705202312
proponer,1,0.001445086705202312
trabajo,1,0.001445086705202312
término,1,0.001445086705202312
texto,1,0.001445086705202312
pretender,1,0.001445086705202312
explicar,1,0.001445086705202312
proceso,1,0.001445086705202312
red,1,0.001445086705202312
resolver,1,0.001445086705202312
problema,1,0.001445086705202312
palabra,1,0.001445086705202312
encontrar,1,0.001445086705202312
cantidad,1,0.001445086705202312
construcción,1,0.001445086705202312
conocimiento,1,0.001445086705202312
permitir,1,0.001445086705202312
común,1,0.001445086705202312
sistemático,1,0.001445086705202312
existir,1,0.001445086705202312
mayoría,1,0.001445086705202312
responder,1,0.001445086705202312
suponer,1,0.001445086705202312
ejercicio,1,0.001445086705202312
necesidad,1,0.001445086705202312
particular,1,0.001445086705202312
forma,1,0.001445086705202312
difusión,1,0.001445086705202312
riesgo,1,0.001445086705202312
salud,1,0.001445086705202312
relacionar,1,0.001445086705202312
fuente,1,0.001445086705202312
presentar,1,0.001445086705202312
grupo,1,0.001445086705202312
año,1,0.001445086705202312
crear,1,0.001445086705202312
modelo,1,0.001445086705202312
estudio,1,0.001445086705202312
amplio,1,0.001445086705202312
proporcionar,1,0.001445086705202312
cualquiera,1,0.001445086705202312
relevante,1,0.001445086705202312
2,1,0.001445086705202312
cuyo,1,0.001445086705202312
principal,1,0.001445086705202312
solución,1,0.001445086705202312
requerir,1,0.001445086705202312
depender,1,0.001445086705202312
presente,1,0.001445086705202312
abrir,1,0.001445086705202312
definir,1,0.001445086705202312
lugar,1,0.001445086705202312
resultar,1,0.001445086705202312
contener,1,0.001445086705202312
tipo,1,0.001445086705202312
adulto,1,0.001445086705202312
mostrar,1,0.001445086705202312
implicar,1,0.001445086705202312
búsqueda,1,0.001445086705202312
género,1,0.001445086705202312
nombre,1,0.001445086705202312
referente,1,0.001445086705202312
separar,1,0.001445086705202312
modificar,1,0.001445086705202312
derivar,1,0.001445086705202312
límite,1,0.001445086705202312
duda,1,0.001445086705202312
establecer,1,0.001445086705202312
realidad,1,0.001445086705202312
olvidar,1,0.001445086705202312
tomar,1,0.001445086705202312
hablante,1,0.001445086705202312
kinsey,1,0.001445086705202312
origen,1,0.001445086705202312
mente,1,0.001445086705202312
comprender,1,0.001445086705202312
evitar,1,0.001445086705202312
representar,1,0.001445086705202312
visión,1,0.001445086705202312
distinto,1,0.001445086705202312
apartado,1,0.001445086705202312
biológico,1,0.001445086705202312
cuerpo,1,0.001445086705202312
objeto,1,0.001445086705202312
expresión,1,0.001445086705202312
cuestión,1,0.001445086705202312
psicológico,1,0.001445086705202312
orgasmo,1,0.001445086705202312
