Respuesta,Frecuencia,Asociación
seguir,1,0.02564102564102564
cuerpo,1,0.02564102564102564
desencadenar,1,0.02564102564102564
do,1,0.02564102564102564
producir,1,0.02564102564102564
salir,1,0.02564102564102564
ropa,1,0.02564102564102564
lograr,1,0.02564102564102564
interrumpir,1,0.02564102564102564
muchacho,1,0.02564102564102564
involuntario,1,0.02564102564102564
sangre,1,0.02564102564102564
vómito,1,0.02564102564102564
pierna,1,0.02564102564102564
asiento,1,0.02564102564102564
rápidamente,1,0.02564102564102564
aire,1,0.02564102564102564
loco,1,0.02564102564102564
orgía,1,0.02564102564102564
degenerar,1,0.02564102564102564
caída,1,0.02564102564102564
culo,1,0.02564102564102564
falda,1,0.02564102564102564
semen,1,0.02564102564102564
risa,1,0.02564102564102564
hipo,1,0.02564102564102564
imbécil,1,0.02564102564102564
oleada,1,0.02564102564102564
brutalmedia,1,0.02564102564102564
vidrio,1,0.02564102564102564
ensangrentar,1,0.02564102564102564
vomitar,1,0.02564102564102564
caiamos,1,0.02564102564102564
espasmo,1,0.02564102564102564
suelo,1,0.02564102564102564
olor,1,0.02564102564102564
esperma,1,0.02564102564102564
orina,1,0.02564102564102564
recular,1,0.02564102564102564
