Respuesta,Frecuencia,Asociación
existir,4,0.017777777777777778
familiar,4,0.017777777777777778
finalidad,3,0.013333333333333334
asegurar,3,0.013333333333333334
do,3,0.013333333333333334
patrimonio,3,0.013333333333333334
sexualidad,2,0.008888888888888889
contexto,2,0.008888888888888889
desarrollar,2,0.008888888888888889
relación,2,0.008888888888888889
cultura,2,0.008888888888888889
privar,2,0.008888888888888889
altamente,2,0.008888888888888889
consecuencia,2,0.008888888888888889
regular,2,0.008888888888888889
norma,2,0.008888888888888889
mujer,2,0.008888888888888889
vida,2,0.008888888888888889
señalar,2,0.008888888888888889
imponer,2,0.008888888888888889
antiguo,2,0.008888888888888889
sociohistórico,2,0.008888888888888889
prehistoria,2,0.008888888888888889
testamento,2,0.008888888888888889
proceso,1,0.0044444444444444444
método,1,0.0044444444444444444
principio,1,0.0044444444444444444
social,1,0.0044444444444444444
construcción,1,0.0044444444444444444
suponer,1,0.0044444444444444444
forma,1,0.0044444444444444444
sexual,1,0.0044444444444444444
salud,1,0.0044444444444444444
relacionar,1,0.0044444444444444444
investigación,1,0.0044444444444444444
año,1,0.0044444444444444444
modelo,1,0.0044444444444444444
etapa,1,0.0044444444444444444
2,1,0.0044444444444444444
documentar,1,0.0044444444444444444
principal,1,0.0044444444444444444
definir,1,0.0044444444444444444
lugar,1,0.0044444444444444444
niño,1,0.0044444444444444444
finalmente,1,0.0044444444444444444
1,1,0.0044444444444444444
estrategia,1,0.0044444444444444444
efectivo,1,0.0044444444444444444
duda,1,0.0044444444444444444
variar,1,0.0044444444444444444
caso,1,0.0044444444444444444
describir,1,0.0044444444444444444
cuerpo,1,0.0044444444444444444
respuesta,1,0.0044444444444444444
actividad_sexual,1,0.0044444444444444444
femenino,1,0.0044444444444444444
prevención,1,0.0044444444444444444
comportamiento,1,0.0044444444444444444
entrar,1,0.0044444444444444444
pareja,1,0.0044444444444444444
fidelidad,1,0.0044444444444444444
edad,1,0.0044444444444444444
tiempo,1,0.0044444444444444444
educativo,1,0.0044444444444444444
medida,1,0.0044444444444444444
peso,1,0.0044444444444444444
correcto,1,0.0044444444444444444
pleno,1,0.0044444444444444444
condición,1,0.0044444444444444444
informativo,1,0.0044444444444444444
valor,1,0.0044444444444444444
posición,1,0.0044444444444444444
mensaje,1,0.0044444444444444444
conducta,1,0.0044444444444444444
experiencia,1,0.0044444444444444444
preocupación,1,0.0044444444444444444
salir,1,0.0044444444444444444
encuesta,1,0.0044444444444444444
torno,1,0.0044444444444444444
menor,1,0.0044444444444444444
percepción,1,0.0044444444444444444
considerar,1,0.0044444444444444444
época,1,0.0044444444444444444
médico,1,0.0044444444444444444
sexo,1,0.0044444444444444444
período,1,0.0044444444444444444
matrimonial,1,0.0044444444444444444
matrimonio,1,0.0044444444444444444
exigir,1,0.0044444444444444444
prohibición,1,0.0044444444444444444
serie,1,0.0044444444444444444
patrón,1,0.0044444444444444444
formar,1,0.0044444444444444444
hombre,1,0.0044444444444444444
natural,1,0.0044444444444444444
mundo,1,0.0044444444444444444
historia,1,0.0044444444444444444
generar,1,0.0044444444444444444
aceptar,1,0.0044444444444444444
práctico,1,0.0044444444444444444
catalogar,1,0.0044444444444444444
proporción,1,0.0044444444444444444
6,1,0.0044444444444444444
implícito,1,0.0044444444444444444
varón,1,0.0044444444444444444
puerta,1,0.0044444444444444444
efecto,1,0.0044444444444444444
corto,1,0.0044444444444444444
campaña,1,0.0044444444444444444
contagiar,1,0.0044444444444444444
unión,1,0.0044444444444444444
francia,1,0.0044444444444444444
similar,1,0.0044444444444444444
económico,1,0.0044444444444444444
propiedad,1,0.0044444444444444444
italia,1,0.0044444444444444444
inglaterra,1,0.0044444444444444444
ocurrir,1,0.0044444444444444444
versus,1,0.0044444444444444444
pánico,1,0.0044444444444444444
directamente,1,0.0044444444444444444
7,1,0.0044444444444444444
agricultura,1,0.0044444444444444444
animal,1,0.0044444444444444444
mes,1,0.0044444444444444444
motivar,1,0.0044444444444444444
conllevar,1,0.0044444444444444444
protección,1,0.0044444444444444444
duración,1,0.0044444444444444444
9,1,0.0044444444444444444
contacto,1,0.0044444444444444444
san,1,0.0044444444444444444
programar,1,0.0044444444444444444
claramente,1,0.0044444444444444444
ocasión,1,0.0044444444444444444
vihsida,1,0.0044444444444444444
antigüedad,1,0.0044444444444444444
conferir,1,0.0044444444444444444
virtud,1,0.0044444444444444444
francisco,1,0.0044444444444444444
contrario,1,0.0044444444444444444
procreación,1,0.0044444444444444444
promiscuidad,1,0.0044444444444444444
cohorte,1,0.0044444444444444444
vida_sexual,1,0.0044444444444444444
