Respuesta,Frecuencia,Asociación
impactar,3,0.04054054054054054
forma,2,0.02702702702702703
ámbito,2,0.02702702702702703
conformación,2,0.02702702702702703
influir,2,0.02702702702702703
transmisión,2,0.02702702702702703
familia,2,0.02702702702702703
asimismo,2,0.02702702702702703
práctica,2,0.02702702702702703
instinto,2,0.02702702702702703
iglesia,2,0.02702702702702703
matrimonio,2,0.02702702702702703
patrón,2,0.02702702702702703
familiar,2,0.02702702702702703
reforma,2,0.02702702702702703
declarar,2,0.02702702702702703
patrimonio,2,0.02702702702702703
aceptación,2,0.02702702702702703
considerablemente,2,0.02702702702702703
seriar,2,0.02702702702702703
refrendar,2,0.02702702702702703
residencia,2,0.02702702702702703
polígamo,2,0.02702702702702703
demoníaco,2,0.02702702702702703
1530,2,0.02702702702702703
protestante,2,0.02702702702702703
problema,1,0.013513513513513514
sexual,1,0.013513513513513514
origen,1,0.013513513513513514
edad,1,0.013513513513513514
fino,1,0.013513513513513514
aparecer,1,0.013513513513513514
martín,1,0.013513513513513514
admitir,1,0.013513513513513514
evidente,1,0.013513513513513514
reafirmar,1,0.013513513513513514
santo,1,0.013513513513513514
privilegio,1,0.013513513513513514
prostituta,1,0.013513513513513514
andar,1,0.013513513513513514
famoso,1,0.013513513513513514
exclusivo,1,0.013513513513513514
desempeñar,1,0.013513513513513514
hetaira,1,0.013513513513513514
lutero,1,0.013513513513513514
cinturón_de_castidad,1,0.013513513513513514
inquisición,1,0.013513513513513514
