Respuesta,Frecuencia,Asociación
sífilis,4,0.017316017316017316
genital,3,0.012987012987012988
encontrar,2,0.008658008658008658
presentar,2,0.008658008658008658
oral,2,0.008658008658008658
naturaleza,2,0.008658008658008658
único,2,0.008658008658008658
mujer,2,0.008658008658008658
infección,2,0.008658008658008658
piel,2,0.008658008658008658
epitelio,2,0.008658008658008658
precoz,2,0.008658008658008658
contagio,2,0.008658008658008658
inmunidad,2,0.008658008658008658
lesión,2,0.008658008658008658
agudo,2,0.008658008658008658
padecimiento,2,0.008658008658008658
infiltrar,2,0.008658008658008658
nasal,2,0.008658008658008658
gonorrea,2,0.008658008658008658
problema,1,0.004329004329004329
humano,1,0.004329004329004329
existir,1,0.004329004329004329
forma,1,0.004329004329004329
factor,1,0.004329004329004329
riesgo,1,0.004329004329004329
caber,1,0.004329004329004329
central,1,0.004329004329004329
análisis,1,0.004329004329004329
cualquiera,1,0.004329004329004329
diseño,1,0.004329004329004329
cuyo,1,0.004329004329004329
carácter,1,0.004329004329004329
tipo,1,0.004329004329004329
b,1,0.004329004329004329
secundario,1,0.004329004329004329
llegar,1,0.004329004329004329
localización,1,0.004329004329004329
sitio,1,0.004329004329004329
derivar,1,0.004329004329004329
utilizar,1,0.004329004329004329
tomar,1,0.004329004329004329
caso,1,0.004329004329004329
comprender,1,0.004329004329004329
anal,1,0.004329004329004329
relación_sexual,1,0.004329004329004329
enfermedad,1,0.004329004329004329
transmisión,1,0.004329004329004329
vía,1,0.004329004329004329
actividad,1,0.004329004329004329
reconocer,1,0.004329004329004329
primario,1,0.004329004329004329
esfuerzo,1,0.004329004329004329
identificar,1,0.004329004329004329
ejemplo,1,0.004329004329004329
frecuente,1,0.004329004329004329
condición,1,0.004329004329004329
llamar,1,0.004329004329004329
cambio,1,0.004329004329004329
sentir,1,0.004329004329004329
aumentar,1,0.004329004329004329
curso,1,0.004329004329004329
convertir,1,0.004329004329004329
asociar,1,0.004329004329004329
llamativo,1,0.004329004329004329
20,1,0.004329004329004329
clínico,1,0.004329004329004329
recién,1,0.004329004329004329
nacer,1,0.004329004329004329
experimentación,1,0.004329004329004329
fundamentalmente,1,0.004329004329004329
hombre,1,0.004329004329004329
duro,1,0.004329004329004329
especial,1,0.004329004329004329
impedir,1,0.004329004329004329
atención,1,0.004329004329004329
evidencia,1,0.004329004329004329
caracterizar,1,0.004329004329004329
alcanzar,1,0.004329004329004329
inducir,1,0.004329004329004329
superficie,1,0.004329004329004329
interno,1,0.004329004329004329
visible,1,0.004329004329004329
padecer,1,0.004329004329004329
dolor,1,0.004329004329004329
fuertemente,1,0.004329004329004329
dosis,1,0.004329004329004329
estimular,1,0.004329004329004329
grave,1,0.004329004329004329
40,1,0.004329004329004329
animal,1,0.004329004329004329
posparto,1,0.004329004329004329
vaginal,1,0.004329004329004329
latente,1,0.004329004329004329
adherencia,1,0.004329004329004329
contacto,1,0.004329004329004329
vacuna,1,0.004329004329004329
inflamación,1,0.004329004329004329
genitales,1,0.004329004329004329
ovario,1,0.004329004329004329
edematoso,1,0.004329004329004329
proliferación,1,0.004329004329004329
paciente,1,0.004329004329004329
manifestación,1,0.004329004329004329
neoplasia,1,0.004329004329004329
nulo,1,0.004329004329004329
n,1,0.004329004329004329
65,1,0.004329004329004329
dominio,1,0.004329004329004329
obviamente,1,0.004329004329004329
comprometer,1,0.004329004329004329
semejante,1,0.004329004329004329
depresión,1,0.004329004329004329
complejidad,1,0.004329004329004329
autoestima,1,0.004329004329004329
dispareunia,1,0.004329004329004329
local,1,0.004329004329004329
eje,1,0.004329004329004329
tejer,1,0.004329004329004329
sistémico,1,0.004329004329004329
crónico,1,0.004329004329004329
aclarar,1,0.004329004329004329
its,1,0.004329004329004329
prevalencia,1,0.004329004329004329
asintomático,1,0.004329004329004329
superficial,1,0.004329004329004329
líquido,1,0.004329004329004329
huésped,1,0.004329004329004329
uretral,1,0.004329004329004329
pélvico,1,0.004329004329004329
ansiedad,1,0.004329004329004329
insomnio,1,0.004329004329004329
fácilmente,1,0.004329004329004329
bolita,1,0.004329004329004329
portador,1,0.004329004329004329
potencialmente,1,0.004329004329004329
microorganismo,1,0.004329004329004329
extensión,1,0.004329004329004329
irregular,1,0.004329004329004329
recurrencia,1,0.004329004329004329
membrana,1,0.004329004329004329
clonar,1,0.004329004329004329
partícula,1,0.004329004329004329
localizar,1,0.004329004329004329
canal,1,0.004329004329004329
tubárico,1,0.004329004329004329
palpar,1,0.004329004329004329
tropismo,1,0.004329004329004329
314,1,0.004329004329004329
secreción,1,0.004329004329004329
infectantes,1,0.004329004329004329
315,1,0.004329004329004329
a512,1,0.004329004329004329
a513,1,0.004329004329004329
a514,1,0.004329004329004329
a515,1,0.004329004329004329
a519,1,0.004329004329004329
distensión,1,0.004329004329004329
estreñimiento,1,0.004329004329004329
ardor,1,0.004329004329004329
epigástrico,1,0.004329004329004329
vago,1,0.004329004329004329
resequedad,1,0.004329004329004329
palpitación,1,0.004329004329004329
fatiga,1,0.004329004329004329
cistoadenoma,1,0.004329004329004329
seroso,1,0.004329004329004329
revestir,1,0.004329004329004329
adenomatoso,1,0.004329004329004329
tempranamente,1,0.004329004329004329
signología,1,0.004329004329004329
eliminador,1,0.004329004329004329
intermitente,1,0.004329004329004329
viral,1,0.004329004329004329
pacientes14,1,0.004329004329004329
rojizo,1,0.004329004329004329
pénfigo,1,0.004329004329004329
palmoplantar,1,0.004329004329004329
papuloescamosas,1,0.004329004329004329
folicular,1,0.004329004329004329
recto518,1,0.004329004329004329
terciario,1,0.004329004329004329
granulomatoso,1,0.004329004329004329
venéreo,1,0.004329004329004329
gonorrhoeae,1,0.004329004329004329
wg_mg300,1,0.004329004329004329
oral27,1,0.004329004329004329
uretritis,1,0.004329004329004329
mucocervicitis,1,0.004329004329004329
purulento,1,0.004329004329004329
exudado,1,0.004329004329004329
endocervical,1,0.004329004329004329
friable,1,0.004329004329004329
sangrar,1,0.004329004329004329
inflamatorio,1,0.004329004329004329
producto28,1,0.004329004329004329
conjuntivitis,1,0.004329004329004329
ets3134,1,0.004329004329004329
inmunógeno,1,0.004329004329004329
humoral,1,0.004329004329004329
microrganismo,1,0.004329004329004329
momp,1,0.004329004329004329
secuenciar,1,0.004329004329004329
serovares,1,0.004329004329004329
clamidias,1,0.004329004329004329
ratón,1,0.004329004329004329
monos31,1,0.004329004329004329
herpes,1,0.004329004329004329
