Respuesta,Frecuencia,Asociación
mujer,38,0.017924528301886792
actitud,16,0.007547169811320755
sexual,15,0.007075471698113208
utilizar,14,0.006603773584905661
considerar,14,0.006603773584905661
información,13,0.006132075471698114
hijo,13,0.006132075471698114
joven,12,0.005660377358490566
relación_sexual,12,0.005660377358490566
relación,12,0.005660377358490566
pareja,12,0.005660377358490566
adolescente,12,0.005660377358490566
reproductivo,12,0.005660377358490566
sexualidad,10,0.0047169811320754715
utilización,10,0.0047169811320754715
porcentaje,10,0.0047169811320754715
problema,9,0.0042452830188679245
embarazo,9,0.0042452830188679245
fecundidad,9,0.0042452830188679245
año,8,0.0037735849056603774
práctica,8,0.0037735849056603774
escala,8,0.0037735849056603774
conocimiento,7,0.0033018867924528303
salud,7,0.0033018867924528303
edad,7,0.0033018867924528303
valor,7,0.0033018867924528303
desear,7,0.0033018867924528303
planificación,7,0.0033018867924528303
anticonceptivo,7,0.0033018867924528303
mantener,7,0.0033018867924528303
unir,7,0.0033018867924528303
2,6,0.002830188679245283
objetivo,6,0.002830188679245283
3,6,0.002830188679245283
incluir,6,0.002830188679245283
menor,6,0.002830188679245283
preservativo,6,0.002830188679245283
chico,6,0.002830188679245283
familiar,6,0.002830188679245283
anticoncepción,6,0.002830188679245283
espontáneo,6,0.002830188679245283
56,6,0.002830188679245283
149,6,0.002830188679245283
méxico,5,0.0023584905660377358
deber,5,0.0023584905660377358
1,5,0.0023584905660377358
pasar,5,0.0023584905660377358
respuesta,5,0.0023584905660377358
servicio,5,0.0023584905660377358
centro,5,0.0023584905660377358
acudir,5,0.0023584905660377358
negativo,5,0.0023584905660377358
aspecto,5,0.0023584905660377358
20,5,0.0023584905660377358
madre,5,0.0023584905660377358
terreno,4,0.0018867924528301887
método,4,0.0018867924528301887
población,4,0.0018867924528301887
programa,4,0.0018867924528301887
forma,4,0.0018867924528301887
riesgo,4,0.0018867924528301887
relacionar,4,0.0018867924528301887
fuente,4,0.0018867924528301887
caber,4,0.0018867924528301887
investigación,4,0.0018867924528301887
estudio,4,0.0018867924528301887
mostrar,4,0.0018867924528301887
sección,4,0.0018867924528301887
sujeto,4,0.0018867924528301887
femenino,4,0.0018867924528301887
enfermedad,4,0.0018867924528301887
comportamiento,4,0.0018867924528301887
familia,4,0.0018867924528301887
tiempo,4,0.0018867924528301887
pregunta,4,0.0018867924528301887
característica,4,0.0018867924528301887
correcto,4,0.0018867924528301887
do,4,0.0018867924528301887
situación,4,0.0018867924528301887
revisión,4,0.0018867924528301887
reducir,4,0.0018867924528301887
pedir,4,0.0018867924528301887
probablemente,4,0.0018867924528301887
ítem,4,0.0018867924528301887
nsnc,4,0.0018867924528301887
perder,4,0.0018867924528301887
151,4,0.0018867924528301887
335,4,0.0018867924528301887
514,4,0.0018867924528301887
81,4,0.0018867924528301887
563,4,0.0018867924528301887
40,4,0.0018867924528301887
espontaneidad,4,0.0018867924528301887
443,4,0.0018867924528301887
408,4,0.0018867924528301887
causar,4,0.0018867924528301887
139,4,0.0018867924528301887
598,4,0.0018867924528301887
251,4,0.0018867924528301887
exploración,4,0.0018867924528301887
217,4,0.0018867924528301887
alcanzar,4,0.0018867924528301887
