Respuesta,Frecuencia,Asociación
mujer,21,0.015283842794759825
hijo,14,0.010189228529839884
recién,13,0.009461426491994178
madre,9,0.006550218340611353
niño,7,0.005094614264919942
hombre,7,0.005094614264919942
tratar,6,0.004366812227074236
pareja,6,0.004366812227074236
sexo,6,0.004366812227074236
vida,6,0.004366812227074236
etcétera,5,0.00363901018922853
padre,5,0.00363901018922853
genitales,5,0.00363901018922853
método,4,0.002911208151382824
humano,4,0.002911208151382824
deber,4,0.002911208151382824
presentar,4,0.002911208151382824
año,4,0.002911208151382824
1,4,0.002911208151382824
decidir,4,0.002911208151382824
sujeto,4,0.002911208151382824
femenino,4,0.002911208151382824
vivir,4,0.002911208151382824
adolescente,4,0.002911208151382824
médico,4,0.002911208151382824
américa,4,0.002911208151382824
latino,4,0.002911208151382824
embarazar,4,0.002911208151382824
período,4,0.002911208151382824
sexualidad,3,0.002183406113537118
trabajo,3,0.002183406113537118
social,3,0.002183406113537118
contar,3,0.002183406113537118
permitir,3,0.002183406113537118
general,3,0.002183406113537118
suponer,3,0.002183406113537118
grupo,3,0.002183406113537118
estudio,3,0.002183406113537118
producto,3,0.002183406113537118
joven,3,0.002183406113537118
género,3,0.002183406113537118
número,3,0.002183406113537118
distinto,3,0.002183406113537118
cuerpo,3,0.002183406113537118
desarrollar,3,0.002183406113537118
relación,3,0.002183406113537118
individuo,3,0.002183406113537118
pregunta,3,0.002183406113537118
persona,3,0.002183406113537118
determinar,3,0.002183406113537118
sentir,3,0.002183406113537118
recibir,3,0.002183406113537118
experiencia,3,0.002183406113537118
gestación,3,0.002183406113537118
chico,3,0.002183406113537118
asumir,3,0.002183406113537118
continuar,3,0.002183406113537118
feto,3,0.002183406113537118
intervención,3,0.002183406113537118
ciudad,3,0.002183406113537118
erotismo,3,0.002183406113537118
mundo,3,0.002183406113537118
25,3,0.002183406113537118
sífilis,3,0.002183406113537118
empezar,3,0.002183406113537118
actuar,3,0.002183406113537118
matrimonio,3,0.002183406113537118
promedio,3,0.002183406113537118
trastorno,3,0.002183406113537118
proceso,2,0.001455604075691412
seguir,2,0.001455604075691412
construcción,2,0.001455604075691412
país,2,0.001455604075691412
población,2,0.001455604075691412
existir,2,0.001455604075691412
principalmente,2,0.001455604075691412
necesidad,2,0.001455604075691412
particular,2,0.001455604075691412
sexual,2,0.001455604075691412
pensar,2,0.001455604075691412
4,2,0.001455604075691412
nivel,2,0.001455604075691412
biológico,2,0.001455604075691412
cuestión,2,0.001455604075691412
transmisión,2,0.001455604075691412
edad,2,0.001455604075691412
introducir,2,0.001455604075691412
alto,2,0.001455604075691412
reconocer,2,0.001455604075691412
5,2,0.001455604075691412
pertenecer,2,0.001455604075691412
asignar,2,0.001455604075691412
volver,2,0.001455604075691412
prácticamente,2,0.001455604075691412
índice,2,0.001455604075691412
elegir,2,0.001455604075691412
do,2,0.001455604075691412
consecuencia,2,0.001455604075691412
conforme,2,0.001455604075691412
sistema,2,0.001455604075691412
oportunidad,2,0.001455604075691412
embarazo,2,0.001455604075691412
desear,2,0.001455604075691412
aumentar,2,0.001455604075691412
resultado,2,0.001455604075691412
práctica,2,0.001455604075691412
adolescencia,2,0.001455604075691412
producir,2,0.001455604075691412
convertir,2,0.001455604075691412
menor,2,0.001455604075691412
considerar,2,0.001455604075691412
8,2,0.001455604075691412
físico,2,0.001455604075691412
clínica,2,0.001455604075691412
siglo,2,0.001455604075691412
derecho,2,0.001455604075691412
infancia,2,0.001455604075691412
sufrir,2,0.001455604075691412
represión,2,0.001455604075691412
individual,2,0.001455604075691412
cargo,2,0.001455604075691412
tribunal,2,0.001455604075691412
declarar,2,0.001455604075691412
católico,2,0.001455604075691412
ley,2,0.001455604075691412
parto,2,0.001455604075691412
sala,2,0.001455604075691412
operación,2,0.001455604075691412
enfermero,2,0.001455604075691412
materia,2,0.001455604075691412
latinoamericano,2,0.001455604075691412
lesión,2,0.001455604075691412
grave,2,0.001455604075691412
cobrar,2,0.001455604075691412
mes,2,0.001455604075691412
víctima,2,0.001455604075691412
unir,2,0.001455604075691412
1970,2,0.001455604075691412
demográfico,2,0.001455604075691412
grado,2,0.001455604075691412
probablemente,2,0.001455604075691412
embrión,2,0.001455604075691412
relieve,2,0.001455604075691412
acontecimiento,2,0.001455604075691412
explicitar,2,0.001455604075691412
infección,2,0.001455604075691412
himen,2,0.001455604075691412
reproductivo,2,0.001455604075691412
categoría,2,0.001455604075691412
externo,2,0.001455604075691412
biológicamente,2,0.001455604075691412
familiar,2,0.001455604075691412
partero,2,0.001455604075691412
asistente,2,0.001455604075691412
ocurrir,2,0.001455604075691412
subregión,2,0.001455604075691412
caribe,2,0.001455604075691412
sobrevivir,2,0.001455604075691412
vih,2,0.001455604075691412
puro,2,0.001455604075691412
19851995,2,0.001455604075691412
varón,2,0.001455604075691412
19811982,2,0.001455604075691412
hermano,2,0.001455604075691412
mantener,2,0.001455604075691412
crecer,2,0.001455604075691412
cola,2,0.001455604075691412
motivo,2,0.001455604075691412
fecundidad,2,0.001455604075691412
cohorte,2,0.001455604075691412
parroquia,2,0.001455604075691412
bautizar,2,0.001455604075691412
cuadro,2,0.001455604075691412
transexuales,2,0.001455604075691412
incongruencia,2,0.001455604075691412
identidad_de_género,2,0.001455604075691412
quirúrgico,2,0.001455604075691412
hormonación,2,0.001455604075691412
transexual,2,0.001455604075691412
confundir,2,0.001455604075691412
natural,2,0.001455604075691412
anexo,2,0.001455604075691412
ética,2,0.001455604075691412
extensión,2,0.001455604075691412
determinación,1,0.000727802037845706
básico,1,0.000727802037845706
corpus,1,0.000727802037845706
