Respuesta,Frecuencia,Asociación
población,3,0.01079136690647482
disminución,3,0.01079136690647482
sexualidad,2,0.007194244604316547
artículo,2,0.007194244604316547
problema,2,0.007194244604316547
social,2,0.007194244604316547
recurso,2,0.007194244604316547
deber,2,0.007194244604316547
sistemático,2,0.007194244604316547
importante,2,0.007194244604316547
estrategia,2,0.007194244604316547
preservativo,2,0.007194244604316547
relación_sexual,2,0.007194244604316547
persona,2,0.007194244604316547
hospital,2,0.007194244604316547
superpoblación,2,0.007194244604316547
planetario,2,0.007194244604316547
aumento,2,0.007194244604316547
eliminar,2,0.007194244604316547
cambio,2,0.007194244604316547
familiar,2,0.007194244604316547
crecimiento,2,0.007194244604316547
efecto,2,0.007194244604316547
concomitante,2,0.007194244604316547
producir,2,0.007194244604316547
familia,2,0.007194244604316547
escuela,2,0.007194244604316547
moderno,2,0.007194244604316547
sanger,2,0.007194244604316547
iniciar,2,0.007194244604316547
movimiento,2,0.007194244604316547
unir,2,0.007194244604316547
1922,2,0.007194244604316547
1927,2,0.007194244604316547
trabajo,1,0.0035971223021582736
área,1,0.0035971223021582736
pretender,1,0.0035971223021582736
proceso,1,0.0035971223021582736
método,1,0.0035971223021582736
tratar,1,0.0035971223021582736
diverso,1,0.0035971223021582736
humano,1,0.0035971223021582736
construcción,1,0.0035971223021582736
país,1,0.0035971223021582736
permitir,1,0.0035971223021582736
general,1,0.0035971223021582736
necesario,1,0.0035971223021582736
existir,1,0.0035971223021582736
suponer,1,0.0035971223021582736
impacto,1,0.0035971223021582736
mexicano,1,0.0035971223021582736
programa,1,0.0035971223021582736
forma,1,0.0035971223021582736
factor,1,0.0035971223021582736
sexual,1,0.0035971223021582736
ámbito,1,0.0035971223021582736
mundial,1,0.0035971223021582736
salud,1,0.0035971223021582736
2000,1,0.0035971223021582736
alternativa,1,0.0035971223021582736
relacionar,1,0.0035971223021582736
presentar,1,0.0035971223021582736
tarea,1,0.0035971223021582736
estudio,1,0.0035971223021582736
documento,1,0.0035971223021582736
principal,1,0.0035971223021582736
público,1,0.0035971223021582736
superar,1,0.0035971223021582736
abrir,1,0.0035971223021582736
usuario,1,0.0035971223021582736
acceso,1,0.0035971223021582736
pensar,1,0.0035971223021582736
manual,1,0.0035971223021582736
publicar,1,0.0035971223021582736
negociar,1,0.0035971223021582736
examinar,1,0.0035971223021582736
1,1,0.0035971223021582736
idea,1,0.0035971223021582736
querer,1,0.0035971223021582736
actualmente,1,0.0035971223021582736
representar,1,0.0035971223021582736
biológico,1,0.0035971223021582736
insertar,1,0.0035971223021582736
anatomía,1,0.0035971223021582736
cuerpo,1,0.0035971223021582736
objeto,1,0.0035971223021582736
control,1,0.0035971223021582736
medicina,1,0.0035971223021582736
ii12,1,0.0035971223021582736
respuesta,1,0.0035971223021582736
expresión,1,0.0035971223021582736
asunto,1,0.0035971223021582736
metabiológicos,1,0.0035971223021582736
sentir,1,0.0035971223021582736
chico,1,0.0035971223021582736
pareja,1,0.0035971223021582736
penetración,1,0.0035971223021582736
cosa,1,0.0035971223021582736
contagiar,1,0.0035971223021582736
itg,1,0.0035971223021582736
mantener,1,0.0035971223021582736
tiempo,1,0.0035971223021582736
servicio,1,0.0035971223021582736
aborto,1,0.0035971223021582736
tesis,1,0.0035971223021582736
oficial,1,0.0035971223021582736
acusar,1,0.0035971223021582736
víctima,1,0.0035971223021582736
exdirector,1,0.0035971223021582736
fao,1,0.0035971223021582736
producción,1,0.0035971223021582736
alimento,1,0.0035971223021582736
crecer,1,0.0035971223021582736
1975,1,0.0035971223021582736
índice,1,0.0035971223021582736
aumentar,1,0.0035971223021582736
desigualdad,1,0.0035971223021582736
colonialismo,1,0.0035971223021582736
pueblo,1,0.0035971223021582736
planeta,1,0.0035971223021582736
capaz,1,0.0035971223021582736
gestionar,1,0.0035971223021582736
sanitario,1,0.0035971223021582736
malnutrición,1,0.0035971223021582736
infantil,1,0.0035971223021582736
chicago,1,0.0035971223021582736
consecuencia,1,0.0035971223021582736
inevitablemente,1,0.0035971223021582736
tasa,1,0.0035971223021582736
europeo,1,0.0035971223021582736
creer,1,0.0035971223021582736
pobreza,1,0.0035971223021582736
generar,1,0.0035971223021582736
pobre,1,0.0035971223021582736
incomodar,1,0.0035971223021582736
sobrar,1,0.0035971223021582736
medida,1,0.0035971223021582736
epidemia,1,0.0035971223021582736
sida,1,0.0035971223021582736
entender,1,0.0035971223021582736
marco,1,0.0035971223021582736
invitar,1,0.0035971223021582736
deuda,1,0.0035971223021582736
externo,1,0.0035971223021582736
fondo,1,0.0035971223021582736
monetario,1,0.0035971223021582736
internacional,1,0.0035971223021582736
imponer,1,0.0035971223021582736
brasil,1,0.0035971223021582736
reducción,1,0.0035971223021582736
fuerte,1,0.0035971223021582736
cláusula,1,0.0035971223021582736
imprescindible,1,0.0035971223021582736
47,1,0.0035971223021582736
puerto,1,0.0035971223021582736
rico,1,0.0035971223021582736
1935,1,0.0035971223021582736
1945,1,0.0035971223021582736
esterilizar,1,0.0035971223021582736
21,1,0.0035971223021582736
toxicomanía,1,0.0035971223021582736
observar,1,0.0035971223021582736
estadística,1,0.0035971223021582736
causa,1,0.0035971223021582736
muerte,1,0.0035971223021582736
sobresaliente,1,0.0035971223021582736
1970,1,0.0035971223021582736
bruto,1,0.0035971223021582736
sonoro,1,0.0035971223021582736
457,1,0.0035971223021582736
270,1,0.0035971223021582736
1995,1,0.0035971223021582736
castro,1,0.0035971223021582736
luque,1,0.0035971223021582736
individual,1,0.0035971223021582736
reflexión,1,0.0035971223021582736
radical,1,0.0035971223021582736
baja,1,0.0035971223021582736
rol_de_género,1,0.0035971223021582736
participación,1,0.0035971223021582736
política,1,0.0035971223021582736
mujer,1,0.0035971223021582736
valor,1,0.0035971223021582736
involucrar,1,0.0035971223021582736
descenso,1,0.0035971223021582736
fecundidad,1,0.0035971223021582736
aceptación,1,0.0035971223021582736
práctica,1,0.0035971223021582736
regulador,1,0.0035971223021582736
1973,1,0.0035971223021582736
900,1,0.0035971223021582736
mil,1,0.0035971223021582736
regular,1,0.0035971223021582736
desposeer,1,0.0035971223021582736
desempeñar,1,0.0035971223021582736
maternidad,1,0.0035971223021582736
dejar,1,0.0035971223021582736
traslucir,1,0.0035971223021582736
contradicción,1,0.0035971223021582736
asimismo,1,0.0035971223021582736
anticonceptivo,1,0.0035971223021582736
controlar,1,0.0035971223021582736
reproducción,1,0.0035971223021582736
traer,1,0.0035971223021582736
ruptura,1,0.0035971223021582736
sistema,1,0.0035971223021582736
agua,1,0.0035971223021582736
potable,1,0.0035971223021582736
mortalidad,1,0.0035971223021582736
sucesivo,1,0.0035971223021582736
campaña,1,0.0035971223021582736
gobierno,1,0.0035971223021582736
clínica,1,0.0035971223021582736
seguro,1,0.0035971223021582736
reciente,1,0.0035971223021582736
serie,1,0.0035971223021582736
unión,1,0.0035971223021582736
cónyuge,1,0.0035971223021582736
felicidad,1,0.0035971223021582736
natural,1,0.0035971223021582736
agotar,1,0.0035971223021582736
posibilidad,1,0.0035971223021582736
regulación,1,0.0035971223021582736
especial,1,0.0035971223021582736
importancia,1,0.0035971223021582736
sensibilización,1,0.0035971223021582736
vivencia,1,0.0035971223021582736
consciente,1,0.0035971223021582736
fertilidad,1,0.0035971223021582736
morir,1,0.0035971223021582736
refutar,1,0.0035971223021582736
masturbación,1,0.0035971223021582736
ocasionar,1,0.0035971223021582736
insannia,1,0.0035971223021582736
margaret,1,0.0035971223021582736
geramine,1,0.0035971223021582736
greer,1,0.0035971223021582736
feminista,1,0.0035971223021582736
29,1,0.0035971223021582736
adelantar,1,0.0035971223021582736
época,1,0.0035971223021582736
antropólogo,1,0.0035971223021582736
