Respuesta,Frecuencia,Asociación
erotismo,2,0.05555555555555555
parafilia,2,0.05555555555555555
dañar,2,0.05555555555555555
gerontofilia,2,0.05555555555555555
etcétera,1,0.027777777777777776
existir,1,0.027777777777777776
mencionar,1,0.027777777777777776
grupo,1,0.027777777777777776
obtención,1,0.027777777777777776
tipo,1,0.027777777777777776
límite,1,0.027777777777777776
placer,1,0.027777777777777776
edad,1,0.027777777777777776
persona,1,0.027777777777777776
frecuente,1,0.027777777777777776
menor,1,0.027777777777777776
sexo,1,0.027777777777777776
parecer,1,0.027777777777777776
aceptar,1,0.027777777777777776
erótico,1,0.027777777777777776
senil,1,0.027777777777777776
consentimiento,1,0.027777777777777776
exagerar,1,0.027777777777777776
gustar,1,0.027777777777777776
cadáver,1,0.027777777777777776
pedofilia,1,0.027777777777777776
intercambio_de_pareja,1,0.027777777777777776
bestialidad,1,0.027777777777777776
klismafilia,1,0.027777777777777776
enema,1,0.027777777777777776
urolagnia,1,0.027777777777777776
manipulación,1,0.027777777777777776
