Respuesta,Frecuencia,Asociación
sexualidad,1,0.016666666666666666
trabajo,1,0.016666666666666666
material,1,0.016666666666666666
ejercicio,1,0.016666666666666666
forma,1,0.016666666666666666
sexual,1,0.016666666666666666
acción,1,0.016666666666666666
relacionar,1,0.016666666666666666
avance,1,0.016666666666666666
crear,1,0.016666666666666666
relevante,1,0.016666666666666666
público,1,0.016666666666666666
presente,1,0.016666666666666666
resultar,1,0.016666666666666666
pasar,1,0.016666666666666666
íntimamente,1,0.016666666666666666
diversidad,1,0.016666666666666666
origen,1,0.016666666666666666
anal,1,0.016666666666666666
relación,1,0.016666666666666666
pareja,1,0.016666666666666666
posibilidad,1,0.016666666666666666
persona,1,0.016666666666666666
ejemplo,1,0.016666666666666666
dejar,1,0.016666666666666666
condición,1,0.016666666666666666
1999,1,0.016666666666666666
vivir,1,0.016666666666666666
experiencia,1,0.016666666666666666
práctica,1,0.016666666666666666
garantizar,1,0.016666666666666666
sexo,1,0.016666666666666666
derecho,1,0.016666666666666666
período,1,0.016666666666666666
heterosexual,1,0.016666666666666666
velo,1,0.016666666666666666
jurídico,1,0.016666666666666666
especialmente,1,0.016666666666666666
acceder,1,0.016666666666666666
convivencia,1,0.016666666666666666
tratamiento,1,0.016666666666666666
recurrir,1,0.016666666666666666
colombia,1,0.016666666666666666
gay,1,0.016666666666666666
marital,1,0.016666666666666666
velandia,1,0.016666666666666666
157208,1,0.016666666666666666
sintomático,1,0.016666666666666666
tutela,1,0.016666666666666666
cunnilingus,1,0.016666666666666666
felación,1,0.016666666666666666
cerámica,1,0.016666666666666666
mochar,1,0.016666666666666666
chimú,1,0.016666666666666666
obscurecer,1,0.016666666666666666
lascivo,1,0.016666666666666666
movilización,1,0.016666666666666666
asunción,1,0.016666666666666666
homoerótica,1,0.016666666666666666
emparejamiento,1,0.016666666666666666
