Respuesta,Frecuencia,Asociación
mujer,27,0.012881679389312978
servicio,15,0.00715648854961832
deber,14,0.006679389312977099
médico,13,0.006202290076335878
aborto,12,0.0057251908396946565
sexualidad,11,0.005248091603053435
social,9,0.004293893129770993
planificación,9,0.004293893129770993
vida,9,0.004293893129770993
perspectiva,8,0.003816793893129771
necesidad,8,0.003816793893129771
salud,8,0.003816793893129771
amplio,8,0.003816793893129771
familiar,8,0.003816793893129771
deseo,8,0.003816793893129771
general,7,0.0033396946564885495
sexual,7,0.0033396946564885495
acceso,7,0.0033396946564885495
caso,7,0.0033396946564885495
calidad,7,0.0033396946564885495
hombre,7,0.0033396946564885495
méxico,6,0.0028625954198473282
construcción,6,0.0028625954198473282
programa,6,0.0028625954198473282
educación,6,0.0028625954198473282
estudio,6,0.0028625954198473282
formación,6,0.0028625954198473282
sexo,6,0.0028625954198473282
1995,6,0.0028625954198473282
tratar,5,0.002385496183206107
presentar,5,0.002385496183206107
grupo,5,0.002385496183206107
público,5,0.002385496183206107
importante,5,0.002385496183206107
objeto,5,0.002385496183206107
sujeto,5,0.002385496183206107
demostrar,5,0.002385496183206107
científico,5,0.002385496183206107
ley,5,0.002385496183206107
experiencia,5,0.002385496183206107
humano,4,0.0019083969465648854
desarrollo,4,0.0019083969465648854
trabajar,4,0.0019083969465648854
evitar,4,0.0019083969465648854
cuerpo,4,0.0019083969465648854
identidad,4,0.0019083969465648854
campo,4,0.0019083969465648854
anticonceptivo,4,0.0019083969465648854
gobierno,4,0.0019083969465648854
capacitación,4,0.0019083969465648854
alumno,4,0.0019083969465648854
atención,4,0.0019083969465648854
enfoque,4,0.0019083969465648854
desear,4,0.0019083969465648854
aspecto,4,0.0019083969465648854
norma,4,0.0019083969465648854
curso,4,0.0019083969465648854
capacitar,4,0.0019083969465648854
ginecología,4,0.0019083969465648854
consejería,4,0.0019083969465648854
seguir,3,0.0014312977099236641
problema,3,0.0014312977099236641
cultural,3,0.0014312977099236641
acercar,3,0.0014312977099236641
recurso,3,0.0014312977099236641
permitir,3,0.0014312977099236641
población,3,0.0014312977099236641
información,3,0.0014312977099236641
propuesta,3,0.0014312977099236641
forma,3,0.0014312977099236641
factor,3,0.0014312977099236641
constituir,3,0.0014312977099236641
relacionar,3,0.0014312977099236641
nacional,3,0.0014312977099236641
ciencia,3,0.0014312977099236641
momento,3,0.0014312977099236641
principal,3,0.0014312977099236641
lugar,3,0.0014312977099236641
resultar,3,0.0014312977099236641
tipo,3,0.0014312977099236641
joven,3,0.0014312977099236641
estudiante,3,0.0014312977099236641
maestro,3,0.0014312977099236641
punto,3,0.0014312977099236641
adecuar,3,0.0014312977099236641
mostrar,3,0.0014312977099236641
1,3,0.0014312977099236641
histórico,3,0.0014312977099236641
derivar,3,0.0014312977099236641
establecer,3,0.0014312977099236641
realidad,3,0.0014312977099236641
medicina,3,0.0014312977099236641
razón,3,0.0014312977099236641
transmisión,3,0.0014312977099236641
actividad,3,0.0014312977099236641
relación,3,0.0014312977099236641
pareja,3,0.0014312977099236641
cultura,3,0.0014312977099236641
sociedad,3,0.0014312977099236641
edad,3,0.0014312977099236641
educativo,3,0.0014312977099236641
cuidar,3,0.0014312977099236641
medida,3,0.0014312977099236641
persona,3,0.0014312977099236641
personal,3,0.0014312977099236641
oportunidad,3,0.0014312977099236641
