Respuesta,Frecuencia,Asociación
permitir,1,0.02631578947368421
año,1,0.02631578947368421
pensar,1,0.02631578947368421
casa,1,0.02631578947368421
mostrar,1,0.02631578947368421
decidir,1,0.02631578947368421
cuerpo,1,0.02631578947368421
tiempo,1,0.02631578947368421
referir,1,0.02631578947368421
importancia,1,0.02631578947368421
sentir,1,0.02631578947368421
considerar,1,0.02631578947368421
costumbre,1,0.02631578947368421
hijo,1,0.02631578947368421
moda,1,0.02631578947368421
pequeño,1,0.02631578947368421
atrás,1,0.02631578947368421
moral,1,0.02631578947368421
empezar,1,0.02631578947368421
preocupar,1,0.02631578947368421
tratamiento,1,0.02631578947368421
suceder,1,0.02631578947368421
vestir,1,0.02631578947368421
herida,1,0.02631578947368421
maría,1,0.02631578947368421
pierna,1,0.02631578947368421
exaltar,1,0.02631578947368421
espalda,1,0.02631578947368421
pornográfico,1,0.02631578947368421
indecente,1,0.02631578947368421
inconsciente,1,0.02631578947368421
seno,1,0.02631578947368421
inmoral,1,0.02631578947368421
parcialmente,1,0.02631578947368421
rosa,1,0.02631578947368421
nalga,1,0.02631578947368421
desacato,1,0.02631578947368421
dió,1,0.02631578947368421
