Respuesta,Frecuencia,Asociación
homosexual,18,0.017716535433070866
información,9,0.008858267716535433
anticonceptivo,7,0.006889763779527559
servicio,6,0.005905511811023622
mujer,6,0.005905511811023622
hombre,6,0.005905511811023622
social,5,0.004921259842519685
salud,5,0.004921259842519685
prevención,5,0.004921259842519685
embarazo,5,0.004921259842519685
recibir,5,0.004921259842519685
derecho,5,0.004921259842519685
heterosexual,5,0.004921259842519685
padre,5,0.004921259842519685
paciente,5,0.004921259842519685
abordar,4,0.003937007874015748
centro,4,0.003937007874015748
persona,4,0.003937007874015748
nsnc,4,0.003937007874015748
sexualidad,3,0.002952755905511811
contar,3,0.002952755905511811
deber,3,0.002952755905511811
informar,3,0.002952755905511811
estudio,3,0.002952755905511811
caso,3,0.002952755905511811
respuesta,3,0.002952755905511811
expresión,3,0.002952755905511811
cuestión,3,0.002952755905511811
actividad,3,0.002952755905511811
familia,3,0.002952755905511811
ejemplo,3,0.002952755905511811
cambio,3,0.002952755905511811
médico,3,0.002952755905511811
sexo,3,0.002952755905511811
higiene,3,0.002952755905511811
básico,2,0.001968503937007874
artículo,2,0.001968503937007874
intentar,2,0.001968503937007874
humano,2,0.001968503937007874
encontrar,2,0.001968503937007874
acercar,2,0.001968503937007874
población,2,0.001968503937007874
programa,2,0.001968503937007874
educación,2,0.001968503937007874
sexual,2,0.001968503937007874
constituir,2,0.001968503937007874
plan,2,0.001968503937007874
desarrollo,2,0.001968503937007874
nacional,2,0.001968503937007874
modelo,2,0.001968503937007874
etapa,2,0.001968503937007874
proporcionar,2,0.001968503937007874
necesitar,2,0.001968503937007874
momento,2,0.001968503937007874
relevante,2,0.001968503937007874
público,2,0.001968503937007874
requerir,2,0.001968503937007874
acceso,2,0.001968503937007874
tipo,2,0.001968503937007874
niño,2,0.001968503937007874
joven,2,0.001968503937007874
casa,2,0.001968503937007874
técnica,2,0.001968503937007874
mejorar,2,0.001968503937007874
4,2,0.001968503937007874
kinsey,2,0.001968503937007874
objeto,2,0.001968503937007874
asunto,2,0.001968503937007874
identidad,2,0.001968503937007874
enfermedad,2,0.001968503937007874
relación,2,0.001968503937007874
terapia,2,0.001968503937007874
cultura,2,0.001968503937007874
educativo,2,0.001968503937007874
cuidar,2,0.001968503937007874
medida,2,0.001968503937007874
convención,2,0.001968503937007874
esfuerzo,2,0.001968503937007874
porcentaje,2,0.001968503937007874
condición,2,0.001968503937007874
asimismo,2,0.001968503937007874
adolescente,2,0.001968503937007874
resultado,2,0.001968503937007874
conducta,2,0.001968503937007874
creer,2,0.001968503937007874
experiencia,2,0.001968503937007874
considerar,2,0.001968503937007874
15,2,0.001968503937007874
responsable,2,0.001968503937007874
sufrir,2,0.001968503937007874
vida,2,0.001968503937007874
juvenil,2,0.001968503937007874
apropiar,2,0.001968503937007874
aspecto,2,0.001968503937007874
fundamental,2,0.001968503937007874
hijo,2,0.001968503937007874
27,2,0.001968503937007874
expresar,2,0.001968503937007874
erótico,2,0.001968503937007874
cambiar,2,0.001968503937007874
sector,2,0.001968503937007874
sanitario,2,0.001968503937007874
