Respuesta,Frecuencia,Asociación
estudio,2,0.03636363636363636
prueba,2,0.03636363636363636
área,1,0.01818181818181818
méxico,1,0.01818181818181818
problema,1,0.01818181818181818
social,1,0.01818181818181818
necesario,1,0.01818181818181818
información,1,0.01818181818181818
factor,1,0.01818181818181818
salud,1,0.01818181818181818
grupo,1,0.01818181818181818
proporcionar,1,0.01818181818181818
principal,1,0.01818181818181818
acceso,1,0.01818181818181818
tipo,1,0.01818181818181818
mostrar,1,0.01818181818181818
estrato,1,0.01818181818181818
nivel,1,0.01818181818181818
función,1,0.01818181818181818
ampliamente,1,0.01818181818181818
servicio,1,0.01818181818181818
divulgación,1,0.01818181818181818
importancia,1,0.01818181818181818
orden,1,0.01818181818181818
asociar,1,0.01818181818181818
menor,1,0.01818181818181818
cerca,1,0.01818181818181818
entrevista,1,0.01818181818181818
muestra,1,0.01818181818181818
urbano,1,0.01818181818181818
mujer,1,0.01818181818181818
acudir,1,0.01818181818181818
97,1,0.01818181818181818
seguro,1,0.01818181818181818
carencia,1,0.01818181818181818
oficial,1,0.01818181818181818
zona,1,0.01818181818181818
rural,1,0.01818181818181818
difundir,1,0.01818181818181818
prioridad,1,0.01818181818181818
cáncer,1,0.01818181818181818
desconocimiento,1,0.01818181818181818
df,1,0.01818181818181818
socioeconómico,1,0.01818181818181818
habitante,1,0.01818181818181818
poblacional,1,0.01818181818181818
analfabetismo,1,0.01818181818181818
papanicolaou,1,0.01818181818181818
recomendación,1,0.01818181818181818
domiciliario,1,0.01818181818181818
familiaridad,1,0.01818181818181818
oaxaca58,1,0.01818181818181818
4208,1,0.01818181818181818
