Respuesta,Frecuencia,Asociación
familia,3,0.020833333333333332
hijo,3,0.020833333333333332
deber,2,0.013888888888888888
ciencia,2,0.013888888888888888
proporcionar,2,0.013888888888888888
necesitar,2,0.013888888888888888
pensar,2,0.013888888888888888
niño,2,0.013888888888888888
casa,2,0.013888888888888888
fácil,2,0.013888888888888888
querer,2,0.013888888888888888
escuela,2,0.013888888888888888
servicio,2,0.013888888888888888
identificar,2,0.013888888888888888
llamar,2,0.013888888888888888
responsable,2,0.013888888888888888
agua,2,0.013888888888888888
paternidad,2,0.013888888888888888
jugar,2,0.013888888888888888
parafilia,2,0.013888888888888888
mamá,2,0.013888888888888888
ninas,2,0.013888888888888888
básico,1,0.006944444444444444
estudiar,1,0.006944444444444444
material,1,0.006944444444444444
diverso,1,0.006944444444444444
tema,1,0.006944444444444444
elemento,1,0.006944444444444444
social,1,0.006944444444444444
población,1,0.006944444444444444
información,1,0.006944444444444444
atender,1,0.006944444444444444
difusión,1,0.006944444444444444
constituir,1,0.006944444444444444
2000,1,0.006944444444444444
etapa,1,0.006944444444444444
juego,1,0.006944444444444444
papel,1,0.006944444444444444
publicar,1,0.006944444444444444
clasificación,1,0.006944444444444444
género,1,0.006944444444444444
referente,1,0.006944444444444444
utilizar,1,0.006944444444444444
conformar,1,0.006944444444444444
exponer,1,0.006944444444444444
realidad,1,0.006944444444444444
trabajar,1,0.006944444444444444
nivel,1,0.006944444444444444
visión,1,0.006944444444444444
incluir,1,0.006944444444444444
femenino,1,0.006944444444444444
atracción,1,0.006944444444444444
libro,1,0.006944444444444444
cuidar,1,0.006944444444444444
persona,1,0.006944444444444444
producción,1,0.006944444444444444
do,1,0.006944444444444444
generalmente,1,0.006944444444444444
ayudar,1,0.006944444444444444
capacidad,1,0.006944444444444444
patente,1,0.006944444444444444
menor,1,0.006944444444444444
chico,1,0.006944444444444444
infantil,1,0.006944444444444444
posteriormente,1,0.006944444444444444
fuerte,1,0.006944444444444444
labor,1,0.006944444444444444
televisión,1,0.006944444444444444
diferenciar,1,0.006944444444444444
generar,1,0.006944444444444444
obediente,1,0.006944444444444444
núcleo,1,0.006944444444444444
individual,1,0.006944444444444444
varón,1,0.006944444444444444
campaña,1,0.006944444444444444
generalización,1,0.006944444444444444
reproducción,1,0.006944444444444444
ídolo,1,0.006944444444444444
preciso,1,0.006944444444444444
especialmente,1,0.006944444444444444
doméstico,1,0.006944444444444444
secretaría,1,0.006944444444444444
independiente,1,0.006944444444444444
mes,1,0.006944444444444444
200000,1,0.006944444444444444
4º,1,0.006944444444444444
soler,1,0.006944444444444444
gustar,1,0.006944444444444444
docente,1,0.006944444444444444
mirar,1,0.006944444444444444
cariñoso,1,0.006944444444444444
taller,1,0.006944444444444444
ninos,1,0.006944444444444444
rápidamente,1,0.006944444444444444
típico,1,0.006944444444444444
coriac,1,0.006944444444444444
dibujo,1,0.006944444444444444
nuclear,1,0.006944444444444444
aderezar,1,0.006944444444444444
consabido,1,0.006944444444444444
carga,1,0.006944444444444444
estereotipar,1,0.006944444444444444
comparar,1,0.006944444444444444
dieciocho,1,0.006944444444444444
money,1,0.006944444444444444
1972,1,0.006944444444444444
recomendable,1,0.006944444444444444
potencialidad,1,0.006944444444444444
paternaje,1,0.006944444444444444
maternaje,1,0.006944444444444444
pasatiempo,1,0.006944444444444444
dibujar,1,0.006944444444444444
princesa,1,0.006944444444444444
bonito,1,0.006944444444444444
vídeo,1,0.006944444444444444
favorito,1,0.006944444444444444
juguete,1,0.006944444444444444
munecas,1,0.006944444444444444
barbie,1,0.006944444444444444
companeros,1,0.006944444444444444
