Respuesta,Frecuencia,Asociación
sexual,13,0.02159468438538206
conducta,9,0.014950166112956811
sexo,7,0.011627906976744186
individuo,6,0.009966777408637873
social,5,0.008305647840531562
psicológico,5,0.008305647840531562
persona,5,0.008305647840531562
trastorno,5,0.008305647840531562
carácter,4,0.006644518272425249
objeto,4,0.006644518272425249
femenino,4,0.006644518272425249
masoquismo,4,0.006644518272425249
considerar,4,0.006644518272425249
diferenciar,4,0.006644518272425249
impulsivo,4,0.006644518272425249
farmacológico,4,0.006644518272425249
perversión,4,0.006644518272425249
criterio,3,0.0049833887043189366
cumplir,3,0.0049833887043189366
comportamiento_sexual,3,0.0049833887043189366
comportamiento,3,0.0049833887043189366
centro,3,0.0049833887043189366
significativo,3,0.0049833887043189366
norma,3,0.0049833887043189366
fantasía,3,0.0049833887043189366
patológico,3,0.0049833887043189366
patrón,3,0.0049833887043189366
diagnóstico,3,0.0049833887043189366
6,3,0.0049833887043189366
interés,3,0.0049833887043189366
clínicamente,3,0.0049833887043189366
repetitivo,3,0.0049833887043189366
malestar,3,0.0049833887043189366
exhibicionismo,3,0.0049833887043189366
voyeurismo,3,0.0049833887043189366
sadismo,3,0.0049833887043189366
preferencia_sexual,3,0.0049833887043189366
sexualidad,2,0.0033222591362126247
artículo,2,0.0033222591362126247
término,2,0.0033222591362126247
definición,2,0.0033222591362126247
específico,2,0.0033222591362126247
diverso,2,0.0033222591362126247
población,2,0.0033222591362126247
constituir,2,0.0033222591362126247
salud,2,0.0033222591362126247
investigación,2,0.0033222591362126247
presentar,2,0.0033222591362126247
obtención,2,0.0033222591362126247
objetivo,2,0.0033222591362126247
presente,2,0.0033222591362126247
descripción,2,0.0033222591362126247
punto,2,0.0033222591362126247
papel,2,0.0033222591362126247
llegar,2,0.0033222591362126247
clasificación,2,0.0033222591362126247
1,2,0.0033222591362126247
evaluar,2,0.0033222591362126247
utilizar,2,0.0033222591362126247
pasar,2,0.0033222591362126247
propósito,2,0.0033222591362126247
expresión,2,0.0033222591362126247
placer,2,0.0033222591362126247
gama,2,0.0033222591362126247
travestismo,2,0.0033222591362126247
zoofilia,2,0.0033222591362126247
clasificar,2,0.0033222591362126247
atracción,2,0.0033222591362126247
relación,2,0.0033222591362126247
pareja,2,0.0033222591362126247
terapia,2,0.0033222591362126247
abuso,2,0.0033222591362126247
