Respuesta,Frecuencia,Asociación
página,2,0.05
significar,2,0.05
colocar,2,0.05
filmar,2,0.05
etcétera,1,0.025
permitir,1,0.025
programa,1,0.025
sexual,1,0.025
componer,1,0.025
versión,1,0.025
tipo,1,0.025
juego,1,0.025
exponer,1,0.025
vía,1,0.025
provenir,1,0.025
persona,1,0.025
sexo,1,0.025
compartir,1,0.025
erótico,1,0.025
vista,1,0.025
vincular,1,0.025
casero,1,0.025
pro,1,0.025
prostituta,1,0.025
prostitución,1,0.025
comercio,1,0.025
masturbándose,1,0.025
video,1,0.025
latín,1,0.025
vocablo,1,0.025
youtube,1,0.025
pornotube,1,0.025
prostituere,1,0.025
statuere,1,0.025
estacionar,1,0.025
intersección,1,0.025
