Respuesta,Frecuencia,Asociación
mujer,3,0.023076923076923078
adolescente,2,0.015384615384615385
convertir,2,0.015384615384615385
hijo,2,0.015384615384615385
sol,2,0.015384615384615385
renard,2,0.015384615384615385
méxico,1,0.007692307692307693
diverso,1,0.007692307692307693
abordar,1,0.007692307692307693
encontrar,1,0.007692307692307693
cultural,1,0.007692307692307693
construcción,1,0.007692307692307693
permitir,1,0.007692307692307693
común,1,0.007692307692307693
programa,1,0.007692307692307693
forma,1,0.007692307692307693
sexual,1,0.007692307692307693
2000,1,0.007692307692307693
buscar,1,0.007692307692307693
investigación,1,0.007692307692307693
año,1,0.007692307692307693
fase,1,0.007692307692307693
lugar,1,0.007692307692307693
estudiante,1,0.007692307692307693
género,1,0.007692307692307693
universidad,1,0.007692307692307693
utilizar,1,0.007692307692307693
pasar,1,0.007692307692307693
actualmente,1,0.007692307692307693
femenino,1,0.007692307692307693
diferencia,1,0.007692307692307693
entrar,1,0.007692307692307693
ejemplo,1,0.007692307692307693
iv,1,0.007692307692307693
emplear,1,0.007692307692307693
1999,1,0.007692307692307693
discriminación,1,0.007692307692307693
capacidad,1,0.007692307692307693
vivir,1,0.007692307692307693
embarazo,1,0.007692307692307693
recibir,1,0.007692307692307693
fruto,1,0.007692307692307693
adolescencia,1,0.007692307692307693
producir,1,0.007692307692307693
fallar,1,0.007692307692307693
15,1,0.007692307692307693
abortar,1,0.007692307692307693
aborto,1,0.007692307692307693
recoger,1,0.007692307692307693
fuerza,1,0.007692307692307693
vida,1,0.007692307692307693
padre,1,0.007692307692307693
prohibición,1,0.007692307692307693
violación,1,0.007692307692307693
obligación,1,0.007692307692307693
hombre,1,0.007692307692307693
historia,1,0.007692307692307693
quitar,1,0.007692307692307693
subordinación,1,0.007692307692307693
varón,1,0.007692307692307693
amigo,1,0.007692307692307693
2003,1,0.007692307692307693
obligar,1,0.007692307692307693
17,1,0.007692307692307693
madre,1,0.007692307692307693
pagar,1,0.007692307692307693
nacimiento,1,0.007692307692307693
sostener,1,0.007692307692307693
criar,1,0.007692307692307693
supremo,1,0.007692307692307693
violar,1,0.007692307692307693
preñar,1,0.007692307692307693
juez,1,0.007692307692307693
viajar,1,0.007692307692307693
inglaterra,1,0.007692307692307693
amenazar,1,0.007692307692307693
corte,1,0.007692307692307693
equivaler,1,0.007692307692307693
soportar,1,0.007692307692307693
85,1,0.007692307692307693
subsanar,1,0.007692307692307693
destacar,1,0.007692307692307693
dolor,1,0.007692307692307693
reproductividad,1,0.007692307692307693
tardío,1,0.007692307692307693
cien,1,0.007692307692307693
19,1,0.007692307692307693
beltrán,1,0.007692307692307693
estilo,1,0.007692307692307693
denominador,1,0.007692307692307693
muscular,1,0.007692307692307693
denotar,1,0.007692307692307693
prudencio,1,0.007692307692307693
pueblo,1,0.007692307692307693
norte,1,0.007692307692307693
envejecer,1,0.007692307692307693
alcohólico,1,0.007692307692307693
sombra,1,0.007692307692307693
docena,1,0.007692307692307693
hachero,1,0.007692307692307693
oficio,1,0.007692307692307693
explotar,1,0.007692307692307693
empezar,1,0.007692307692307693
jacques,1,0.007692307692307693
coordinación,1,0.007692307692307693
equipo,1,0.007692307692307693
comercial,1,0.007692307692307693
heredis,1,0.007692307692307693
captura,1,0.007692307692307693
dni,1,0.007692307692307693
aprieto,1,0.007692307692307693
circunstancia,1,0.007692307692307693
coger,1,0.007692307692307693
avión,1,0.007692307692307693
visar,1,0.007692307692307693
empadronar,1,0.007692307692307693
empleo,1,0.007692307692307693
policía,1,0.007692307692307693
multa,1,0.007692307692307693
museo,1,0.007692307692307693
paquete,1,0.007692307692307693
correo,1,0.007692307692307693
certificar,1,0.007692307692307693
