Respuesta,Frecuencia,Asociación
género,5,0.02336448598130841
teórico,4,0.018691588785046728
desigualdad,4,0.018691588785046728
explicar,3,0.014018691588785047
sistema,3,0.014018691588785047
mujer,3,0.014018691588785047
social,2,0.009345794392523364
asunto,2,0.009345794392523364
desarrollar,2,0.009345794392523364
diferencia,2,0.009345794392523364
plantear,2,0.009345794392523364
físico,2,0.009345794392523364
hombre,2,0.009345794392523364
afirmar,2,0.009345794392523364
varón,2,0.009345794392523364
reproducción,2,0.009345794392523364
marxista,2,0.009345794392523364
sexualidad,1,0.004672897196261682
trabajo,1,0.004672897196261682
área,1,0.004672897196261682
seguir,1,0.004672897196261682
tratar,1,0.004672897196261682
orientar,1,0.004672897196261682
basar,1,0.004672897196261682
intentar,1,0.004672897196261682
problema,1,0.004672897196261682
perspectiva,1,0.004672897196261682
encontrar,1,0.004672897196261682
cantidad,1,0.004672897196261682
contar,1,0.004672897196261682
concepto,1,0.004672897196261682
necesario,1,0.004672897196261682
estructurar,1,0.004672897196261682
necesidad,1,0.004672897196261682
forma,1,0.004672897196261682
organización,1,0.004672897196261682
salud,1,0.004672897196261682
buscar,1,0.004672897196261682
presentar,1,0.004672897196261682
estudio,1,0.004672897196261682
análisis,1,0.004672897196261682
cualquiera,1,0.004672897196261682
momento,1,0.004672897196261682
relevante,1,0.004672897196261682
2,1,0.004672897196261682
dirigir,1,0.004672897196261682
solución,1,0.004672897196261682
presente,1,0.004672897196261682
versión,1,0.004672897196261682
lugar,1,0.004672897196261682
explicación,1,0.004672897196261682
tipo,1,0.004672897196261682
punto,1,0.004672897196261682
utilización,1,0.004672897196261682
1,1,0.004672897196261682
implicar,1,0.004672897196261682
autor,1,0.004672897196261682
3,1,0.004672897196261682
consistir,1,0.004672897196261682
separar,1,0.004672897196261682
división,1,0.004672897196261682
realidad,1,0.004672897196261682
completo,1,0.004672897196261682
origen,1,0.004672897196261682
distinto,1,0.004672897196261682
cuerpo,1,0.004672897196261682
respuesta,1,0.004672897196261682
cuestión,1,0.004672897196261682
sujeto,1,0.004672897196261682
vía,1,0.004672897196261682
actividad,1,0.004672897196261682
relación,1,0.004672897196261682
pareja,1,0.004672897196261682
función,1,0.004672897196261682
escuela,1,0.004672897196261682
familia,1,0.004672897196261682
sociedad,1,0.004672897196261682
edad,1,0.004672897196261682
tiempo,1,0.004672897196261682
posibilidad,1,0.004672897196261682
dominar,1,0.004672897196261682
campo,1,0.004672897196261682
discusión,1,0.004672897196261682
completamente,1,0.004672897196261682
medida,1,0.004672897196261682
característica,1,0.004672897196261682
ofrecer,1,0.004672897196261682
esfuerzo,1,0.004672897196261682
corriente,1,0.004672897196261682
apoyar,1,0.004672897196261682
producción,1,0.004672897196261682
eliminar,1,0.004672897196261682
determinar,1,0.004672897196261682
condición,1,0.004672897196261682
clave,1,0.004672897196261682
elección,1,0.004672897196261682
variable,1,0.004672897196261682
importancia,1,0.004672897196261682
posición,1,0.004672897196261682
consecuencia,1,0.004672897196261682
situación,1,0.004672897196261682
actualizar,1,0.004672897196261682
costo,1,0.004672897196261682
enfrentar,1,0.004672897196261682
único,1,0.004672897196261682
considerar,1,0.004672897196261682
entender,1,0.004672897196261682
existencia,1,0.004672897196261682
repercusión,1,0.004672897196261682
teoría,1,0.004672897196261682
vida,1,0.004672897196261682
demostrar,1,0.004672897196261682
centrar,1,0.004672897196261682
concreto,1,0.004672897196261682
comportar,1,0.004672897196261682
aspecto,1,0.004672897196261682
agente,1,0.004672897196261682
afectar,1,0.004672897196261682
funcionar,1,0.004672897196261682
interesante,1,0.004672897196261682
generar,1,0.004672897196261682
compartir,1,0.004672897196261682
subordinación,1,0.004672897196261682
cambiar,1,0.004672897196261682
percibir,1,0.004672897196261682
atrever,1,0.004672897196261682
quedar,1,0.004672897196261682
lograr,1,0.004672897196261682
bibliografía,1,0.004672897196261682
resto,1,0.004672897196261682
compromiso,1,0.004672897196261682
atención,1,0.004672897196261682
extremo,1,0.004672897196261682
lejano,1,0.004672897196261682
atrás,1,0.004672897196261682
lógica,1,0.004672897196261682
económico,1,0.004672897196261682
tradición,1,0.004672897196261682
especie,1,0.004672897196261682
reciente,1,0.004672897196261682
calidad,1,0.004672897196261682
línea,1,0.004672897196261682
ejercer,1,0.004672897196261682
prioridad,1,0.004672897196261682
traer,1,0.004672897196261682
revelar,1,0.004672897196261682
