Respuesta,Frecuencia,Asociación
ninos,8,0.09090909090909091
exhibicionismo,4,0.045454545454545456
adulto,3,0.03409090909090909
sentir,3,0.03409090909090909
proceso,2,0.022727272727272728
objetivo,2,0.022727272727272728
familia,2,0.022727272727272728
legal,2,0.022727272727272728
atraer,2,0.022727272727272728
incesto,2,0.022727272727272728
específico,1,0.011363636363636364
acercar,1,0.011363636363636364
deber,1,0.011363636363636364
responder,1,0.011363636363636364
sexual,1,0.011363636363636364
relacionar,1,0.011363636363636364
grupo,1,0.011363636363636364
voluntario,1,0.011363636363636364
dirigir,1,0.011363636363636364
lugar,1,0.011363636363636364
mostrar,1,0.011363636363636364
utilizar,1,0.011363636363636364
fantasía_sexual,1,0.011363636363636364
relación_sexual,1,0.011363636363636364
atracción,1,0.011363636363636364
relación,1,0.011363636363636364
edad,1,0.011363636363636364
persona,1,0.011363636363636364
identificar,1,0.011363636363636364
elegir,1,0.011363636363636364
generalmente,1,0.011363636363636364
conducta,1,0.011363636363636364
comunidad,1,0.011363636363636364
deseo,1,0.011363636363636364
mujer,1,0.011363636363636364
fuerza,1,0.011363636363636364
impulso,1,0.011363636363636364
fantasía,1,0.011363636363636364
padre,1,0.011363636363636364
incestuoso,1,0.011363636363636364
hombre,1,0.011363636363636364
motivo,1,0.011363636363636364
cambiar,1,0.011363636363636364
varón,1,0.011363636363636364
madre,1,0.011363636363636364
plazo,1,0.011363636363636364
preocupar,1,0.011363636363636364
solicitar,1,0.011363636363636364
tratamiento,1,0.011363636363636364
víctima,1,0.011363636363636364
genitales,1,0.011363636363636364
sorpresa,1,0.011363636363636364
excitar,1,0.011363636363636364
consecuente,1,0.011363636363636364
angustiar,1,0.011363636363636364
fantasear,1,0.011363636363636364
representante,1,0.011363636363636364
delito,1,0.011363636363636364
intensamente,1,0.011363636363636364
coerción,1,0.011363636363636364
temer,1,0.011363636363636364
ninas,1,0.011363636363636364
abusar,1,0.011363636363636364
pedofilia,1,0.011363636363636364
detención,1,0.011363636363636364
encarcelación,1,0.011363636363636364
extranos,1,0.011363636363636364
castrar,1,0.011363636363636364
