Respuesta,Frecuencia,Asociación
presentar,2,0.030303030303030304
caso,2,0.030303030303030304
mujer,2,0.030303030303030304
dolor,2,0.030303030303030304
descarga,2,0.030303030303030304
menstruación,2,0.030303030303030304
síntoma,2,0.030303030303030304
disuria,2,0.030303030303030304
dispareunia,2,0.030303030303030304
acompañante,2,0.030303030303030304
metrorragia,2,0.030303030303030304
seguir,1,0.015151515151515152
tipo,1,0.015151515151515152
1,1,0.015151515151515152
consistir,1,0.015151515151515152
cuerpo,1,0.015151515151515152
respuesta,1,0.015151515151515152
orgasmo,1,0.015151515151515152
femenino,1,0.015151515151515152
enfermedad,1,0.015151515151515152
frecuente,1,0.015151515151515152
definitivo,1,0.015151515151515152
menor,1,0.015151515151515152
extender,1,0.015151515151515152
genital,1,0.015151515151515152
resto,1,0.015151515151515152
corroborar,1,0.015151515151515152
contracción,1,0.015151515151515152
constante,1,0.015151515151515152
relativamente,1,0.015151515151515152
organismo,1,0.015151515151515152
parto,1,0.015151515151515152
vaginal,1,0.015151515151515152
útero,1,0.015151515151515152
irradiación,1,0.015151515151515152
náusea,1,0.015151515151515152
clítoris,1,0.015151515151515152
soler,1,0.015151515151515152
sensibilidad,1,0.015151515151515152
intensidad,1,0.015151515151515152
572,1,0.015151515151515152
vomitar,1,0.015151515151515152
líquido,1,0.015151515151515152
pélvico,1,0.015151515151515152
ocasionalmente,1,0.015151515151515152
fiebre,1,0.015151515151515152
calor,1,0.015151515151515152
acompanarse,1,0.015151515151515152
emisión,1,0.015151515151515152
clitoriano,1,0.015151515151515152
mixto,1,0.015151515151515152
inflamatorio,1,0.015151515151515152
epi,1,0.015151515151515152
571,1,0.015151515151515152
sospechoso,1,0.015151515151515152
