Respuesta,Frecuencia,Asociación
cambio,2,0.025974025974025976
mujer,2,0.025974025974025976
vagina,2,0.025974025974025976
ocasión,2,0.025974025974025976
prepucio,2,0.025974025974025976
surco,2,0.025974025974025976
balanoprepucial,2,0.025974025974025976
cérvix,2,0.025974025974025976
ejercicio,1,0.012987012987012988
relacionar,1,0.012987012987012988
establecer,1,0.012987012987012988
estructura,1,0.012987012987012988
cuerpo,1,0.012987012987012988
respuesta,1,0.012987012987012988
anal,1,0.012987012987012988
llamar,1,0.012987012987012988
menor,1,0.012987012987012988
regular,1,0.012987012987012988
clínico,1,0.012987012987012988
fuerza,1,0.012987012987012988
formar,1,0.012987012987012988
virgen,1,0.012987012987012988
diagnóstico,1,0.012987012987012988
situar,1,0.012987012987012988
acompañar,1,0.012987012987012988
evidente,1,0.012987012987012988
atención,1,0.012987012987012988
presencia,1,0.012987012987012988
vista,1,0.012987012987012988
discreto,1,0.012987012987012988
interno,1,0.012987012987012988
doloroso,1,0.012987012987012988
margen,1,0.012987012987012988
vaginal,1,0.012987012987012988
alteración,1,0.012987012987012988
pérdida,1,0.012987012987012988
labio,1,0.012987012987012988
genitales,1,0.012987012987012988
paciente,1,0.012987012987012988
edema,1,0.012987012987012988
exploración,1,0.012987012987012988
manifiesto,1,0.012987012987012988
lesión,1,0.012987012987012988
local,1,0.012987012987012988
tacto,1,0.012987012987012988
glande,1,0.012987012987012988
tono,1,0.012987012987012988
asintomático,1,0.012987012987012988
particularmente,1,0.012987012987012988
músculo,1,0.012987012987012988
himen,1,0.012987012987012988
diferir,1,0.012987012987012988
tumoración,1,0.012987012987012988
abombamiento,1,0.012987012987012988
imperforado,1,0.012987012987012988
inspección,1,0.012987012987012988
coloración,1,0.012987012987012988
eritema,1,0.012987012987012988
eyaculatorio,1,0.012987012987012988
muscular,1,0.012987012987012988
predecir,1,0.012987012987012988
expulsiva,1,0.012987012987012988
frenillo,1,0.012987012987012988
signología,1,0.012987012987012988
introito,1,0.012987012987012988
leucorrea,1,0.012987012987012988
recto,1,0.012987012987012988
labio_mayor,1,0.012987012987012988
placa,1,0.012987012987012988
