Respuesta,Frecuencia,Asociación
básico,1,0.05263157894736842
principio,1,0.05263157894736842
mencionar,1,0.05263157894736842
grupo,1,0.05263157894736842
lugar,1,0.05263157894736842
consistir,1,0.05263157894736842
relativo,1,0.05263157894736842
investigar,1,0.05263157894736842
escuchar,1,0.05263157894736842
parecer,1,0.05263157894736842
baile,1,0.05263157894736842
moda,1,0.05263157894736842
reggeaton,1,0.05263157894736842
chacalonero,1,0.05263157894736842
cantante,1,0.05263157894736842
canción,1,0.05263157894736842
valer,1,0.05263157894736842
script,1,0.05263157894736842
instrucción,1,0.05263157894736842
