Respuesta,Frecuencia,Asociación
año,17,0.009028146574614976
edad,17,0.009028146574614976
pareja,16,0.008497079129049389
1,13,0.006903876792352629
mujer,11,0.005841741901221455
relación,9,0.004779607010090282
unión,9,0.004779607010090282
unir,9,0.004779607010090282
grupo,8,0.004248539564524694
análisis,8,0.004248539564524694
histórico,8,0.004248539564524694
intervalo,8,0.004248539564524694
desarrollo,7,0.0037174721189591076
siglo,7,0.0037174721189591076
hijo,7,0.0037174721189591076
sexual,6,0.003186404673393521
presentar,6,0.003186404673393521
diferencia,6,0.003186404673393521
cambio,6,0.003186404673393521
iniciar,6,0.003186404673393521
parecer,6,0.003186404673393521
duración,6,0.003186404673393521
momento,5,0.0026553372278279343
3,5,0.0026553372278279343
número,5,0.0026553372278279343
caso,5,0.0026553372278279343
individuo,5,0.0026553372278279343
do,5,0.0026553372278279343
menor,5,0.0026553372278279343
reducir,5,0.0026553372278279343
fecundidad,5,0.0026553372278279343
intergenésico,5,0.0026553372278279343
parto,5,0.0026553372278279343
deber,4,0.002124269782262347
salud,4,0.002124269782262347
central,4,0.002124269782262347
estudio,4,0.002124269782262347
etapa,4,0.002124269782262347
2,4,0.002124269782262347
registro,4,0.002124269782262347
nivel,4,0.002124269782262347
distinto,4,0.002124269782262347
reconocer,4,0.002124269782262347
condición,4,0.002124269782262347
inicio,4,0.002124269782262347
nacer,4,0.002124269782262347
respuesta_sexual,4,0.002124269782262347
personalidad,4,0.002124269782262347
década,4,0.002124269782262347
negro,4,0.002124269782262347
capaz,4,0.002124269782262347
sida,4,0.002124269782262347
historia,4,0.002124269782262347
mediano,4,0.002124269782262347
mes,4,0.002124269782262347
matrimonio,4,0.002124269782262347
atención,4,0.002124269782262347
explicar,3,0.0015932023366967605
proceso,3,0.0015932023366967605
base,3,0.0015932023366967605
método,3,0.0015932023366967605
encontrar,3,0.0015932023366967605
cultural,3,0.0015932023366967605
población,3,0.0015932023366967605
existir,3,0.0015932023366967605
información,3,0.0015932023366967605
forma,3,0.0015932023366967605
factor,3,0.0015932023366967605
constituir,3,0.0015932023366967605
organización,3,0.0015932023366967605
investigación,3,0.0015932023366967605
crear,3,0.0015932023366967605
mínimo,3,0.0015932023366967605
dato,3,0.0015932023366967605
punto,3,0.0015932023366967605
asegurar,3,0.0015932023366967605
llegar,3,0.0015932023366967605
autor,3,0.0015932023366967605
contenido,3,0.0015932023366967605
comprender,3,0.0015932023366967605
coito,3,0.0015932023366967605
tiempo,3,0.0015932023366967605
posibilidad,3,0.0015932023366967605
persona,3,0.0015932023366967605
porcentaje,3,0.0015932023366967605
determinar,3,0.0015932023366967605
importancia,3,0.0015932023366967605
consecuencia,3,0.0015932023366967605
situación,3,0.0015932023366967605
embarazo,3,0.0015932023366967605
aumentar,3,0.0015932023366967605
experiencia,3,0.0015932023366967605
considerar,3,0.0015932023366967605
8,3,0.0015932023366967605
10,3,0.0015932023366967605
cifra,3,0.0015932023366967605
sexo,3,0.0015932023366967605
homosexualidad,3,0.0015932023366967605
vida,3,0.0015932023366967605
op,3,0.0015932023366967605
cit,3,0.0015932023366967605
efecto,3,0.0015932023366967605
tratamiento,3,0.0015932023366967605
6,3,0.0015932023366967605
refractario,3,0.0015932023366967605
comenzar,3,0.0015932023366967605
1995,3,0.0015932023366967605
precisamente,3,0.0015932023366967605
colonial,3,0.0015932023366967605
bautismo,3,0.0015932023366967605
frecuencia,3,0.0015932023366967605
prolongar,3,0.0015932023366967605
ocurrir,3,0.0015932023366967605
transición,3,0.0015932023366967605
atravesar,3,0.0015932023366967605
gay,3,0.0015932023366967605
epidemia,3,0.0015932023366967605
cohorte,3,0.0015932023366967605
35,3,0.0015932023366967605
ligue,3,0.0015932023366967605
institucionalización,3,0.0015932023366967605
hombre,3,0.0015932023366967605
revolución,3,0.0015932023366967605
relativamente,3,0.0015932023366967605
1970,3,0.0015932023366967605
señalar,3,0.0015932023366967605
tendencia,3,0.0015932023366967605
cuadro,3,0.0015932023366967605
1980,3,0.0015932023366967605
1989,3,0.0015932023366967605
descenso,3,0.0015932023366967605
alcanzar,3,0.0015932023366967605
sesenta,3,0.0015932023366967605
envejecimiento,3,0.0015932023366967605
alteración,3,0.0015932023366967605
artículo,2,0.0010621348911311736
trabajo,2,0.0010621348911311736
término,2,0.0010621348911311736
méxico,2,0.0010621348911311736
internet,2,0.0010621348911311736
problema,2,0.0010621348911311736
diverso,2,0.0010621348911311736
contar,2,0.0010621348911311736
recurso,2,0.0010621348911311736
integración,2,0.0010621348911311736
permitir,2,0.0010621348911311736
común,2,0.0010621348911311736
necesario,2,0.0010621348911311736
mayoría,2,0.0010621348911311736
estructurar,2,0.0010621348911311736
actual,2,0.0010621348911311736
impacto,2,0.0010621348911311736
mexicano,2,0.0010621348911311736
riesgo,2,0.0010621348911311736
relacionar,2,0.0010621348911311736
mencionar,2,0.0010621348911311736
cabo,2,0.0010621348911311736
proporcionar,2,0.0010621348911311736
público,2,0.0010621348911311736
lugar,2,0.0010621348911311736
contexto,2,0.0010621348911311736
joven,2,0.0010621348911311736
secundario,2,0.0010621348911311736
adulto,2,0.0010621348911311736
adicional,2,0.0010621348911311736
casa,2,0.0010621348911311736
distribución,2,0.0010621348911311736
libre,2,0.0010621348911311736
efectivo,2,0.0010621348911311736
implicar,2,0.0010621348911311736
tamaño,2,0.0010621348911311736
género,2,0.0010621348911311736
referente,2,0.0010621348911311736
4,2,0.0010621348911311736
