Respuesta,Frecuencia,Asociación
niño,3,0.031578947368421054
identificar,2,0.021052631578947368
treponema,2,0.021052631578947368
pallidum,2,0.021052631578947368
cordón,2,0.021052631578947368
umbilical,2,0.021052631578947368
necropsia,2,0.021052631578947368
determinación,1,0.010526315789473684
conocimiento,1,0.010526315789473684
permitir,1,0.010526315789473684
acción,1,0.010526315789473684
grupo,1,0.010526315789473684
desarrollo,1,0.010526315789473684
central,1,0.010526315789473684
momento,1,0.010526315789473684
carácter,1,0.010526315789473684
pasar,1,0.010526315789473684
caso,1,0.010526315789473684
origen,1,0.010526315789473684
desarrollar,1,0.010526315789473684
campo,1,0.010526315789473684
resultado,1,0.010526315789473684
producir,1,0.010526315789473684
aborto,1,0.010526315789473684
20,1,0.010526315789473684
sexo,1,0.010526315789473684
clínico,1,0.010526315789473684
nacer,1,0.010526315789473684
período,1,0.010526315789473684
concebir,1,0.010526315789473684
rodear,1,0.010526315789473684
interno,1,0.010526315789473684
madre,1,0.010526315789473684
similar,1,0.010526315789473684
criatura,1,0.010526315789473684
interrumpir,1,0.010526315789473684
ocurrir,1,0.010526315789473684
provocar,1,0.010526315789473684
feto,1,0.010526315789473684
anular,1,0.010526315789473684
materno,1,0.010526315789473684
sustancia,1,0.010526315789473684
bloquear,1,0.010526315789473684
progesterona,1,0.010526315789473684
dosis,1,0.010526315789473684
prostaglandina,1,0.010526315789473684
estimular,1,0.010526315789473684
contracción,1,0.010526315789473684
uterino,1,0.010526315789473684
salida,1,0.010526315789473684
tejido,1,0.010526315789473684
embrionario,1,0.010526315789473684
cavidad,1,0.010526315789473684
blastocele,1,0.010526315789473684
masa,1,0.010526315789473684
celular,1,0.010526315789473684
externo,1,0.010526315789473684
trofoblasto,1,0.010526315789473684
trofoectodermo,1,0.010526315789473684
membrana,1,0.010526315789473684
extraembrionarias,1,0.010526315789473684
embrioblasto,1,0.010526315789473684
30,1,0.010526315789473684
manifestación,1,0.010526315789473684
sífilis,1,0.010526315789473684
congénito,1,0.010526315789473684
lesión,1,0.010526315789473684
545914,1,0.010526315789473684
sifilítico,1,0.010526315789473684
parto,1,0.010526315789473684
igm,1,0.010526315789473684
obscuro,1,0.010526315789473684
if,1,0.010526315789473684
545944,1,0.010526315789473684
antecedente,1,0.010526315789473684
vdrl,1,0.010526315789473684
ftaabs,1,0.010526315789473684
mhatp,1,0.010526315789473684
causante,1,0.010526315789473684
masculinización,1,0.010526315789473684
ínfimo,1,0.010526315789473684
adn,1,0.010526315789473684
fetal,1,0.010526315789473684
torrente,1,0.010526315789473684
sanguíneo,1,0.010526315789473684
invasivo,1,0.010526315789473684
fecha,1,0.010526315789473684
