Respuesta,Frecuencia,Asociación
sexual,5,0.012254901960784314
desarrollo,3,0.007352941176470588
derecho,3,0.007352941176470588
mujer,3,0.007352941176470588
comenzar,3,0.007352941176470588
integral,3,0.007352941176470588
sexualidad,2,0.004901960784313725
problema,2,0.004901960784313725
definición,2,0.004901960784313725
diverso,2,0.004901960784313725
humano,2,0.004901960784313725
recurso,2,0.004901960784313725
año,2,0.004901960784313725
finalidad,2,0.004901960784313725
cuyo,2,0.004901960784313725
punto,2,0.004901960784313725
implicar,2,0.004901960784313725
búsqueda,2,0.004901960784313725
integrar,2,0.004901960784313725
cuerpo,2,0.004901960784313725
control,2,0.004901960784313725
expresión,2,0.004901960784313725
orgasmo,2,0.004901960784313725
familia,2,0.004901960784313725
sociedad,2,0.004901960784313725
opción,2,0.004901960784313725
condición,2,0.004901960784313725
pauta,2,0.004901960784313725
ende,2,0.004901960784313725
conducta,2,0.004901960784313725
experiencia,2,0.004901960784313725
concepción,2,0.004901960784313725
ampliar,2,0.004901960784313725
considerar,2,0.004901960784313725
cerca,2,0.004901960784313725
2007,2,0.004901960784313725
exclusivamente,2,0.004901960784313725
sexo,2,0.004901960784313725
únicamente,2,0.004901960784313725
reproductivo,2,0.004901960784313725
generar,2,0.004901960784313725
compañero,2,0.004901960784313725
contracción,2,0.004901960784313725
conflicto,2,0.004901960784313725
cantar,2,0.004901960784313725
hallazgo,2,0.004901960784313725
universitario,2,0.004901960784313725
procreación,2,0.004901960784313725
harina,2,0.004901960784313725
costal,2,0.004901960784313725
comparar,2,0.004901960784313725
mamá,2,0.004901960784313725
componente,2,0.004901960784313725
alterno,2,0.004901960784313725
repertorio,2,0.004901960784313725
adaptabilidad,2,0.004901960784313725
concordancia,2,0.004901960784313725
cajiao,2,0.004901960784313725
abuelo,2,0.004901960784313725
explicar,1,0.0024509803921568627
método,1,0.0024509803921568627
perspectiva,1,0.0024509803921568627
encontrar,1,0.0024509803921568627
aunar,1,0.0024509803921568627
elemento,1,0.0024509803921568627
social,1,0.0024509803921568627
país,1,0.0024509803921568627
permitir,1,0.0024509803921568627
común,1,0.0024509803921568627
deber,1,0.0024509803921568627
barrera,1,0.0024509803921568627
población,1,0.0024509803921568627
general,1,0.0024509803921568627
