Respuesta,Frecuencia,Asociación
sexual,33,0.012318029115341545
sexualidad,25,0.00933184023889511
mujer,24,0.008958566629339306
forma,16,0.0059723777528928705
deseo,14,0.005225830533781261
cuerpo,13,0.0048525569242254575
imagen,13,0.0048525569242254575
estudio,11,0.004106009705113848
objeto,11,0.004106009705113848
orgasmo,11,0.004106009705113848
erótico,11,0.004106009705113848
goce,11,0.004106009705113848
sujeto,10,0.003732736095558044
persona,10,0.003732736095558044
sexo,10,0.003732736095558044
erotismo,10,0.003732736095558044
hombre,10,0.003732736095558044
relacionar,9,0.0033594624860022394
femenino,9,0.0033594624860022394
vida,9,0.0033594624860022394
provocar,9,0.0033594624860022394
pornografía,9,0.0033594624860022394
existir,8,0.0029861888764464353
factor,8,0.0029861888764464353
llegar,8,0.0029861888764464353
fantasía,8,0.0029861888764464353
vivir,7,0.0026129152668906306
relación,7,0.0026129152668906306
práctica,7,0.0026129152668906306
individuo,7,0.0026129152668906306
humano,6,0.0022396416573348264
encontrar,6,0.0022396416573348264
principio,6,0.0022396416573348264
social,6,0.0022396416573348264
proporcionar,6,0.0022396416573348264
corporal,6,0.0022396416573348264
experiencia,6,0.0022396416573348264
naturaleza,6,0.0022396416573348264
satisfacción,6,0.0022396416573348264
deber,5,0.001866368047779022
salud,5,0.001866368047779022
buscar,5,0.001866368047779022
mostrar,5,0.001866368047779022
liberar,5,0.001866368047779022
pareja,5,0.001866368047779022
penetración,5,0.001866368047779022
derecho,5,0.001866368047779022
expresar,5,0.001866368047779022
centro,5,0.001866368047779022
sentir,5,0.001866368047779022
procreación,5,0.001866368047779022
negar,5,0.001866368047779022
profesional,5,0.001866368047779022
cliente,5,0.001866368047779022
etcétera,4,0.0014930944382232176
comunicación,4,0.0014930944382232176
necesario,4,0.0014930944382232176
meta,4,0.0014930944382232176
cuyo,4,0.0014930944382232176
abrir,4,0.0014930944382232176
carácter,4,0.0014930944382232176
obtener,4,0.0014930944382232176
describir,4,0.0014930944382232176
dividir,4,0.0014930944382232176
incluir,4,0.0014930944382232176
anal,4,0.0014930944382232176
reconocer,4,0.0014930944382232176
existencia,4,0.0014930944382232176
infantil,4,0.0014930944382232176
pornográfico,4,0.0014930944382232176
dejar,4,0.0014930944382232176
mano,4,0.0014930944382232176
dolor,4,0.0014930944382232176
involucrar,4,0.0014930944382232176
único,4,0.0014930944382232176
reproducción,4,0.0014930944382232176
6,4,0.0014930944382232176
violencia,4,0.0014930944382232176
asociar,4,0.0014930944382232176
freud,4,0.0014930944382232176
sentimiento,4,0.0014930944382232176
determinar,4,0.0014930944382232176
observar,4,0.0014930944382232176
masculino,4,0.0014930944382232176
conducta,4,0.0014930944382232176
excitación,4,0.0014930944382232176
efecto,4,0.0014930944382232176
llamar,4,0.0014930944382232176
2007,4,0.0014930944382232176
romi,4,0.0014930944382232176
cualitativo,4,0.0014930944382232176
deformación,4,0.0014930944382232176
sexo_oral,4,0.0014930944382232176
7,4,0.0014930944382232176
favorecer,4,0.0014930944382232176
fatalidad,4,0.0014930944382232176
fotográfico,4,0.0014930944382232176
reiterar,4,0.0014930944382232176
sadismo,4,0.0014930944382232176
término,3,0.0011198208286674132
palabra,3,0.0011198208286674132
diverso,3,0.0011198208286674132
perspectiva,3,0.0011198208286674132
suponer,3,0.0011198208286674132
ejercicio,3,0.0011198208286674132
propuesta,3,0.0011198208286674132
educación_sexual,3,0.0011198208286674132
riesgo,3,0.0011198208286674132
constituir,3,0.0011198208286674132
grupo,3,0.0011198208286674132
desarrollo,3,0.0011198208286674132
ciencia,3,0.0011198208286674132
modelo,3,0.0011198208286674132
requerir,3,0.0011198208286674132
1,3,0.0011198208286674132
implicar,3,0.0011198208286674132
búsqueda,3,0.0011198208286674132
4,3,0.0011198208286674132
diversidad,3,0.0011198208286674132
tomar,3,0.0011198208286674132
biológico,3,0.0011198208286674132
rol,3,0.0011198208286674132
tabú,3,0.0011198208286674132
sociedad,3,0.0011198208286674132
adolescente,3,0.0011198208286674132
médico,3,0.0011198208286674132
función,3,0.0011198208286674132
escritura,3,0.0011198208286674132
vivencia,3,0.0011198208286674132
amor,3,0.0011198208286674132
mundo,3,0.0011198208286674132
homosexual,3,0.0011198208286674132
responsabilidad,3,0.0011198208286674132
personal,3,0.0011198208286674132
compartir,3,0.0011198208286674132
reproductivo,3,0.0011198208286674132
varón,3,0.0011198208286674132
hábito,3,0.0011198208286674132
vaginal,3,0.0011198208286674132
afirmar,3,0.0011198208286674132
foucault,3,0.0011198208286674132
dimensión,3,0.0011198208286674132
especial,3,0.0011198208286674132
nacimiento,3,0.0011198208286674132
padre,3,0.0011198208286674132
embarazo,3,0.0011198208286674132
edad,3,0.0011198208286674132
creencia,3,0.0011198208286674132
estímulo,3,0.0011198208286674132
entender,3,0.0011198208286674132
fisiología,3,0.0011198208286674132
percibir,3,0.0011198208286674132
categoría,3,0.0011198208286674132
transgresión,3,0.0011198208286674132
señalar,3,0.0011198208286674132
perder,3,0.0011198208286674132
signo,3,0.0011198208286674132
admitir,3,0.0011198208286674132
tardío,3,0.0011198208286674132
fuerza,3,0.0011198208286674132
valor,3,0.0011198208286674132
participante,3,0.0011198208286674132
disfrute,3,0.0011198208286674132
reportar,3,0.0011198208286674132
desear,3,0.0011198208286674132
espacio,3,0.0011198208286674132
muerte,3,0.0011198208286674132
reacción,3,0.0011198208286674132
1996,3,0.0011198208286674132
producir,3,0.0011198208286674132
íntimo,3,0.0011198208286674132
1993,3,0.0011198208286674132
porno,3,0.0011198208286674132
exceso,3,0.0011198208286674132
acto_sexual,3,0.0011198208286674132
religioso,3,0.0011198208286674132
enfrentar,3,0.0011198208286674132
sangre,3,0.0011198208286674132
acto,3,0.0011198208286674132
incansablemente,3,0.0011198208286674132
crudo,3,0.0011198208286674132
proponer,2,0.0007465472191116088
lenguaje,2,0.0007465472191116088
pretender,2,0.0007465472191116088
seguir,2,0.0007465472191116088
material,2,0.0007465472191116088
proyecto,2,0.0007465472191116088
orientar,2,0.0007465472191116088
basar,2,0.0007465472191116088
intentar,2,0.0007465472191116088
problema,2,0.0007465472191116088
específico,2,0.0007465472191116088
tema,2,0.0007465472191116088
elemento,2,0.0007465472191116088
cultural,2,0.0007465472191116088
facilitar,2,0.0007465472191116088
criterio,2,0.0007465472191116088
actual,2,0.0007465472191116088
necesidad,2,0.0007465472191116088
programa,2,0.0007465472191116088
educación,2,0.0007465472191116088
caer,2,0.0007465472191116088
ámbito,2,0.0007465472191116088
organización,2,0.0007465472191116088
mundial,2,0.0007465472191116088
acción,2,0.0007465472191116088
salud_sexual,2,0.0007465472191116088
investigación,2,0.0007465472191116088
año,2,0.0007465472191116088
2004,2,0.0007465472191116088
etapa,2,0.0007465472191116088
obtención,2,0.0007465472191116088
momento,2,0.0007465472191116088
principal,2,0.0007465472191116088
público,2,0.0007465472191116088
superar,2,0.0007465472191116088
componer,2,0.0007465472191116088
presente,2,0.0007465472191116088
ocurrencia,2,0.0007465472191116088
dato,2,0.0007465472191116088
resultar,2,0.0007465472191116088
tipo,2,0.0007465472191116088
estudiante,2,0.0007465472191116088
adulto,2,0.0007465472191116088
finalmente,2,0.0007465472191116088
papel,2,0.0007465472191116088
libre,2,0.0007465472191116088
clasificación,2,0.0007465472191116088
denominar,2,0.0007465472191116088
nombre,2,0.0007465472191116088
atractivo,2,0.0007465472191116088
hallar,2,0.0007465472191116088
rasgo,2,0.0007465472191116088
posterior,2,0.0007465472191116088
derivar,2,0.0007465472191116088
registro,2,0.0007465472191116088
completo,2,0.0007465472191116088
ligar,2,0.0007465472191116088
caso,2,0.0007465472191116088
nivel,2,0.0007465472191116088
comprender,2,0.0007465472191116088
expresión,2,0.0007465472191116088
masturbación,2,0.0007465472191116088
estimulación,2,0.0007465472191116088
coito,2,0.0007465472191116088
experimentación,2,0.0007465472191116088
instinto,2,0.0007465472191116088
únicamente,2,0.0007465472191116088
inicial,2,0.0007465472191116088
preferir,2,0.0007465472191116088
disfrutar,2,0.0007465472191116088
consecuencia,2,0.0007465472191116088
sensación,2,0.0007465472191116088
confianza,2,0.0007465472191116088
embarazar,2,0.0007465472191116088
píldora,2,0.0007465472191116088
bajar,2,0.0007465472191116088
regla,2,0.0007465472191116088
337,2,0.0007465472191116088
ovario,2,0.0007465472191116088
71,2,0.0007465472191116088
método_anticonceptivo,2,0.0007465472191116088
849,2,0.0007465472191116088
ítem,2,0.0007465472191116088
escala,2,0.0007465472191116088
notable,2,0.0007465472191116088
real,2,0.0007465472191116088
condición,2,0.0007465472191116088
fuerte,2,0.0007465472191116088
allá,2,0.0007465472191116088
dominio,2,0.0007465472191116088
sistema,2,0.0007465472191116088
reciprocidad,2,0.0007465472191116088
profundizar,2,0.0007465472191116088
vivamente,2,0.0007465472191116088
mero,2,0.0007465472191116088
jugar,2,0.0007465472191116088
ficción,2,0.0007465472191116088
marqués,2,0.0007465472191116088
sade,2,0.0007465472191116088
analizar,2,0.0007465472191116088
elección,2,0.0007465472191116088
familia,2,0.0007465472191116088
cambio,2,0.0007465472191116088
iniciativa,2,0.0007465472191116088
promover,2,0.0007465472191116088
materia,2,0.0007465472191116088
intimidad,2,0.0007465472191116088
gestar,2,0.0007465472191116088
