Respuesta,Frecuencia,Asociación
deber,2,0.0273972602739726
general,2,0.0273972602739726
educación,2,0.0273972602739726
salud,2,0.0273972602739726
individuo,2,0.0273972602739726
servicio,2,0.0273972602739726
derecho,2,0.0273972602739726
marco,2,0.0273972602739726
paternidad,2,0.0273972602739726
orientar,1,0.0136986301369863
encontrar,1,0.0136986301369863
población,1,0.0136986301369863
información,1,0.0136986301369863
impacto,1,0.0136986301369863
mexicano,1,0.0136986301369863
programa,1,0.0136986301369863
educación_sexual,1,0.0136986301369863
crear,1,0.0136986301369863
estudio,1,0.0136986301369863
público,1,0.0136986301369863
joven,1,0.0136986301369863
establecer,1,0.0136986301369863
incluir,1,0.0136986301369863
desarrollar,1,0.0136986301369863
educativo,1,0.0136986301369863
ofrecer,1,0.0136986301369863
determinar,1,0.0136986301369863
llamar,1,0.0136986301369863
actitud,1,0.0136986301369863
curso,1,0.0136986301369863
responsable,1,0.0136986301369863
gente,1,0.0136986301369863
ley,1,0.0136986301369863
fundamental,1,0.0136986301369863
legislativo,1,0.0136986301369863
disposición,1,0.0136986301369863
atención,1,0.0136986301369863
conciencia,1,0.0136986301369863
libertad,1,0.0136986301369863
jurídico,1,0.0136986301369863
respeto,1,0.0136986301369863
secretaría,1,0.0136986301369863
carta,1,0.0136986301369863
protección,1,0.0136986301369863
1995,1,0.0136986301369863
federal,1,0.0136986301369863
fundación,1,0.0136986301369863
vigilar,1,0.0136986301369863
dignidad,1,0.0136986301369863
preservar,1,0.0136986301369863
verificar,1,0.0136986301369863
prejuicio,1,0.0136986301369863
solidario,1,0.0136986301369863
fanatismo,1,0.0136986301369863
preservación,1,0.0136986301369863
concordancia,1,0.0136986301369863
aguilar,1,0.0136986301369863
botello,1,0.0136986301369863
años20,1,0.0136986301369863
espectacular,1,0.0136986301369863
tpizzonia,1,0.0136986301369863
responsable24,1,0.0136986301369863
gobernación,1,0.0136986301369863
magno,1,0.0136986301369863
