Respuesta,Frecuencia,Asociación
adolescente,7,0.013725490196078431
programa,6,0.011764705882352941
educación_sexual,5,0.00980392156862745
relación_sexual,5,0.00980392156862745
recibir,5,0.00980392156862745
humano,4,0.00784313725490196
información,3,0.0058823529411764705
riesgo,3,0.0058823529411764705
joven,3,0.0058823529411764705
mostrar,3,0.0058823529411764705
desarrollar,3,0.0058823529411764705
embarazo,3,0.0058823529411764705
método_anticonceptivo,3,0.0058823529411764705
enfoque,3,0.0058823529411764705
vida,3,0.0058823529411764705
varón,3,0.0058823529411764705
sexualidad,2,0.00392156862745098
comunicación,2,0.00392156862745098
existir,2,0.00392156862745098
forma,2,0.00392156862745098
salud,2,0.00392156862745098
2000,2,0.00392156862745098
acción,2,0.00392156862745098
fuente,2,0.00392156862745098
herramienta,2,0.00392156862745098
presentar,2,0.00392156862745098
importante,2,0.00392156862745098
realidad,2,0.00392156862745098
representar,2,0.00392156862745098
orgasmo,2,0.00392156862745098
sujeto,2,0.00392156862745098
habilidad,2,0.00392156862745098
escuela,2,0.00392156862745098
posibilidad,2,0.00392156862745098
alto,2,0.00392156862745098
campo,2,0.00392156862745098
ejemplo,2,0.00392156862745098
desear,2,0.00392156862745098
adolescencia,2,0.00392156862745098
encuesta,2,0.00392156862745098
aborto,2,0.00392156862745098
inicio,2,0.00392156862745098
científico,2,0.00392156862745098
fuerte,2,0.00392156862745098
casar,2,0.00392156862745098
hombre,2,0.00392156862745098
participante,2,0.00392156862745098
embarazar,2,0.00392156862745098
interrumpir,2,0.00392156862745098
anticonceptivo,2,0.00392156862745098
condón,2,0.00392156862745098
emocional,2,0.00392156862745098
ausencia,2,0.00392156862745098
30,2,0.00392156862745098
hallazgo,2,0.00392156862745098
espacio,2,0.00392156862745098
culpa,2,0.00392156862745098
planeación,2,0.00392156862745098
carga,2,0.00392156862745098
evento,2,0.00392156862745098
proponer,1,0.00196078431372549
trabajo,1,0.00196078431372549
área,1,0.00196078431372549
méxico,1,0.00196078431372549
texto,1,0.00196078431372549
internet,1,0.00196078431372549
proceso,1,0.00196078431372549
base,1,0.00196078431372549
método,1,0.00196078431372549
tratar,1,0.00196078431372549
basar,1,0.00196078431372549
problema,1,0.00196078431372549
perspectiva,1,0.00196078431372549
tema,1,0.00196078431372549
encontrar,1,0.00196078431372549
elemento,1,0.00196078431372549
social,1,0.00196078431372549
conocimiento,1,0.00196078431372549
acercar,1,0.00196078431372549
país,1,0.00196078431372549
contar,1,0.00196078431372549
deber,1,0.00196078431372549
mayoría,1,0.00196078431372549
propuesta,1,0.00196078431372549
principalmente,1,0.00196078431372549
necesidad,1,0.00196078431372549
educación,1,0.00196078431372549
factor,1,0.00196078431372549
sexual,1,0.00196078431372549
constituir,1,0.00196078431372549
mundial,1,0.00196078431372549
buscar,1,0.00196078431372549
alternativa,1,0.00196078431372549
relacionar,1,0.00196078431372549
investigación,1,0.00196078431372549
grupo,1,0.00196078431372549
año,1,0.00196078431372549
tarea,1,0.00196078431372549
desarrollo,1,0.00196078431372549
nacional,1,0.00196078431372549
cabo,1,0.00196078431372549
crear,1,0.00196078431372549
estudio,1,0.00196078431372549
aplicación,1,0.00196078431372549
amplio,1,0.00196078431372549
proporcionar,1,0.00196078431372549
obtención,1,0.00196078431372549
cualquiera,1,0.00196078431372549
2,1,0.00196078431372549
dirigir,1,0.00196078431372549
contribuir,1,0.00196078431372549
público,1,0.00196078431372549
requerir,1,0.00196078431372549
dato,1,0.00196078431372549
obra,1,0.00196078431372549
énfasis,1,0.00196078431372549
