Respuesta,Frecuencia,Asociación
xx,2,0.034482758620689655
sexo,2,0.034482758620689655
explícito,2,0.034482758620689655
penthouse,2,0.034482758620689655
pornografía,2,0.034482758620689655
hardcore,2,0.034482758620689655
texto,1,0.017241379310344827
explicar,1,0.017241379310344827
país,1,0.017241379310344827
año,1,0.017241379310344827
cualquiera,1,0.017241379310344827
dirigir,1,0.017241379310344827
contener,1,0.017241379310344827
adulto,1,0.017241379310344827
publicación,1,0.017241379310344827
género,1,0.017241379310344827
formato,1,0.017241379310344827
completo,1,0.017241379310344827
actualmente,1,0.017241379310344827
incluir,1,0.017241379310344827
variante,1,0.017241379310344827
pareja,1,0.017241379310344827
asociar,1,0.017241379310344827
15,1,0.017241379310344827
siglo,1,0.017241379310344827
mujer,1,0.017241379310344827
película,1,0.017241379310344827
afirmar,1,0.017241379310344827
amigo,1,0.017241379310344827
acabar,1,0.017241379310344827
difundir,1,0.017241379310344827
directamente,1,0.017241379310344827
revista,1,0.017241379310344827
setenta,1,0.017241379310344827
literario,1,0.017241379310344827
argentino,1,0.017241379310344827
estilo,1,0.017241379310344827
consumar,1,0.017241379310344827
diversificar,1,0.017241379310344827
desnudo,1,0.017241379310344827
venus,1,0.017241379310344827
canal,1,0.017241379310344827
61,1,0.017241379310344827
fotográfico,1,0.017241379310344827
porno,1,0.017241379310344827
eróticaspornográficas,1,0.017241379310344827
soft,1,0.017241379310344827
magazín,1,0.017241379310344827
hustler,1,0.017241379310344827
gerente,1,0.017241379310344827
mediumcore,1,0.017241379310344827
xxx,1,0.017241379310344827
