Respuesta,Frecuencia,Asociación
diverso,2,0.05263157894736842
varón,2,0.05263157894736842
sexualidad,1,0.02631578947368421
cultural,1,0.02631578947368421
ejercicio,1,0.02631578947368421
sexual,1,0.02631578947368421
estudio,1,0.02631578947368421
2,1,0.02631578947368421
contexto,1,0.02631578947368421
casa,1,0.02631578947368421
denominar,1,0.02631578947368421
masculino,1,0.02631578947368421
relación,1,0.02631578947368421
infidelidad,1,0.02631578947368421
abuso,1,0.02631578947368421
referir,1,0.02631578947368421
frecuente,1,0.02631578947368421
variable,1,0.02631578947368421
cualitativo,1,0.02631578947368421
práctica,1,0.02631578947368421
real,1,0.02631578947368421
regulación,1,0.02631578947368421
entrevistar,1,0.02631578947368421
proporción,1,0.02631578947368421
presencia,1,0.02631578947368421
revisar,1,0.02631578947368421
antiguo,1,0.02631578947368421
violencia,1,0.02631578947368421
elevar,1,0.02631578947368421
parental,1,0.02631578947368421
inca,1,0.02631578947368421
recurrentemente,1,0.02631578947368421
sapa,1,0.02631578947368421
egipto,1,0.02631578947368421
tiwantisuyo,1,0.02631578947368421
incaico,1,0.02631578947368421
