Respuesta,Frecuencia,Asociación
pornografía,6,0.012371134020618556
mujer,5,0.010309278350515464
cine,5,0.010309278350515464
género,4,0.008247422680412371
criterio,3,0.006185567010309278
cualquiera,3,0.006185567010309278
caso,3,0.006185567010309278
cuerpo,3,0.006185567010309278
placer,3,0.006185567010309278
masculino,3,0.006185567010309278
venir,3,0.006185567010309278
sexo,3,0.006185567010309278
actriz,3,0.006185567010309278
factor,2,0.004123711340206186
sexual,2,0.004123711340206186
público,2,0.004123711340206186
lugar,2,0.004123711340206186
1,2,0.004123711340206186
objeto,2,0.004123711340206186
relación,2,0.004123711340206186
pareja,2,0.004123711340206186
textual,2,0.004123711340206186
ejemplo,2,0.004123711340206186
experiencia,2,0.004123711340206186
protagonista,2,0.004123711340206186
correr,2,0.004123711340206186
21,2,0.004123711340206186
20,2,0.004123711340206186
practicar,2,0.004123711340206186
tradicional,2,0.004123711340206186
película,2,0.004123711340206186
erótico,2,0.004123711340206186
334,2,0.004123711340206186
pene,2,0.004123711340206186
amigo,2,0.004123711340206186
surgir,2,0.004123711340206186
134,2,0.004123711340206186
interés,2,0.004123711340206186
protagonizar,2,0.004123711340206186
vincular,2,0.004123711340206186
0,2,0.004123711340206186
prostituta,2,0.004123711340206186
actor,2,0.004123711340206186
literario,2,0.004123711340206186
canon,2,0.004123711340206186
corporal,2,0.004123711340206186
pornográfico,2,0.004123711340206186
aludir,2,0.004123711340206186
prostitución,2,0.004123711340206186
resignificar,2,0.004123711340206186
griego,2,0.004123711340206186
cesar,2,0.004123711340206186
gráfica,2,0.004123711340206186
dramático,2,0.004123711340206186
316,2,0.004123711340206186
564,2,0.004123711340206186
prostituir,2,0.004123711340206186
772,2,0.004123711340206186
estrella,2,0.004123711340206186
180,2,0.004123711340206186
grafía,2,0.004123711340206186
grafia,2,0.004123711340206186
pornái,2,0.004123711340206186
pórnoi,2,0.004123711340206186
cicciolina,2,0.004123711340206186
cinematográfico,2,0.004123711340206186
filmografía,2,0.004123711340206186
annie,2,0.004123711340206186
performance,2,0.004123711340206186
hiperrealismo,2,0.004123711340206186
queers,2,0.004123711340206186
701,2,0.004123711340206186
767,2,0.004123711340206186
777,2,0.004123711340206186
sexualidad,1,0.002061855670103093
término,1,0.002061855670103093
orientar,1,0.002061855670103093
intentar,1,0.002061855670103093
problema,1,0.002061855670103093
diverso,1,0.002061855670103093
perspectiva,1,0.002061855670103093
elemento,1,0.002061855670103093
cultural,1,0.002061855670103093
país,1,0.002061855670103093
permitir,1,0.002061855670103093
deber,1,0.002061855670103093
general,1,0.002061855670103093
actual,1,0.002061855670103093
propuesta,1,0.002061855670103093
forma,1,0.002061855670103093
difusión,1,0.002061855670103093
riesgo,1,0.002061855670103093
buscar,1,0.002061855670103093
plan,1,0.002061855670103093
acción,1,0.002061855670103093
investigación,1,0.002061855670103093
año,1,0.002061855670103093
2004,1,0.002061855670103093
ciencia,1,0.002061855670103093
estudio,1,0.002061855670103093
amplio,1,0.002061855670103093
esquema,1,0.002061855670103093
momento,1,0.002061855670103093
cuyo,1,0.002061855670103093
objetivo,1,0.002061855670103093
componer,1,0.002061855670103093
definir,1,0.002061855670103093
carácter,1,0.002061855670103093
tipo,1,0.002061855670103093
joven,1,0.002061855670103093
adulto,1,0.002061855670103093
mostrar,1,0.002061855670103093
llegar,1,0.002061855670103093
implicar,1,0.002061855670103093
denominar,1,0.002061855670103093
asociación,1,0.002061855670103093
alcance,1,0.002061855670103093
complejo,1,0.002061855670103093
exponer,1,0.002061855670103093
tomar,1,0.002061855670103093
describir,1,0.002061855670103093
contenido,1,0.002061855670103093
actualmente,1,0.002061855670103093
estructura,1,0.002061855670103093
evitar,1,0.002061855670103093
femenino,1,0.002061855670103093
diferencia,1,0.002061855670103093
actividad,1,0.002061855670103093
clasificar,1,0.002061855670103093
incorporar,1,0.002061855670103093
posibilidad,1,0.002061855670103093
campo,1,0.002061855670103093
centro,1,0.002061855670103093
coincidir,1,0.002061855670103093
medida,1,0.002061855670103093
característica,1,0.002061855670103093
persona,1,0.002061855670103093
volver,1,0.002061855670103093
producción,1,0.002061855670103093
valor,1,0.002061855670103093
sistema,1,0.002061855670103093
2005,1,0.002061855670103093
mano,1,0.002061855670103093
costo,1,0.002061855670103093
adolescente,1,0.002061855670103093
aumentar,1,0.002061855670103093
devolver,1,0.002061855670103093
imagen,1,0.002061855670103093
producir,1,0.002061855670103093
convertir,1,0.002061855670103093
único,1,0.002061855670103093
hipótesis,1,0.002061855670103093
revisión,1,0.002061855670103093
15,1,0.002061855670103093
clase,1,0.002061855670103093
época,1,0.002061855670103093
homosexualidad,1,0.002061855670103093
deseo,1,0.002061855670103093
fantasía,1,0.002061855670103093
heterosexual,1,0.002061855670103093
regulación,1,0.002061855670103093
apropiar,1,0.002061855670103093
adaptar,1,0.002061855670103093
causa,1,0.002061855670103093
estricto,1,0.002061855670103093
variabilidad,1,0.002061855670103093
serie,1,0.002061855670103093
consumir,1,0.002061855670103093
representación,1,0.002061855670103093
hombre,1,0.002061855670103093
parecer,1,0.002061855670103093
vagina,1,0.002061855670103093
repetir,1,0.002061855670103093
mantener,1,0.002061855670103093
velo,1,0.002061855670103093
sexualmente,1,0.002061855670103093
práctico,1,0.002061855670103093
técnico,1,0.002061855670103093
mercado,1,0.002061855670103093
amor,1,0.002061855670103093
confesión,1,0.002061855670103093
2002,1,0.002061855670103093
frente,1,0.002061855670103093
afirmar,1,0.002061855670103093
implícito,1,0.002061855670103093
varón,1,0.002061855670103093
sorprender,1,0.002061855670103093
carecer,1,0.002061855670103093
figura,1,0.002061855670103093
vergüenza,1,0.002061855670103093
efecto,1,0.002061855670103093
señalar,1,0.002061855670103093
gracia,1,0.002061855670103093
obstante,1,0.002061855670103093
alcanzar,1,0.002061855670103093
repetición,1,0.002061855670103093
permanente,1,0.002061855670103093
realmente,1,0.002061855670103093
inmediato,1,0.002061855670103093
distancia,1,0.002061855670103093
pagar,1,0.002061855670103093
reproducir,1,0.002061855670103093
política,1,0.002061855670103093
ampliación,1,0.002061855670103093
visita,1,0.002061855670103093
especie,1,0.002061855670103093
censura,1,0.002061855670103093
desplazar,1,0.002061855670103093
postura,1,0.002061855670103093
adelanto,1,0.002061855670103093
fuertemente,1,0.002061855670103093
simple,1,0.002061855670103093
productor,1,0.002061855670103093
casero,1,0.002061855670103093
occidente,1,0.002061855670103093
internacional,1,0.002061855670103093
frecuentemente,1,0.002061855670103093
directo,1,0.002061855670103093
